SITECODE,LOCATION,LAT (EPSG7844),LON (EPSG7844)
MN30,perth south,-32.249267,115.666672
MN29,perth south,-32.249262,115.646674
MN28,perth south,-32.249262,115.630837
MN27,perth south,-32.249268,115.602507
MN26,perth south,-32.333429,115.616673
MN25,perth south,-32.333431,115.637507
MN24,perth south,-32.356766,115.642503
MN23,perth south,-32.383429,115.647505
MN22,perth south,-32.410101,115.653338
MN21,perth south,-32.433435,115.658341
MN20,perth south,-32.433433,115.668339
MN19,perth south,-32.421765,115.684176
MN18,perth south,-32.410934,115.700007
MN17,perth south,-32.41843,115.715
MN16,perth south,-32.424266,115.728339
MN15,perth south,-32.433436,115.745005
MN14,perth south,-32.442598,115.725007
MN13,perth south,-32.450097,115.705838
MN12,perth south,-32.458431,115.686675
MN11,perth south,-32.466763,115.665838
MN10,perth south,-32.475102,115.682506
MN9,perth south,-32.483429,115.700008
MN8,perth south,-32.491763,115.716672
MN7,perth south,-32.500096,115.73334
MN6,perth south,-32.512602,115.727501
MN5,perth south,-32.512599,115.718335
MN4,perth south,-32.512596,115.708339
MN3,perth south,-32.5126,115.700834
MN2,perth south,-32.500101,115.695
MN37,perth south,-32.370096,115.697052
OA10,epa cockburn,-32.055768,115.730836
OA80,epa cockburn,-32.131261,115.701339
CS55,epa cockburn,-32.187597,115.714
CS165,epa cockburn,-32.190761,115.685675
CS170,epa cockburn,-32.190632,115.686271
CS160,epa cockburn,-32.190935,115.678173
CS50,epa cockburn,-32.189927,115.694004
CS52,epa cockburn,-32.188768,115.705837
CS161,epa cockburn,-32.191268,115.681499
CS45,epa cockburn,-32.167932,115.709504
CS20,epa cockburn,-32.150102,115.705504
CS175,epa cockburn,-32.187761,115.73201
CS60,epa cockburn,-32.187099,115.747007
CS20A,epa cockburn,-32.137098,115.703175
CS65,epa cockburn,-32.186264,115.761169
CS180,epa cockburn,-32.185602,115.768168
CS185,epa cockburn,-32.186266,115.772508
OA72A,epa cockburn,-32.125519,115.7
CS85,epa cockburn,-32.211265,115.719174
OA72,epa cockburn,-32.119382,115.700617
CS105,epa cockburn,-32.234601,115.724503
CS180A,epa cockburn,-32.184433,115.770443
CS185I,epa cockburn,-32.187468,115.772683
CS155,epa cockburn,-32.246434,115.720676
CS185A,epa cockburn,-32.185928,115.770169
CS135,epa cockburn,-32.248098,115.700835
CS180B,epa cockburn,-32.187099,115.76451
CS5,epa cockburn,-32.144599,115.658666
CS10,epa cockburn,-32.147929,115.667332
CS15,epa cockburn,-32.150435,115.685343
CS53,epa cockburn,-32.188935,115.706333
CS170A,epa cockburn,-32.183329,115.674571
CMCS3,epa cockburn,-32.194768,115.699005
OA88,epa cockburn,-32.135428,115.669168
OA85,epa cockburn,-32.135429,115.677003
OA85A,epa cockburn,-32.141263,115.682007
OA85B,epa cockburn,-32.145268,115.686339
CS13,epa cockburn,-32.147262,115.682006
DEV01,epa cockburn,-32.142929,115.688673
ML01,epa cockburn,-32.134593,115.689503
ND01,epa cockburn,-32.128764,115.709505
OA72W,epa cockburn,-32.119232,115.69922
OA63,epa cockburn,-32.114595,115.693
OA81C,epa cockburn,-32.138433,115.703167
CS22,epa cockburn,-32.144264,115.71867
OA10,epa cockburn,-32.055768,115.730836
OA20,epa cockburn,-32.066265,115.715341
OA15,epa cockburn,-32.059267,115.715503
OA5,epa cockburn,-32.070935,115.731167
OA25,epa cockburn,-32.09293,115.715339
OA65,epa cockburn,-32.111267,115.705342
CMP1,epa cockburn,-32.178264,115.750342
CMP2,epa cockburn,-32.176435,115.757834
CS186,epa cockburn,-32.176433,115.767836
OA30,epa cockburn,-32.084768,115.69084
OA64,epa cockburn,-32.111012,115.694609
OA30N,epa cockburn,-32.083966,115.689103
OA35,epa cockburn,-32.077928,115.657002
OA62,epa cockburn,-32.108868,115.683533
OA31,epa cockburn,-32.078933,115.689175
OA60,epa cockburn,-32.1046,115.665334
OA40,epa cockburn,-32.079595,115.634835
OA70,epa cockburn,-32.111265,115.743667
OA32,epa cockburn,-32.072435,115.688007
OA45,epa cockburn,-32.077931,115.617007
OA33,epa cockburn,-32.06326,115.686167
OA69,epa cockburn,-32.113593,115.732008
CS125,epa cockburn,-32.267101,115.726172
OA68,epa cockburn,-32.11126,115.720668
CS150,epa cockburn,-32.255428,115.666666
OA50,epa cockburn,-32.099102,115.617006
OA72N,epa cockburn,-32.112933,115.697168
CS150S,epa cockburn,-32.270735,115.657323
OA55,epa cockburn,-32.099102,115.642005
OA75,epa cockburn,-32.129596,115.720338
CS145,epa cockburn,-32.255434,115.6845
ND01A,epa cockburn,-32.130865,115.705871
CS140,epa cockburn,-32.248931,115.69851
OA95,epa cockburn,-32.137927,115.635334
CS151,epa cockburn,-32.265431,115.666669
CS118,epa cockburn,-32.261268,115.740002
CS119,epa cockburn,-32.257452,115.73635
CS12,epa cockburn,-32.148427,115.677006
CS120,epa cockburn,-32.254595,115.730338
OA90,epa cockburn,-32.137932,115.660332
CS112,epa cockburn,-32.240928,115.711509
CS100,epa cockburn,-32.234594,115.708669
CS90,epa cockburn,-32.222935,115.698583
CS25,epa cockburn,-32.15126,115.72451
CS98,epa cockburn,-32.227261,115.704337
CS27,epa cockburn,-32.151262,115.732759
CS95,epa cockburn,-32.233765,115.690342
CS30,epa cockburn,-32.151265,115.751166
CS85A,epa cockburn,-32.226999,115.718508
CS110,epa cockburn,-32.234601,115.747003
CS115,epa cockburn,-32.239601,115.753674
CS17,epa cockburn,-32.163432,115.682505
CS16,epa cockburn,-32.159933,115.682672
CS18,epa cockburn,-32.150761,115.69417
CS22A,epa cockburn,-32.150267,115.7155
CS26,epa cockburn,-32.150061,115.733507
CS27A,epa cockburn,-32.149928,115.740041
CS35,epa cockburn,-32.167928,115.738669
CS40,epa cockburn,-32.167927,115.728668
OA100,epa cockburn,-32.114932,115.717172
CS47A,epa cockburn,-32.167569,115.693506
CMP0,epa cockburn,-32.176312,115.730005
CS70,epa cockburn,-32.198767,115.769508
CS75,epa cockburn,-32.209597,115.755335
CS80,epa cockburn,-32.205434,115.743
OA95W,epa cockburn,-32.137269,115.628675
OA81A,epa cockburn,-32.138766,115.69784
OA81B,epa cockburn,-32.13876,115.701667
OA81D,epa cockburn,-32.137594,115.705002
OA71,epa cockburn,-32.111529,115.758523
OA81E,epa cockburn,-32.137184,115.706333
OA81F,epa cockburn,-32.135595,115.699168
OA27,epa cockburn,-32.101131,115.713666
OA81G,epa cockburn,-32.134928,115.702676
OA81H,epa cockburn,-32.135594,115.705168
CS130,epa cockburn,-32.265435,115.708668
OA25S,epa cockburn,-32.094595,115.716672
OA25N,epa cockburn,-32.080934,115.720836
CS20B,epa cockburn,-32.146267,115.704508
CS155S,epa cockburn,-32.244608,115.718579
OA30S,epa cockburn,-32.103268,115.695006
CS47,epa cockburn,-32.181761,115.71317
CS46,epa cockburn,-32.173764,115.710918
CS46dp5,epa cockburn,-32.178269,115.713007
CS88,epa cockburn,-32.223181,115.722721
CS7,epa cockburn,-32.143534,115.666336
CS221,epa cockburn,-32.258345,115.702568
CS123,epa cockburn,-32.260428,115.741669
CS223,epa cockburn,-32.26843,115.699006
CS235,epa cockburn,-32.266765,115.716176
CS233,epa cockburn,-32.270429,115.71984
CS231,epa cockburn,-32.259261,115.727842
CS229,epa cockburn,-32.244433,115.727168
CS99,epa cockburn,-32.229263,115.702504
V1,perth north,-31.859413,115.730236
V1A,perth north,-31.858933,115.685702
V2,perth north,-31.859343,115.666967
V3,perth north,-31.859449,115.588191
V4,perth north,-31.859112,115.508122
V5,perth north,-31.85948,115.429365
V12,perth north,-31.860477,114.87323
V6,perth north,-31.859262,115.350185
V11,perth north,-31.859129,114.952086
V7,perth north,-31.858564,115.271122
V10,perth north,-31.859667,115.032402
V9,perth north,-31.858318,115.111184
V8,perth north,-31.859196,115.191433
WS245,perth south,-32.308432,115.708334
WS130,perth south,-32.341768,115.738335
WS125,perth south,-32.341764,115.731673
WS120,perth south,-32.341769,115.725
WS115,perth south,-32.341765,115.718338
WS110,perth south,-32.336766,115.706667
WS105,perth south,-32.339267,115.70167
