Mooring C,,C
Latitude = 31 40.960S,,SBE3027 (100m)
Longitude = 115 13.300E,Date/Time,Temperature (0C)
Water Depth  100m,1/07/2004 0:00,21.27304
,1/07/2004 1:00,21.23616
Instrument-SBE3027,1/07/2004 2:00,21.21702
Depth 100m,1/07/2004 3:00,21.17508
,1/07/2004 4:00,21.10684
Measurement Periods,1/07/2004 5:00,21.0437
  1/07/2004 to 5/10/2004,1/07/2004 6:00,20.98976
8/10/2004 to 6/01/2005,1/07/2004 7:00,20.95638
12/01/2005 to 18/04/2005,1/07/2004 8:00,20.86308
*20/06/2005 to 16/07/2005,1/07/2004 9:00,20.77218
,1/07/2004 10:00,20.78268
,1/07/2004 11:00,20.79502
*SBE3050,1/07/2004 12:00,20.76424
,1/07/2004 13:00,20.77
,1/07/2004 14:00,20.8056
,1/07/2004 15:00,20.80314
,1/07/2004 16:00,20.8047
,1/07/2004 17:00,20.80024
,1/07/2004 18:00,20.78784
,1/07/2004 19:00,20.77282
,1/07/2004 20:00,20.76046
,1/07/2004 21:00,20.753
,1/07/2004 22:00,20.7601
,1/07/2004 23:00,20.77304
,2/07/2004 0:00,20.79084
,2/07/2004 1:00,20.80286
,2/07/2004 2:00,20.8232
,2/07/2004 3:00,20.85536
,2/07/2004 4:00,20.88568
,2/07/2004 5:00,20.90148
,2/07/2004 6:00,20.90296
,2/07/2004 7:00,20.90824
,2/07/2004 8:00,20.92854
,2/07/2004 9:00,20.96064
,2/07/2004 10:00,21.00066
,2/07/2004 11:00,21.07858
,2/07/2004 12:00,21.12684
,2/07/2004 13:00,21.14784
,2/07/2004 14:00,21.15622
,2/07/2004 15:00,21.16732
,2/07/2004 16:00,21.1725
,2/07/2004 17:00,21.1634
,2/07/2004 18:00,21.108
,2/07/2004 19:00,20.9882
,2/07/2004 20:00,20.90622
,2/07/2004 21:00,20.76394
,2/07/2004 22:00,20.6448
,2/07/2004 23:00,20.52128
,3/07/2004 0:00,20.49368
,3/07/2004 1:00,20.47448
,3/07/2004 2:00,20.44462
,3/07/2004 3:00,20.38352
,3/07/2004 4:00,20.31536
,3/07/2004 5:00,20.29128
,3/07/2004 6:00,20.2736
,3/07/2004 7:00,20.27294
,3/07/2004 8:00,20.26828
,3/07/2004 9:00,20.24898
,3/07/2004 10:00,20.23672
,3/07/2004 11:00,20.21308
,3/07/2004 12:00,20.19512
,3/07/2004 13:00,20.19414
,3/07/2004 14:00,20.20748
,3/07/2004 15:00,20.2247
,3/07/2004 16:00,20.24808
,3/07/2004 17:00,20.27544
,3/07/2004 18:00,20.30054
,3/07/2004 19:00,20.32958
,3/07/2004 20:00,20.36932
,3/07/2004 21:00,20.40106
,3/07/2004 22:00,20.42856
,3/07/2004 23:00,20.45336
,4/07/2004 0:00,20.48908
,4/07/2004 1:00,20.52144
,4/07/2004 2:00,20.54108
,4/07/2004 3:00,20.5454
,4/07/2004 4:00,20.54766
,4/07/2004 5:00,20.5424
,4/07/2004 6:00,20.53674
,4/07/2004 7:00,20.52236
,4/07/2004 8:00,20.4965
,4/07/2004 9:00,20.47782
,4/07/2004 10:00,20.47946
,4/07/2004 11:00,20.47686
,4/07/2004 12:00,20.49436
,4/07/2004 13:00,20.52342
,4/07/2004 14:00,20.51256
,4/07/2004 15:00,20.50958
,4/07/2004 16:00,20.49402
,4/07/2004 17:00,20.43608
,4/07/2004 18:00,20.19154
,4/07/2004 19:00,20.09376
,4/07/2004 20:00,20.0597
,4/07/2004 21:00,20.02498
,4/07/2004 22:00,19.98004
,4/07/2004 23:00,19.93538
,5/07/2004 0:00,19.89838
,5/07/2004 1:00,19.87858
,5/07/2004 2:00,19.8807
,5/07/2004 3:00,19.88552
,5/07/2004 4:00,19.88628
,5/07/2004 5:00,19.89046
,5/07/2004 6:00,19.90202
,5/07/2004 7:00,19.91984
,5/07/2004 8:00,19.93686
,5/07/2004 9:00,19.95092
,5/07/2004 10:00,19.96874
,5/07/2004 11:00,20.0229
,5/07/2004 12:00,20.08504
,5/07/2004 13:00,20.1049
,5/07/2004 14:00,20.151
,5/07/2004 15:00,20.20996
,5/07/2004 16:00,20.25638
,5/07/2004 17:00,20.3082
,5/07/2004 18:00,20.34316
,5/07/2004 19:00,20.37814
,5/07/2004 20:00,20.40868
,5/07/2004 21:00,20.43202
,5/07/2004 22:00,20.44508
,5/07/2004 23:00,20.44838
,6/07/2004 0:00,20.44804
,6/07/2004 1:00,20.45444
,6/07/2004 2:00,20.472
,6/07/2004 3:00,20.48944
,6/07/2004 4:00,20.50432
,6/07/2004 5:00,20.5265
,6/07/2004 6:00,20.5388
,6/07/2004 7:00,20.55186
,6/07/2004 8:00,20.57276
,6/07/2004 9:00,20.58168
,6/07/2004 10:00,20.58618
,6/07/2004 11:00,20.60126
,6/07/2004 12:00,20.62496
,6/07/2004 13:00,20.64874
,6/07/2004 14:00,20.65912
,6/07/2004 15:00,20.64532
,6/07/2004 16:00,20.63794
,6/07/2004 17:00,20.63658
,6/07/2004 18:00,20.63772
,6/07/2004 19:00,20.6387
,6/07/2004 20:00,20.64322
,6/07/2004 21:00,20.65216
,6/07/2004 22:00,20.66572
,6/07/2004 23:00,20.67544
,7/07/2004 0:00,20.65366
,7/07/2004 1:00,20.64276
,7/07/2004 2:00,20.68042
