time,PP
1997-09-01,754.8087
1997-10-01,879.64355
1997-11-01,764.84686
1997-12-01,799.06805
1998-01-01,783.2433
1998-02-01,853.56384
1998-03-01,779.365
1998-04-01,671.9048
1998-05-01,655.8689
1998-06-01,623.83606
1998-07-01,513.9232
1998-08-01,635.9524
1998-09-01,955.78546
1998-10-01,865.2879
1998-11-01,737.7697
1998-12-01,716.89404
1999-01-01,801.40717
1999-02-01,921.8358
1999-03-01,860.6044
1999-04-01,610.8282
1999-05-01,493.0165
1999-06-01,634.9787
1999-07-01,733.0444
1999-08-01,869.6725
1999-09-01,901.27
1999-10-01,940.2553
1999-11-01,760.06226
1999-12-01,764.49365
2000-01-01,879.60754
2000-02-01,1105.7864
2000-03-01,950.47974
2000-04-01,673.52057
2000-05-01,571.77905
2000-06-01,513.7781
2000-07-01,665.9435
2000-08-01,877.08594
2000-09-01,1034.1233
2000-10-01,900.7331
2000-11-01,691.9862
2000-12-01,807.98474
2001-01-01,815.17456
2001-02-01,840.79675
2001-03-01,834.33716
2001-04-01,585.65625
2001-05-01,576.1592
2001-06-01,552.4661
2001-07-01,599.96106
2001-08-01,624.8816
2001-09-01,630.99695
2001-10-01,687.33905
2001-11-01,615.53705
2001-12-01,744.1335
2002-01-01,849.2349
2002-02-01,875.88446
2002-03-01,839.3428
2002-04-01,736.0416
2002-05-01,763.5767
2002-06-01,614.6705
2002-07-01,656.07227
2002-08-01,908.8358
2002-09-01,739.7941
2002-10-01,694.44507
2002-11-01,817.26105
2002-12-01,690.6867
2003-01-01,1047.9502
2003-02-01,1059.1598
2003-03-01,1034.2773
2003-04-01,845.50244
2003-05-01,749.81036
2003-06-01,610.74615
2003-07-01,899.1842
2003-08-01,1241.9955
2003-09-01,1046.0815
2003-10-01,817.4012
2003-11-01,810.22614
2003-12-01,937.7526
2004-01-01,1050.9868
2004-02-01,1248.8589
2004-03-01,1255.0936
2004-04-01,823.68097
2004-05-01,777.83997
2004-06-01,586.4642
2004-07-01,895.5625
2004-08-01,824.97437
2004-09-01,1197.8099
2004-10-01,874.50995
2004-11-01,820.6716
2004-12-01,863.0415
2005-01-01,1004.7216
2005-02-01,1023.18604
2005-03-01,1026.241
2005-04-01,939.8368
2005-05-01,869.60614
2005-06-01,817.8059
2005-07-01,1128.268
2005-08-01,964.75085
2005-09-01,945.921
2005-10-01,1054.0857
2005-11-01,971.2547
2005-12-01,763.3038
2006-01-01,958.7987
2006-02-01,963.9063
2006-03-01,1057.4949
2006-04-01,731.9363
2006-05-01,715.2214
2006-06-01,609.18414
2006-07-01,651.88947
2006-08-01,765.1748
2006-09-01,819.5472
2006-10-01,858.39856
2006-11-01,757.413
2006-12-01,958.6963
2007-01-01,1050.73
2007-02-01,1166.621
2007-03-01,1208.3093
2007-04-01,802.9225
2007-05-01,714.6556
2007-06-01,537.33215
2007-07-01,604.4516
2007-08-01,881.6012
2007-09-01,993.8694
2007-10-01,923.69214
2007-11-01,891.23346
2007-12-01,879.6876
2008-01-01,1067.3392
2008-02-01,1191.9532
2008-03-01,1217.6232
2008-04-01,788.3445
2008-05-01,717.8081
