depth,latitude,longitude,time,so
0.494025,-32.166664,115.75,2022-06-01 00:00:00,35.625534
0.494025,-32.166664,115.75,2022-06-01 06:00:00,35.625935
0.494025,-32.166664,115.75,2022-06-01 12:00:00,35.624985
0.494025,-32.166664,115.75,2022-06-01 18:00:00,35.623016
0.494025,-32.166664,115.75,2022-06-02 00:00:00,35.61503
0.494025,-32.166664,115.75,2022-06-02 06:00:00,35.611336
0.494025,-32.166664,115.75,2022-06-02 12:00:00,35.610085
0.494025,-32.166664,115.75,2022-06-02 18:00:00,35.60952
0.494025,-32.166664,115.75,2022-06-03 00:00:00,35.610535
0.494025,-32.166664,115.75,2022-06-03 06:00:00,35.6118
0.494025,-32.166664,115.75,2022-06-03 12:00:00,35.613464
0.494025,-32.166664,115.75,2022-06-03 18:00:00,35.61519
0.494025,-32.166664,115.75,2022-06-04 00:00:00,35.617043
0.494025,-32.166664,115.75,2022-06-04 06:00:00,35.61949
0.494025,-32.166664,115.75,2022-06-04 12:00:00,35.619064
0.494025,-32.166664,115.75,2022-06-04 18:00:00,35.619324
0.494025,-32.166664,115.75,2022-06-05 00:00:00,35.62115
0.494025,-32.166664,115.75,2022-06-05 06:00:00,35.62236
0.494025,-32.166664,115.75,2022-06-05 12:00:00,35.6239
0.494025,-32.166664,115.75,2022-06-05 18:00:00,35.6263
0.494025,-32.166664,115.75,2022-06-06 00:00:00,35.62999
0.494025,-32.166664,115.75,2022-06-06 06:00:00,35.6344
0.494025,-32.166664,115.75,2022-06-06 12:00:00,35.638412
0.494025,-32.166664,115.75,2022-06-06 18:00:00,35.645184
0.494025,-32.166664,115.75,2022-06-07 00:00:00,35.654007
0.494025,-32.166664,115.75,2022-06-07 06:00:00,35.661743
0.494025,-32.166664,115.75,2022-06-07 12:00:00,35.666164
0.494025,-32.166664,115.75,2022-06-07 18:00:00,35.67243
0.494025,-32.166664,115.75,2022-06-08 00:00:00,35.679344
0.494025,-32.166664,115.75,2022-06-08 06:00:00,35.684162
0.494025,-32.166664,115.75,2022-06-08 12:00:00,35.648647
0.494025,-32.166664,115.75,2022-06-08 18:00:00,35.64492
0.494025,-32.166664,115.75,2022-06-09 00:00:00,35.637703
0.494025,-32.166664,115.75,2022-06-09 06:00:00,35.610443
0.494025,-32.166664,115.75,2022-06-09 12:00:00,35.581627
0.494025,-32.166664,115.75,2022-06-09 18:00:00,35.540092
0.494025,-32.166664,115.75,2022-06-10 00:00:00,35.452797
0.494025,-32.166664,115.75,2022-06-10 06:00:00,35.42488
0.494025,-32.166664,115.75,2022-06-10 12:00:00,35.363377
0.494025,-32.166664,115.75,2022-06-10 18:00:00,35.349003
0.494025,-32.166664,115.75,2022-06-11 00:00:00,35.329025
0.494025,-32.166664,115.75,2022-06-11 06:00:00,35.32839
0.494025,-32.166664,115.75,2022-06-11 12:00:00,35.330585
0.494025,-32.166664,115.75,2022-06-11 18:00:00,35.341454
0.494025,-32.166664,115.75,2022-06-12 00:00:00,35.35486
0.494025,-32.166664,115.75,2022-06-12 06:00:00,35.348343
0.494025,-32.166664,115.75,2022-06-12 12:00:00,35.358532
0.494025,-32.166664,115.75,2022-06-12 18:00:00,35.36367
0.494025,-32.166664,115.75,2022-06-13 00:00:00,35.367985
0.494025,-32.166664,115.75,2022-06-13 06:00:00,35.369556
0.494025,-32.166664,115.75,2022-06-13 12:00:00,35.370243
0.494025,-32.166664,115.75,2022-06-13 18:00:00,35.3691
0.494025,-32.166664,115.75,2022-06-14 00:00:00,35.36953
0.494025,-32.166664,115.75,2022-06-14 06:00:00,35.3718
0.494025,-32.166664,115.75,2022-06-14 12:00:00,35.37515
0.494025,-32.166664,115.75,2022-06-14 18:00:00,35.375225
0.494025,-32.166664,115.75,2022-06-15 00:00:00,35.376305
0.494025,-32.166664,115.75,2022-06-15 06:00:00,35.382156
0.494025,-32.166664,115.75,2022-06-15 12:00:00,35.379326
0.494025,-32.166664,115.75,2022-06-15 18:00:00,35.38133
0.494025,-32.166664,115.75,2022-06-16 00:00:00,35.383274
0.494025,-32.166664,115.75,2022-06-16 06:00:00,35.38246
0.494025,-32.166664,115.75,2022-06-16 12:00:00,35.379654
0.494025,-32.166664,115.75,2022-06-16 18:00:00,35.377945
0.494025,-32.166664,115.75,2022-06-17 00:00:00,35.374546
0.494025,-32.166664,115.75,2022-06-17 06:00:00,35.33053
0.494025,-32.166664,115.75,2022-06-17 12:00:00,35.295002
0.494025,-32.166664,115.75,2022-06-17 18:00:00,35.29114
0.494025,-32.166664,115.75,2022-06-18 00:00:00,35.28018
0.494025,-32.166664,115.75,2022-06-18 06:00:00,35.27419
0.494025,-32.166664,115.75,2022-06-18 12:00:00,35.259502
0.494025,-32.166664,115.75,2022-06-18 18:00:00,35.248886
0.494025,-32.166664,115.75,2022-06-19 00:00:00,35.25202
0.494025,-32.166664,115.75,2022-06-19 06:00:00,35.25852
0.494025,-32.166664,115.75,2022-06-19 12:00:00,35.26477
0.494025,-32.166664,115.75,2022-06-19 18:00:00,35.267727
0.494025,-32.166664,115.75,2022-06-20 00:00:00,35.270267
0.494025,-32.166664,115.75,2022-06-20 06:00:00,35.27133
0.494025,-32.166664,115.75,2022-06-20 12:00:00,35.271496
0.494025,-32.166664,115.75,2022-06-20 18:00:00,35.26761
0.494025,-32.166664,115.75,2022-06-21 00:00:00,35.26626
0.494025,-32.166664,115.75,2022-06-21 06:00:00,35.266243
0.494025,-32.166664,115.75,2022-06-21 12:00:00,35.26525
0.494025,-32.166664,115.75,2022-06-21 18:00:00,35.26456
0.494025,-32.166664,115.75,2022-06-22 00:00:00,35.26078
0.494025,-32.166664,115.75,2022-06-22 06:00:00,35.24701
0.494025,-32.166664,115.75,2022-06-22 12:00:00,35.244522
0.494025,-32.166664,115.75,2022-06-22 18:00:00,35.244267
0.494025,-32.166664,115.75,2022-06-23 00:00:00,35.24378
0.494025,-32.166664,115.75,2022-06-23 06:00:00,35.2335
0.494025,-32.166664,115.75,2022-06-23 12:00:00,35.23066
0.494025,-32.166664,115.75,2022-06-23 18:00:00,35.235924
0.494025,-32.166664,115.75,2022-06-24 00:00:00,35.240555
0.494025,-32.166664,115.75,2022-06-24 06:00:00,35.244278
0.494025,-32.166664,115.75,2022-06-24 12:00:00,35.248196
0.494025,-32.166664,115.75,2022-06-24 18:00:00,35.252537
0.494025,-32.166664,115.75,2022-06-25 00:00:00,35.25639
0.494025,-32.166664,115.75,2022-06-25 06:00:00,35.259235
0.494025,-32.166664,115.75,2022-06-25 12:00:00,35.261158
0.494025,-32.166664,115.75,2022-06-25 18:00:00,35.265354
0.494025,-32.166664,115.75,2022-06-26 00:00:00,35.270947
0.494025,-32.166664,115.75,2022-06-26 06:00:00,35.27503
0.494025,-32.166664,115.75,2022-06-26 12:00:00,35.275684
0.494025,-32.166664,115.75,2022-06-26 18:00:00,35.2778
0.494025,-32.166664,115.75,2022-06-27 00:00:00,35.27959
0.494025,-32.166664,115.75,2022-06-27 06:00:00,35.27879
0.494025,-32.166664,115.75,2022-06-27 12:00:00,35.280167
0.494025,-32.166664,115.75,2022-06-27 18:00:00,35.28443
0.494025,-32.166664,115.75,2022-06-28 00:00:00,35.288227
0.494025,-32.166664,115.75,2022-06-28 06:00:00,35.29158
0.494025,-32.166664,115.75,2022-06-28 12:00:00,35.295315
0.494025,-32.166664,115.75,2022-06-28 18:00:00,35.299633
0.494025,-32.166664,115.75,2022-06-29 00:00:00,35.30408
0.494025,-32.166664,115.75,2022-06-29 06:00:00,35.306725
0.494025,-32.166664,115.75,2022-06-29 12:00:00,35.30981
0.494025,-32.166664,115.75,2022-06-29 18:00:00,35.31272
0.494025,-32.166664,115.75,2022-06-30 00:00:00,35.315804
0.494025,-32.166664,115.75,2022-06-30 06:00:00,35.31819
0.494025,-32.166664,115.75,2022-06-30 12:00:00,35.319195
0.494025,-32.166664,115.75,2022-06-30 18:00:00,35.32164
0.494025,-32.166664,115.75,2022-07-01 00:00:00,35.32398
0.494025,-32.166664,115.75,2022-07-01 06:00:00,35.324295
0.494025,-32.166664,115.75,2022-07-01 12:00:00,35.32241
0.494025,-32.166664,115.75,2022-07-01 18:00:00,35.322247
0.494025,-32.166664,115.75,2022-07-02 00:00:00,35.32291
0.494025,-32.166664,115.75,2022-07-02 06:00:00,35.32228
0.494025,-32.166664,115.75,2022-07-02 12:00:00,35.319057
0.494025,-32.166664,115.75,2022-07-02 18:00:00,35.317738
0.494025,-32.166664,115.75,2022-07-03 00:00:00,35.317013
0.494025,-32.166664,115.75,2022-07-03 06:00:00,35.315613
0.494025,-32.166664,115.75,2022-07-03 12:00:00,35.312466
0.494025,-32.166664,115.75,2022-07-03 18:00:00,35.310932
0.494025,-32.166664,115.75,2022-07-04 00:00:00,35.311287
0.494025,-32.166664,115.75,2022-07-04 06:00:00,35.310085
0.494025,-32.166664,115.75,2022-07-04 12:00:00,35.30652
0.494025,-32.166664,115.75,2022-07-04 18:00:00,35.304947
0.494025,-32.166664,115.75,2022-07-05 00:00:00,35.301388
0.494025,-32.166664,115.75,2022-07-05 06:00:00,35.257717
0.494025,-32.166664,115.75,2022-07-05 12:00:00,35.251038
0.494025,-32.166664,115.75,2022-07-05 18:00:00,35.24557
0.494025,-32.166664,115.75,2022-07-06 00:00:00,35.241127
0.494025,-32.166664,115.75,2022-07-06 06:00:00,35.237045
0.494025,-32.166664,115.75,2022-07-06 12:00:00,35.232708
0.494025,-32.166664,115.75,2022-07-06 18:00:00,35.23189
0.494025,-32.166664,115.75,2022-07-07 00:00:00,35.230682
0.494025,-32.166664,115.75,2022-07-07 06:00:00,35.228386
0.494025,-32.166664,115.75,2022-07-07 12:00:00,35.225388
0.494025,-32.166664,115.75,2022-07-07 18:00:00,35.224148
0.494025,-32.166664,115.75,2022-07-08 00:00:00,35.224167
0.494025,-32.166664,115.75,2022-07-08 06:00:00,35.226025
0.494025,-32.166664,115.75,2022-07-08 12:00:00,35.227688
0.494025,-32.166664,115.75,2022-07-08 18:00:00,35.230682
0.494025,-32.166664,115.75,2022-07-09 00:00:00,35.237503
0.494025,-32.166664,115.75,2022-07-09 06:00:00,35.236526
0.494025,-32.166664,115.75,2022-07-09 12:00:00,35.18647
0.494025,-32.166664,115.75,2022-07-09 18:00:00,35.18621
0.494025,-32.166664,115.75,2022-07-10 00:00:00,35.19226
0.494025,-32.166664,115.75,2022-07-10 06:00:00,35.196903
0.494025,-32.166664,115.75,2022-07-10 12:00:00,35.196625
0.494025,-32.166664,115.75,2022-07-10 18:00:00,35.199245
0.494025,-32.166664,115.75,2022-07-11 00:00:00,35.20099
0.494025,-32.166664,115.75,2022-07-11 06:00:00,35.20244
0.494025,-32.166664,115.75,2022-07-11 12:00:00,35.201805
0.494025,-32.166664,115.75,2022-07-11 18:00:00,35.203587
0.494025,-32.166664,115.75,2022-07-12 00:00:00,35.205452
