depth,time,so
0.494025,2022-06-01 00:00:00,35.417694
0.494025,2022-06-01 06:00:00,35.41853
0.494025,2022-06-01 12:00:00,35.4157
0.494025,2022-06-01 18:00:00,35.413456
0.494025,2022-06-02 00:00:00,35.41028
0.494025,2022-06-02 06:00:00,35.40929
0.494025,2022-06-02 12:00:00,35.408054
0.494025,2022-06-02 18:00:00,35.407185
0.494025,2022-06-03 00:00:00,35.406017
0.494025,2022-06-03 06:00:00,35.406635
0.494025,2022-06-03 12:00:00,35.40594
0.494025,2022-06-03 18:00:00,35.40775
0.494025,2022-06-04 00:00:00,35.410057
0.494025,2022-06-04 06:00:00,35.41373
0.494025,2022-06-04 12:00:00,35.416702
0.494025,2022-06-04 18:00:00,35.42007
0.494025,2022-06-05 00:00:00,35.423187
0.494025,2022-06-05 06:00:00,35.42545
0.494025,2022-06-05 12:00:00,35.426437
0.494025,2022-06-05 18:00:00,35.4269
0.494025,2022-06-06 00:00:00,35.42812
0.494025,2022-06-06 06:00:00,35.429886
0.494025,2022-06-06 12:00:00,35.429016
0.494025,2022-06-06 18:00:00,35.429913
0.494025,2022-06-07 00:00:00,35.43068
0.494025,2022-06-07 06:00:00,35.430645
0.494025,2022-06-07 12:00:00,35.430607
0.494025,2022-06-07 18:00:00,35.432327
0.494025,2022-06-08 00:00:00,35.43381
0.494025,2022-06-08 06:00:00,35.431458
0.494025,2022-06-08 12:00:00,35.425312
0.494025,2022-06-08 18:00:00,35.419727
0.494025,2022-06-09 00:00:00,35.407726
0.494025,2022-06-09 06:00:00,35.39587
0.494025,2022-06-09 12:00:00,35.345383
0.494025,2022-06-09 18:00:00,35.338085
0.494025,2022-06-10 00:00:00,35.30962
0.494025,2022-06-10 06:00:00,35.28249
0.494025,2022-06-10 12:00:00,35.2724
0.494025,2022-06-10 18:00:00,35.255512
0.494025,2022-06-11 00:00:00,35.241673
0.494025,2022-06-11 06:00:00,35.241814
0.494025,2022-06-11 12:00:00,35.246155
0.494025,2022-06-11 18:00:00,35.24953
0.494025,2022-06-12 00:00:00,35.252426
0.494025,2022-06-12 06:00:00,35.250458
0.494025,2022-06-12 12:00:00,35.252647
0.494025,2022-06-12 18:00:00,35.256733
0.494025,2022-06-13 00:00:00,35.261814
0.494025,2022-06-13 06:00:00,35.267506
0.494025,2022-06-13 12:00:00,35.272858
0.494025,2022-06-13 18:00:00,35.27708
0.494025,2022-06-14 00:00:00,35.279606
0.494025,2022-06-14 06:00:00,35.28336
0.494025,2022-06-14 12:00:00,35.28555
0.494025,2022-06-14 18:00:00,35.284256
0.494025,2022-06-15 00:00:00,35.28037
0.494025,2022-06-15 06:00:00,35.27932
0.494025,2022-06-15 12:00:00,35.27486
0.494025,2022-06-15 18:00:00,35.269253
0.494025,2022-06-16 00:00:00,35.262066
0.494025,2022-06-16 06:00:00,35.257595
0.494025,2022-06-16 12:00:00,35.254673
0.494025,2022-06-16 18:00:00,35.24838
0.494025,2022-06-17 00:00:00,35.243916
0.494025,2022-06-17 06:00:00,35.231453
0.494025,2022-06-17 12:00:00,35.224064
0.494025,2022-06-17 18:00:00,35.220455
0.494025,2022-06-18 00:00:00,35.215218
0.494025,2022-06-18 06:00:00,35.20793
0.494025,2022-06-18 12:00:00,35.205257
0.494025,2022-06-18 18:00:00,35.20205
0.494025,2022-06-19 00:00:00,35.2061
0.494025,2022-06-19 06:00:00,35.21074
0.494025,2022-06-19 12:00:00,35.215755
0.494025,2022-06-19 18:00:00,35.221333
0.494025,2022-06-20 00:00:00,35.22638
0.494025,2022-06-20 06:00:00,35.233643
0.494025,2022-06-20 12:00:00,35.243668
0.494025,2022-06-20 18:00:00,35.24471
0.494025,2022-06-21 00:00:00,35.245045
0.494025,2022-06-21 06:00:00,35.2479
0.494025,2022-06-21 12:00:00,35.251842
0.494025,2022-06-21 18:00:00,35.25239
0.494025,2022-06-22 00:00:00,35.25163
0.494025,2022-06-22 06:00:00,35.25392
0.494025,2022-06-22 12:00:00,35.25462
0.494025,2022-06-22 18:00:00,35.252087
0.494025,2022-06-23 00:00:00,35.24834
0.494025,2022-06-23 06:00:00,35.240086
0.494025,2022-06-23 12:00:00,35.23493
0.494025,2022-06-23 18:00:00,35.230927
0.494025,2022-06-24 00:00:00,35.22897
0.494025,2022-06-24 06:00:00,35.228363
0.494025,2022-06-24 12:00:00,35.226788
0.494025,2022-06-24 18:00:00,35.22463
0.494025,2022-06-25 00:00:00,35.224052
0.494025,2022-06-25 06:00:00,35.22559
0.494025,2022-06-25 12:00:00,35.226
0.494025,2022-06-25 18:00:00,35.22395
0.494025,2022-06-26 00:00:00,35.223145
0.494025,2022-06-26 06:00:00,35.222305
0.494025,2022-06-26 12:00:00,35.21881
0.494025,2022-06-26 18:00:00,35.214622
0.494025,2022-06-27 00:00:00,35.21155
0.494025,2022-06-27 06:00:00,35.213043
0.494025,2022-06-27 12:00:00,35.21318
0.494025,2022-06-27 18:00:00,35.216843
0.494025,2022-06-28 00:00:00,35.221073
0.494025,2022-06-28 06:00:00,35.224644
0.494025,2022-06-28 12:00:00,35.22656
0.494025,2022-06-28 18:00:00,35.228455
0.494025,2022-06-29 00:00:00,35.230103
0.494025,2022-06-29 06:00:00,35.231083
0.494025,2022-06-29 12:00:00,35.2305
0.494025,2022-06-29 18:00:00,35.229893
0.494025,2022-06-30 00:00:00,35.22902
0.494025,2022-06-30 06:00:00,35.228397
0.494025,2022-06-30 12:00:00,35.22594
0.494025,2022-06-30 18:00:00,35.225006
0.494025,2022-07-01 00:00:00,35.224834
0.494025,2022-07-01 06:00:00,35.225246
0.494025,2022-07-01 12:00:00,35.223724
0.494025,2022-07-01 18:00:00,35.22391
0.494025,2022-07-02 00:00:00,35.226192
0.494025,2022-07-02 06:00:00,35.2298
0.494025,2022-07-02 12:00:00,35.231342
0.494025,2022-07-02 18:00:00,35.23435
0.494025,2022-07-03 00:00:00,35.238564
0.494025,2022-07-03 06:00:00,35.24344
0.494025,2022-07-03 12:00:00,35.24678
0.494025,2022-07-03 18:00:00,35.250202
0.494025,2022-07-04 00:00:00,35.254787
0.494025,2022-07-04 06:00:00,35.259228
0.494025,2022-07-04 12:00:00,35.261536
0.494025,2022-07-04 18:00:00,35.263737
0.494025,2022-07-05 00:00:00,35.263218
0.494025,2022-07-05 06:00:00,35.251934
