depth,time,fe,no3,po4,si
0.49402538,2021-11-01,0.0026565767,0.00747895,0.1241539,2.775425
0.49402538,2021-11-02,0.0026922876,0.008893243,0.124000385,2.774937
0.49402538,2021-11-03,0.0026809957,0.010734592,0.12431851,2.7706566
0.49402538,2021-11-04,0.0026975581,0.007628616,0.12435913,2.7693534
0.49402538,2021-11-05,0.0027759944,0.006541704,0.123863004,2.7720773
0.49402538,2021-11-06,0.0028479728,0.005974602,0.12319367,2.7659895
0.49402538,2021-11-07,0.002888825,0.005366973,0.122491874,2.7514215
0.49402538,2021-11-08,0.002904335,0.0054099197,0.121952,2.7350302
0.49402538,2021-11-09,0.0028697813,0.0058305166,0.12198508,2.7184348
0.49402538,2021-11-10,0.0028669522,0.006325757,0.12191212,2.7074213
0.49402538,2021-11-11,0.0029428317,0.006141777,0.12144682,2.7063189
0.49402538,2021-11-12,0.0030283616,0.0065757977,0.120931126,2.7075176
0.49402538,2021-11-13,0.0030472516,0.0059867175,0.120778896,2.7059789
0.49402538,2021-11-14,0.003054106,0.006495923,0.12097439,2.709549
0.49402538,2021-11-15,0.0030351263,0.00976605,0.121796295,2.719734
0.49402538,2021-11-16,0.003015697,0.011693809,0.122943714,2.7270527
0.49402538,2021-11-17,0.002965285,0.008136542,0.12361472,2.7254672
0.49402538,2021-11-18,0.0028819581,0.004435125,0.12391193,2.7209516
0.49402538,2021-11-19,0.002873337,0.0039388365,0.12357013,2.7185526
0.49402538,2021-11-20,0.0029671227,0.005286241,0.12258319,2.7174501
0.49402538,2021-11-21,0.0030238933,0.0050635203,0.12173176,2.7142951
0.49402538,2021-11-22,0.0030475336,0.0033305977,0.12150251,2.7141058
0.49402538,2021-11-23,0.0030850898,0.00381582,0.121204905,2.7083442
0.49402538,2021-11-24,0.0031092102,0.0047139106,0.120889135,2.6991513
0.49402538,2021-11-25,0.0031280052,0.005115224,0.120642796,2.6911254
0.49402538,2021-11-26,0.003141533,0.0058258194,0.120533675,2.6862175
0.49402538,2021-11-27,0.0031834994,0.008654825,0.12052017,2.6868074
0.49402538,2021-11-28,0.0031495849,0.006899307,0.12077113,2.6861827
0.49402538,2021-11-29,0.0030776476,0.0036726254,0.12122065,2.6844232
