depth,time,nppv,o2
0.49402538,2021-11-01,12.582633,240.10919
0.49402538,2021-11-02,11.006094,240.1522
0.49402538,2021-11-03,9.851647,240.07483
0.49402538,2021-11-04,10.628166,239.92766
0.49402538,2021-11-05,11.636593,239.87665
0.49402538,2021-11-06,11.177227,239.79623
0.49402538,2021-11-07,10.737354,239.66309
0.49402538,2021-11-08,9.82755,239.4531
0.49402538,2021-11-09,9.428024,239.26056
0.49402538,2021-11-10,9.081764,239.08836
0.49402538,2021-11-11,8.769701,238.8671
0.49402538,2021-11-12,8.03886,238.6102
0.49402538,2021-11-13,7.852253,238.35947
0.49402538,2021-11-14,7.56367,238.1575
0.49402538,2021-11-15,7.6828547,238.02206
0.49402538,2021-11-16,7.8269005,237.68631
0.49402538,2021-11-17,7.3035603,237.1311
0.49402538,2021-11-18,7.6456995,236.94977
0.49402538,2021-11-19,8.580139,236.82138
0.49402538,2021-11-20,7.557477,236.4292
0.49402538,2021-11-21,7.188158,235.76123
0.49402538,2021-11-22,8.217772,235.65506
0.49402538,2021-11-23,7.3238564,235.2779
0.49402538,2021-11-24,6.5931234,234.8341
0.49402538,2021-11-25,6.164074,234.39494
0.49402538,2021-11-26,5.982665,233.89714
0.49402538,2021-11-27,6.227664,233.38843
0.49402538,2021-11-28,5.86718,232.4892
0.49402538,2021-11-29,5.9297814,232.32744
0.49402538,2021-11-30,7.0711603,232.49582
0.49402538,2021-12-01,6.488982,232.21165
0.49402538,2021-12-02,6.06102,231.93253
0.49402538,2021-12-03,5.440237,231.7514
0.49402538,2021-12-04,4.8458853,231.60092
0.49402538,2021-12-05,4.800623,231.38104
0.49402538,2021-12-06,4.643116,231.19089
0.49402538,2021-12-07,4.1606236,230.87543
0.49402538,2021-12-08,4.234811,230.18365
0.49402538,2021-12-09,3.9677517,229.64392
0.49402538,2021-12-10,3.7378025,229.27701
0.49402538,2021-12-11,3.7889144,229.15277
0.49402538,2021-12-12,4.479456,229.40884
0.49402538,2021-12-13,4.359292,229.33557
0.49402538,2021-12-14,4.173127,229.40799
0.49402538,2021-12-15,4.0047774,229.62347
0.49402538,2021-12-16,3.7041793,229.78067
0.49402538,2021-12-17,3.5775762,229.81004
0.49402538,2021-12-18,3.5572877,229.73401
0.49402538,2021-12-19,3.3625636,229.656
0.49402538,2021-12-20,3.4275737,229.65605
0.49402538,2021-12-21,3.3688068,229.69568
0.49402538,2021-12-22,3.2203953,229.65817
0.49402538,2021-12-23,3.1655219,229.50212
0.49402538,2021-12-24,3.0957804,229.26686
0.49402538,2021-12-25,3.1724324,228.70786
0.49402538,2021-12-26,3.5768178,227.59784
0.49402538,2021-12-27,3.9293265,226.7113
0.49402538,2021-12-28,3.981093,226.09985
0.49402538,2021-12-29,3.553746,225.19702
0.49402538,2021-12-30,3.1452982,224.99991
0.49402538,2021-12-31,3.0810328,225.64316
0.49402538,2022-01-01,3.3428392,226.3659
0.49402538,2022-01-02,3.2522924,226.41922
0.49402538,2022-01-03,3.1132722,226.24991
0.49402538,2022-01-04,3.0100784,225.93823
0.49402538,2022-01-05,3.0454788,225.57983
0.49402538,2022-01-06,2.9748697,225.16263
0.49402538,2022-01-07,2.9393518,224.8884
0.49402538,2022-01-08,3.181317,224.98474
0.49402538,2022-01-09,3.2788205,224.96239
0.49402538,2022-01-10,2.872786,224.99193
0.49402538,2022-01-11,2.7388322,224.93323
0.49402538,2022-01-12,2.658797,224.6232
0.49402538,2022-01-13,2.6446862,224.44214
0.49402538,2022-01-14,2.7448268,224.3476
0.49402538,2022-01-15,2.7867994,224.35693
0.49402538,2022-01-16,2.752994,224.41232
0.49402538,2022-01-17,2.5103345,224.38654
0.49402538,2022-01-18,2.75247,223.8076
0.49402538,2022-01-19,3.0241263,223.07399
0.49402538,2022-01-20,3.0730662,222.30652
0.49402538,2022-01-21,3.1445677,221.63028
0.49402538,2022-01-22,3.1221287,220.95331
0.49402538,2022-01-23,2.7477236,220.46924
0.49402538,2022-01-24,2.5528786,221.0026
0.49402538,2022-01-25,2.5298147,221.54663
0.49402538,2022-01-26,2.6033163,221.77408
0.49402538,2022-01-27,2.5459175,221.87518
0.49402538,2022-01-28,2.4486623,221.97995
0.49402538,2022-01-29,2.4742374,221.84566
0.49402538,2022-01-30,2.407865,221.59808
0.49402538,2022-01-31,2.5468564,221.52162
0.49402538,2022-02-01,2.463562,221.65356
0.49402538,2022-02-02,2.2978625,221.79123
0.49402538,2022-02-03,2.6300125,221.5848
0.49402538,2022-02-04,2.8612375,221.26595
0.49402538,2022-02-05,2.773033,220.86996
0.49402538,2022-02-06,2.22492,220.84833
0.49402538,2022-02-07,2.524243,221.08997
0.49402538,2022-02-08,2.3296986,221.271
0.49402538,2022-02-09,2.2732182,221.45447
0.49402538,2022-02-10,2.2735991,221.50821
0.49402538,2022-02-11,2.340869,221.28627
0.49402538,2022-02-12,2.2193484,221.15984
0.49402538,2022-02-13,2.2267056,220.99722
