depth,latitude,longitude,time,dissic,ph,talk
0.49402538,-32.5,115.5,2021-11-01,2.1056721,8.104558,2.4043102
0.49402538,-32.5,115.5,2021-11-02,2.1062682,8.105845,2.4045944
0.49402538,-32.5,115.5,2021-11-03,2.1068642,8.103002,2.4048784
0.49402538,-32.5,115.5,2021-11-04,2.1074605,8.101005,2.4051626
0.49402538,-32.5,115.5,2021-11-05,2.1080565,8.101296,2.4054468
0.49402538,-32.5,115.5,2021-11-06,2.1086528,8.101028,2.4057307
0.49402538,-32.5,115.5,2021-11-07,2.1091769,8.101884,2.4062626
0.49402538,-32.5,115.5,2021-11-08,2.1097012,8.101699,2.4067945
0.49402538,-32.5,115.5,2021-11-09,2.1102254,8.101379,2.4073265
0.49402538,-32.5,115.5,2021-11-10,2.1107495,8.10051,2.4078584
0.49402538,-32.5,115.5,2021-11-11,2.1112738,8.099089,2.4083905
0.49402538,-32.5,115.5,2021-11-12,2.1117978,8.096913,2.4089224
0.49402538,-32.5,115.5,2021-11-13,2.1123223,8.094539,2.409454
0.49402538,-32.5,115.5,2021-11-14,2.1124377,8.092666,2.4096472
0.49402538,-32.5,115.5,2021-11-15,2.112553,8.087486,2.40984
0.49402538,-32.5,115.5,2021-11-16,2.1126685,8.080594,2.410033
0.49402538,-32.5,115.5,2021-11-17,2.112784,8.076827,2.4102259
0.49402538,-32.5,115.5,2021-11-18,2.1128995,8.07994,2.410419
0.49402538,-32.5,115.5,2021-11-19,2.1130147,8.083806,2.4106119
0.49402538,-32.5,115.5,2021-11-20,2.1131303,8.081038,2.4108047
0.49402538,-32.5,115.5,2021-11-21,2.113423,8.076887,2.411288
0.49402538,-32.5,115.5,2021-11-22,2.113716,8.078032,2.4117715
0.49402538,-32.5,115.5,2021-11-23,2.1140084,8.079109,2.412255
0.49402538,-32.5,115.5,2021-11-24,2.1143012,8.0762615,2.4127386
0.49402538,-32.5,115.5,2021-11-25,2.114594,8.073492,2.4132218
0.49402538,-32.5,115.5,2021-11-26,2.1148868,8.07021,2.4137053
0.49402538,-32.5,115.5,2021-11-27,2.1151795,8.062694,2.4141889
0.49402538,-32.5,115.5,2021-11-28,2.1152651,8.055753,2.414568
0.49402538,-32.5,115.5,2021-11-29,2.1153507,8.058477,2.4149473
0.49402538,-32.5,115.5,2021-11-30,2.115436,8.065324,2.4153264
0.49402538,-32.5,115.5,2021-12-01,2.1155217,8.068525,2.4157057
0.49402538,-32.5,115.5,2021-12-02,2.115607,8.070386,2.4160848
0.49402538,-32.5,115.5,2021-12-03,2.1156926,8.072114,2.4164639
0.49402538,-32.5,115.5,2021-12-04,2.1157782,8.071821,2.4168432
0.49402538,-32.5,115.5,2021-12-05,2.1158118,8.070434,2.4170172
