depth,latitude,longitude,time,kd
0.49402538,-32.25,115.25,2023-11-15,0.03432858
0.49402538,-32.25,115.25,2023-11-16,0.03373398
0.49402538,-32.25,115.25,2023-11-17,0.033122472
0.49402538,-32.25,115.25,2023-11-18,0.031916358
0.49402538,-32.25,115.25,2023-11-19,0.03187771
0.49402538,-32.25,115.25,2023-11-20,0.03190927
0.49402538,-32.25,115.25,2023-11-21,0.03231229
0.49402538,-32.25,115.25,2023-11-22,0.031844977
0.49402538,-32.25,115.25,2023-11-23,0.030778449
0.49402538,-32.25,115.25,2023-11-24,0.030778449
0.49402538,-32.25,115.25,2023-11-25,0.030778449
0.49402538,-32.25,115.25,2023-11-26,0.030328777
0.49402538,-32.25,115.25,2023-11-27,0.02984
0.49402538,-32.25,115.25,2023-11-28,0.02984
0.49402538,-32.25,115.25,2023-11-29,0.029570675
0.49402538,-32.25,115.25,2023-11-30,0.029516809
0.49402538,-32.25,115.25,2023-12-01,0.02864255
0.49402538,-32.25,115.25,2023-12-02,0.02849
0.49402538,-32.25,115.25,2023-12-03,0.02849
0.49402538,-32.25,115.25,2023-12-04,0.02849
0.49402538,-32.25,115.25,2023-12-05,0.02849
0.49402538,-32.25,115.25,2023-12-06,0.02877728
0.49402538,-32.25,115.25,2023-12-07,0.031006536
0.49402538,-32.25,115.25,2023-12-08,0.033076856
0.49402538,-32.25,115.25,2023-12-09,0.03340395
0.49402538,-32.25,115.25,2023-12-10,0.032585204
0.49402538,-32.25,115.25,2023-12-11,0.031367246
0.49402538,-32.25,115.25,2023-12-12,0.030778449
0.49402538,-32.25,115.25,2023-12-13,0.030861972
0.49402538,-32.25,115.25,2023-12-14,0.03178074
0.49402538,-32.25,115.25,2023-12-15,0.03178074
0.49402538,-32.25,115.25,2023-12-16,0.0321691
0.49402538,-32.25,115.25,2023-12-17,0.036062766
0.49402538,-32.25,115.25,2023-12-18,0.03870268
0.49402538,-32.25,115.25,2023-12-19,0.038517542
0.49402538,-32.25,115.25,2023-12-20,0.03616524
0.49402538,-32.25,115.25,2023-12-21,0.035317477
0.49402538,-32.25,115.25,2023-12-22,0.035980634
0.49402538,-32.25,115.25,2023-12-23,0.03673879
0.49402538,-32.25,115.25,2023-12-24,0.03607852
0.49402538,-32.25,115.25,2023-12-25,0.034413412
0.49402538,-32.25,115.25,2023-12-26,0.03340395
0.49402538,-32.25,115.25,2023-12-27,0.03340395
0.49402538,-32.25,115.25,2023-12-28,0.03340395
0.49402538,-32.25,115.25,2023-12-29,0.032494232
0.49402538,-32.25,115.25,2023-12-30,0.032249648
0.49402538,-32.25,115.25,2023-12-31,0.03131
0.49402538,-32.25,115.25,2024-01-01,0.03131
0.49402538,-32.25,115.25,2024-01-02,0.03161751
0.49402538,-32.25,115.25,2024-01-03,0.03281736
0.49402538,-32.25,115.25,2024-01-04,0.03288
0.49402538,-32.25,115.25,2024-01-05,0.03204476
0.49402538,-32.25,115.25,2024-01-06,0.03187771
0.49402538,-32.25,115.25,2024-01-07,0.03139279
0.49402538,-32.25,115.25,2024-01-08,0.03131
0.49402538,-32.25,115.25,2024-01-09,0.03172338
0.49402538,-32.25,115.25,2024-01-10,0.03282086
0.49402538,-32.25,115.25,2024-01-11,0.03168586
0.49402538,-32.25,115.25,2024-01-12,0.03131
0.49402538,-32.25,115.25,2024-01-13,0.03131
0.49402538,-32.25,115.25,2024-01-14,0.03168586
0.49402538,-32.25,115.25,2024-01-15,0.03239508
0.49402538,-32.25,115.25,2024-01-16,0.03288
0.49402538,-32.25,115.25,2024-01-17,0.03271295
0.49402538,-32.25,115.25,2024-01-18,0.031582028
0.49402538,-32.25,115.25,2024-01-19,0.03131
0.49402538,-32.25,115.25,2024-01-20,0.03131
0.49402538,-32.25,115.25,2024-01-21,0.03131
0.49402538,-32.25,115.25,2024-01-22,0.03131
0.49402538,-32.25,115.25,2024-01-23,0.03131
0.49402538,-32.25,115.25,2024-01-24,0.031623214
0.49402538,-32.25,115.25,2024-01-25,0.035103768
0.49402538,-32.25,115.25,2024-01-26,0.03468325
0.49402538,-32.25,115.25,2024-01-27,0.03240326
0.49402538,-32.25,115.25,2024-01-28,0.032516975
0.49402538,-32.25,115.25,2024-01-29,0.034272444
0.49402538,-32.25,115.25,2024-01-30,0.035849027
0.49402538,-32.25,115.25,2024-01-31,0.036203846
0.49402538,-32.25,115.25,2024-02-01,0.03681608
0.49402538,-32.25,115.25,2024-02-02,0.03639856
0.49402538,-32.25,115.25,2024-02-03,0.03734515
0.49402538,-32.25,115.25,2024-02-04,0.039375395
0.49402538,-32.25,115.25,2024-02-05,0.041207217
0.49402538,-32.25,115.25,2024-02-06,0.041392814
0.49402538,-32.25,115.25,2024-02-07,0.040211998
0.49402538,-32.25,115.25,2024-02-08,0.038490802
0.49402538,-32.25,115.25,2024-02-09,0.03815794
0.49402538,-32.25,115.25,2024-02-10,0.03687994
0.49402538,-32.25,115.25,2024-02-11,0.03545112
0.49402538,-32.25,115.25,2024-02-12,0.033735726
0.49402538,-32.25,115.25,2024-02-13,0.033498336
0.49402538,-32.25,115.25,2024-02-14,0.033498336
0.49402538,-32.25,115.25,2024-02-15,0.03333087
0.49402538,-32.25,115.25,2024-02-16,0.03288
0.49402538,-32.25,115.25,2024-02-17,0.03288
0.49402538,-32.25,115.25,2024-02-18,0.03288
0.49402538,-32.25,115.25,2024-02-19,0.03288
0.49402538,-32.25,115.25,2024-02-20,0.03307323
0.49402538,-32.25,115.25,2024-02-21,0.03288
0.49402538,-32.25,115.25,2024-02-22,0.03288
0.49402538,-32.25,115.25,2024-02-23,0.03288
0.49402538,-32.25,115.25,2024-02-24,0.03288
0.49402538,-32.25,115.25,2024-02-25,0.03288
0.49402538,-32.25,115.25,2024-02-26,0.03288
0.49402538,-32.25,115.25,2024-02-27,0.033163402
0.49402538,-32.25,115.25,2024-02-28,0.033498336
0.49402538,-32.25,115.25,2024-02-29,0.035112582
0.49402538,-32.25,115.25,2024-03-01,0.03643
0.49402538,-32.25,115.25,2024-03-02,0.036360696
0.49402538,-32.25,115.25,2024-03-03,0.035764657
0.49402538,-32.25,115.25,2024-03-04,0.035764657
0.49402538,-32.25,115.25,2024-03-05,0.035764657
0.49402538,-32.25,115.25,2024-03-06,0.035764657
0.49402538,-32.25,115.25,2024-03-07,0.035373103
0.49402538,-32.25,115.25,2024-03-08,0.03598644
0.49402538,-32.25,115.25,2024-03-09,0.037014663
0.49402538,-32.25,115.25,2024-03-10,0.037149582
0.49402538,-32.25,115.25,2024-03-11,0.036624886
0.49402538,-32.25,115.25,2024-03-12,0.037647482
0.49402538,-32.25,115.25,2024-03-13,0.03844389
0.49402538,-32.25,115.25,2024-03-14,0.037843395
0.49402538,-32.25,115.25,2024-03-15,0.037118144
0.49402538,-32.25,115.25,2024-03-16,0.03643
0.49402538,-32.25,115.25,2024-03-17,0.03608342
0.49402538,-32.25,115.25,2024-03-18,0.037308384
0.49402538,-32.25,115.25,2024-03-19,0.03842
0.49402538,-32.25,115.25,2024-03-20,0.03842
0.49402538,-32.25,115.25,2024-03-21,0.03802329
0.49402538,-32.25,115.25,2024-03-22,0.039597675
0.49402538,-32.25,115.25,2024-03-23,0.039384417
0.49402538,-32.25,115.25,2024-03-24,0.03842
0.49402538,-32.25,115.25,2024-03-25,0.03842
0.49402538,-32.25,115.25,2024-03-26,0.037773516
0.49402538,-32.25,115.25,2024-03-27,0.03643
0.49402538,-32.25,115.25,2024-03-28,0.03631911
0.49402538,-32.25,115.25,2024-03-29,0.034687888
0.49402538,-32.25,115.25,2024-03-30,0.03459
0.49402538,-32.25,115.25,2024-03-31,0.03459
0.49402538,-32.25,115.25,2024-04-01,0.03459
0.49402538,-32.25,115.25,2024-04-02,0.03459
