depth,time,chl,phyc
0.49402538,2021-11-01,0.22618996,1.7318292
0.49402538,2021-11-02,0.22562638,1.7266569
0.49402538,2021-11-03,0.20800707,1.6703995
0.49402538,2021-11-04,0.19913414,1.6449258
0.49402538,2021-11-05,0.20674185,1.6825724
0.49402538,2021-11-06,0.21185592,1.7137618
0.49402538,2021-11-07,0.20890084,1.7145112
0.49402538,2021-11-08,0.20249861,1.7002817
0.49402538,2021-11-09,0.19781111,1.6710699
0.49402538,2021-11-10,0.19485402,1.663831
0.49402538,2021-11-11,0.19393733,1.6778316
0.49402538,2021-11-12,0.18806258,1.6662587
0.49402538,2021-11-13,0.17900023,1.6252642
0.49402538,2021-11-14,0.17014384,1.5822823
0.49402538,2021-11-15,0.15926631,1.5484431
0.49402538,2021-11-16,0.14896587,1.5264556
0.49402538,2021-11-17,0.14425042,1.4891882
0.49402538,2021-11-18,0.15379986,1.4663063
0.49402538,2021-11-19,0.16731828,1.4914393
0.49402538,2021-11-20,0.16926429,1.5139832
0.49402538,2021-11-21,0.16516161,1.5057924
0.49402538,2021-11-22,0.17986232,1.56073
0.49402538,2021-11-23,0.18007004,1.5747423
0.49402538,2021-11-24,0.16957983,1.5460932
0.49402538,2021-11-25,0.15882543,1.4984362
0.49402538,2021-11-26,0.14851236,1.4459302
0.49402538,2021-11-27,0.1399371,1.41137
0.49402538,2021-11-28,0.13302414,1.3726707
0.49402538,2021-11-29,0.13807626,1.3657074
0.49402538,2021-11-30,0.1550446,1.4243917
0.49402538,2021-12-01,0.16146621,1.4591349
0.49402538,2021-12-02,0.16108193,1.4652741
0.49402538,2021-12-03,0.15932465,1.4569075
0.49402538,2021-12-04,0.15481901,1.4445356
0.49402538,2021-12-05,0.15275234,1.4409544
0.49402538,2021-12-06,0.15662661,1.4541202
0.49402538,2021-12-07,0.1532504,1.4457604
0.49402538,2021-12-08,0.14189148,1.4143041
0.49402538,2021-12-09,0.1312082,1.3640646
0.49402538,2021-12-10,0.12496902,1.3255414
0.49402538,2021-12-11,0.12369165,1.3154202
0.49402538,2021-12-12,0.1330194,1.3522729
0.49402538,2021-12-13,0.1365775,1.3745153
0.49402538,2021-12-14,0.13660999,1.384046
0.49402538,2021-12-15,0.13569072,1.3898479
0.49402538,2021-12-16,0.13278857,1.381932
0.49402538,2021-12-17,0.1297768,1.3737241
0.49402538,2021-12-18,0.12740886,1.3659813
0.49402538,2021-12-19,0.1227505,1.3452184
0.49402538,2021-12-20,0.118766814,1.3368049
0.49402538,2021-12-21,0.11782576,1.348368
0.49402538,2021-12-22,0.11680141,1.3516134
0.49402538,2021-12-23,0.11602406,1.343388
0.49402538,2021-12-24,0.1144146,1.3238044
0.49402538,2021-12-25,0.11231923,1.3048109
0.49402538,2021-12-26,0.11114974,1.303354
0.49402538,2021-12-27,0.11180739,1.3209031
0.49402538,2021-12-28,0.112787835,1.3417237
0.49402538,2021-12-29,0.11053996,1.3302758
0.49402538,2021-12-30,0.107915685,1.3110988
0.49402538,2021-12-31,0.111305006,1.3183751
0.49402538,2022-01-01,0.11919953,1.3523376
0.49402538,2022-01-02,0.12393011,1.3850162
0.49402538,2022-01-03,0.123738356,1.3962789
0.49402538,2022-01-04,0.12036492,1.3822347
0.49402538,2022-01-05,0.11590488,1.3581425
0.49402538,2022-01-06,0.11251271,1.340613
0.49402538,2022-01-07,0.11048721,1.3286209
0.49402538,2022-01-08,0.112317875,1.3270679
0.49402538,2022-01-09,0.11529699,1.343889
0.49402538,2022-01-10,0.114176415,1.3446165
0.49402538,2022-01-11,0.11132036,1.3347486
0.49402538,2022-01-12,0.10867229,1.3211186
0.49402538,2022-01-13,0.107881345,1.3125167
0.49402538,2022-01-14,0.1085084,1.3161631
0.49402538,2022-01-15,0.10952269,1.3214654
0.49402538,2022-01-16,0.10990916,1.3204592
0.49402538,2022-01-17,0.10885207,1.3122892
0.49402538,2022-01-18,0.10706665,1.3070866
0.49402538,2022-01-19,0.105860114,1.3081495
0.49402538,2022-01-20,0.105890036,1.3145106
0.49402538,2022-01-21,0.10683051,1.3284684
0.49402538,2022-01-22,0.107051395,1.3325686
0.49402538,2022-01-23,0.103513435,1.2844331
0.49402538,2022-01-24,0.103899494,1.2655829
0.49402538,2022-01-25,0.1061023,1.2736838
0.49402538,2022-01-26,0.1080666,1.2794023
0.49402538,2022-01-27,0.110672526,1.2890826
0.49402538,2022-01-28,0.11249937,1.2974035
0.49402538,2022-01-29,0.11385898,1.3100754
0.49402538,2022-01-30,0.1143308,1.3139381
0.49402538,2022-01-31,0.11507718,1.3042344
0.49402538,2022-02-01,0.11590627,1.2914994
0.49402538,2022-02-02,0.11566155,1.2800823
0.49402538,2022-02-03,0.11467696,1.277043
0.49402538,2022-02-04,0.11401774,1.2833859
0.49402538,2022-02-05,0.11252847,1.2868986
0.49402538,2022-02-06,0.10878001,1.2492148
0.49402538,2022-02-07,0.11080904,1.2653506
0.49402538,2022-02-08,0.11150159,1.2826163
0.49402538,2022-02-09,0.1114935,1.2918106
0.49402538,2022-02-10,0.11190207,1.3029802
0.49402538,2022-02-11,0.11237533,1.3174219
0.49402538,2022-02-12,0.11254371,1.31967
0.49402538,2022-02-13,0.11296659,1.3236222
0.49402538,2022-02-14,0.1129613,1.3256676
0.49402538,2022-02-15,0.11323243,1.3287321
0.49402538,2022-02-16,0.11275637,1.3178631
0.49402538,2022-02-17,0.113118455,1.321408
0.49402538,2022-02-18,0.11331257,1.3303605
0.49402538,2022-02-19,0.1128874,1.3317717
0.49402538,2022-02-20,0.11230129,1.3252194
0.49402538,2022-02-21,0.11242113,1.3239825
0.49402538,2022-02-22,0.113725156,1.3272111
0.49402538,2022-02-23,0.1144678,1.324669
0.49402538,2022-02-24,0.1132611,1.3200958
0.49402538,2022-02-25,0.11208808,1.3218869
0.49402538,2022-02-26,0.111731306,1.3200057
0.49402538,2022-02-27,0.11093888,1.3161182
0.49402538,2022-02-28,0.10930945,1.3145586
0.49402538,2022-03-01,0.10839842,1.3144138
0.49402538,2022-03-02,0.109248474,1.3145038
0.49402538,2022-03-03,0.11145808,1.3161197
0.49402538,2022-03-04,0.113510326,1.3164942
0.49402538,2022-03-05,0.11488677,1.3136063
0.49402538,2022-03-06,0.11597499,1.305768
0.49402538,2022-03-07,0.11655648,1.2863834
0.49402538,2022-03-08,0.11735764,1.2774812
0.49402538,2022-03-09,0.117899284,1.2831649
0.49402538,2022-03-10,0.11632424,1.2900766
0.49402538,2022-03-11,0.11490181,1.2884252
0.49402538,2022-03-12,0.11406635,1.2821562
0.49402538,2022-03-13,0.11448522,1.2936375
0.49402538,2022-03-14,0.11390782,1.3041071
0.49402538,2022-03-15,0.111159794,1.2887583
0.49402538,2022-03-16,0.109848686,1.2836035
0.49402538,2022-03-17,0.11007683,1.2907522
0.49402538,2022-03-18,0.11010113,1.2900485
0.49402538,2022-03-19,0.111289166,1.2700884
0.49402538,2022-03-20,0.11317396,1.2580118
0.49402538,2022-03-21,0.11531871,1.2484988
0.49402538,2022-03-22,0.11724653,1.2435917
0.49402538,2022-03-23,0.11853885,1.2402817
0.49402538,2022-03-24,0.11960099,1.2357893
0.49402538,2022-03-25,0.120364934,1.230273
0.49402538,2022-03-26,0.120611966,1.2244849
0.49402538,2022-03-27,0.11850955,1.200381
0.49402538,2022-03-28,0.11947063,1.1909227
0.49402538,2022-03-29,0.12160798,1.1912855
0.49402538,2022-03-30,0.12464455,1.2012742
0.49402538,2022-03-31,0.12622482,1.2150306
0.49402538,2022-04-01,0.12498534,1.2058413
0.49402538,2022-04-02,0.1219728,1.1878936
0.49402538,2022-04-03,0.118773885,1.1751916
0.49402538,2022-04-04,0.11942642,1.1733549
0.49402538,2022-04-05,0.1205002,1.1761515
0.49402538,2022-04-06,0.12157048,1.1824777
0.49402538,2022-04-07,0.12149538,1.1854057
0.49402538,2022-04-08,0.12064795,1.1834211
0.49402538,2022-04-09,0.12045367,1.1776631
0.49402538,2022-04-10,0.11896132,1.1648035
0.49402538,2022-04-11,0.11749918,1.1580003
0.49402538,2022-04-12,0.11722348,1.1549335
0.49402538,2022-04-13,0.11902584,1.16651
0.49402538,2022-04-14,0.11919548,1.1730194
0.49402538,2022-04-15,0.11781376,1.1691909
0.49402538,2022-04-16,0.117638595,1.1734567
0.49402538,2022-04-17,0.11840246,1.1780375
0.49402538,2022-04-18,0.11862867,1.1814325
0.49402538,2022-04-19,0.11961632,1.1860045
0.49402538,2022-04-20,0.122598365,1.1935073
0.49402538,2022-04-21,0.12646654,1.2034096
0.49402538,2022-04-22,0.12870443,1.2094209
0.49402538,2022-04-23,0.12871742,1.2004745
0.49402538,2022-04-24,0.12826231,1.1721945
0.49402538,2022-04-25,0.13133886,1.1564531
0.49402538,2022-04-26,0.13734728,1.1726589
0.49402538,2022-04-27,0.14333294,1.1995258
0.49402538,2022-04-28,0.15037617,1.2340635
0.49402538,2022-04-29,0.15573213,1.2721267
0.49402538,2022-04-30,0.15684412,1.2932129
0.49402538,2022-05-01,0.15504576,1.2959175
0.49402538,2022-05-02,0.15216221,1.2871811
0.49402538,2022-05-03,0.15329169,1.2843486
0.49402538,2022-05-04,0.15449569,1.2902753
0.49402538,2022-05-05,0.15460637,1.2993095
0.49402538,2022-05-06,0.15336627,1.3033822
0.49402538,2022-05-07,0.15165928,1.3013446
0.49402538,2022-05-08,0.14765528,1.2822747
0.49402538,2022-05-09,0.14412466,1.2718263
0.49402538,2022-05-10,0.14077014,1.2820597
0.49402538,2022-05-11,0.13705483,1.2798634
0.49402538,2022-05-12,0.13390613,1.2310874
0.49402538,2022-05-13,0.14499491,1.2514725
0.49402538,2022-05-14,0.14686097,1.2839022
0.49402538,2022-05-15,0.14290038,1.2985854
