time,latitude,longitude,npp,zooc
1998-01-01,-31.75,115.66667,1797.0293,1.3669128
1998-01-02,-31.75,115.66667,1411.8359,1.2831116
1998-01-03,-31.75,115.66667,1796.103,0.88430786
1998-01-04,-31.75,115.66667,1632.9053,0.86696625
1998-01-05,-31.75,115.66667,1627.1182,0.92476654
1998-01-06,-31.75,115.66667,1715.083,0.73981476
1998-01-07,-31.75,115.66667,1718.0923,0.8727493
1998-01-08,-31.75,115.66667,1660.915,0.56352997
1998-01-09,-31.75,115.66667,1167.8491,1.1993027
1998-01-10,-31.75,115.66667,2176.8984,1.0201263
1998-01-11,-31.75,115.66667,995.16016,0.9652252
1998-01-12,-31.75,115.66667,2171.8057,1.1559525
1998-01-13,-31.75,115.66667,664.13477,1.508522
1998-01-14,-31.75,115.66667,809.0449,1.0865936
1998-01-15,-31.75,115.66667,1078.9585,0.8554077
1998-01-16,-31.75,115.66667,1071.0879,0.89875793
1998-01-17,-31.75,115.66667,1587.9971,0.9912338
1998-01-18,-31.75,115.66667,1623.8774,0.91898346
1998-01-19,-31.75,115.66667,1942.8657,0.8640747
1998-01-20,-31.75,115.66667,1280.1201,1.150177
1998-01-21,-31.75,115.66667,1453.9663,1.6009979
1998-01-22,-31.75,115.66667,1458.1333,1.525856
1998-01-23,-31.75,115.66667,1944.023,1.2397614
1998-01-24,-31.75,115.66667,1608.8306,0.83517456
1998-01-25,-31.75,115.66667,2200.9731,0.52885437
1998-01-26,-31.75,115.66667,1730.8242,0.66178894
1998-01-27,-31.75,115.66667,1708.1382,1.0316925
1998-01-28,-31.75,115.66667,1900.0405,0.9045334
1998-01-29,-31.75,115.66667,1586.145,0.80916595
1998-01-30,-31.75,115.66667,1772.9546,0.7195816
1998-01-31,-31.75,115.66667,1154.8857,1.1559525
1998-02-01,-31.75,115.66667,1975.0425,1.5749893
1998-02-02,-31.75,115.66667,1355.1216,1.395813
1998-02-03,-31.75,115.66667,1991.9409,1.2455368
1998-02-04,-31.75,115.66667,1518.0879,1.5142975
1998-02-05,-31.75,115.66667,2121.1104,1.3929214
1998-02-06,-31.75,115.66667,1484.9854,1.8148422
1998-02-07,-31.75,115.66667,1501.1895,1.4073715
1998-02-08,-31.75,115.66667,1669.9434,0.8120575
1998-02-09,-31.75,115.66667,1339.1489,0.5144043
1998-02-10,-31.75,115.66667,1942.1714,0.37568665
1998-02-11,-31.75,115.66667,678.0239,0.9710007
1998-02-12,-31.75,115.66667,1948.8843,1.1328354
1998-02-13,-31.75,115.66667,1204.8867,1.0490265
1998-02-14,-31.75,115.66667,2219.955,0.8871994
1998-02-15,-31.75,115.66667,1020.16064,1.0548096
1998-02-16,-31.75,115.66667,1346.7881,1.1183853
1998-02-17,-31.75,115.66667,1291.9258,1.257103
1998-02-18,-31.75,115.66667,1275.9531,1.2484283
1998-02-19,-31.75,115.66667,1531.7456,0.8554077
1998-02-20,-31.75,115.66667,1315.0742,0.6675644
1998-02-21,-31.75,115.66667,1851.8916,0.80916595
1998-02-22,-31.75,115.66667,1259.749,0.91031647
1998-02-23,-31.75,115.66667,1141.9229,1.0172424
1998-02-24,-31.75,115.66667,993.07666,1.3726959
1998-02-25,-31.75,115.66667,1068.0786,1.5345306
1998-02-26,-31.75,115.66667,1562.0703,1.1646271
1998-02-27,-31.75,115.66667,1664.1558,0.684906
1998-02-28,-31.75,115.66667,1665.082,0.5317383
1998-03-01,-31.75,115.66667,1641.9331,0.930542
1998-03-02,-31.75,115.66667,1309.9819,0.5057297
1998-03-03,-31.75,115.66667,1337.0654,0.9710007
1998-03-04,-31.75,115.66667,1694.0176,0.8438492
1998-03-05,-31.75,115.66667,1412.0674,0.5230713
1998-03-06,-31.75,115.66667,1112.061,0.53752136
1998-03-07,-31.75,115.66667,1782.9087,0.4883957
1998-03-08,-31.75,115.66667,1745.8706,0.8033905
1998-03-09,-31.75,115.66667,1517.8564,0.8554077
1998-03-10,-31.75,115.66667,1181.044,0.8380661
1998-03-11,-31.75,115.66667,1320.167,0.41614532
1998-03-12,-31.75,115.66667,1331.9731,1.1039352
1998-03-13,-31.75,115.66667,2006.293,1.0981598
1998-03-14,-31.75,115.66667,1273.1753,0.8293991
1998-03-15,-31.75,115.66667,1871.105,0.5144043
1998-03-16,-31.75,115.66667,1367.8535,0.3727951
1998-03-17,-31.75,115.66667,1816.0112,0.2022934
1998-03-18,-31.75,115.66667,1654.8965,0.82650757
1998-03-19,-31.75,115.66667,2455.145,1.9246597
1998-03-20,-31.75,115.66667,2249.122,2.5315323
1998-03-21,-31.75,115.66667,1258.8232,0.73114014
