SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.5200,25.1493,0.1154,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.5200,25.1493,0.5769,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.5400,25.1644,1.1538,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.5400,25.1644,2.3077,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5400,25.1787,3.4615,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5400,25.1787,4.6154,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5400,25.1787,5.7692,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5400,25.1787,6.9231,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5400,25.1787,8.0769,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5600,25.1940,9.2308,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5600,25.1940,10.3846,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5600,25.1940,11.5385,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7400,36.5600,25.1940,12.6923,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.6900,36.5600,25.2085,13.8462,  NaN,  NaN
CS226,GARDEN IS,     92073,19920313 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.6900,36.5600,25.2085,15.0000,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.8900,36.4600,25.0748,0.1154,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.8900,36.4600,25.0748,0.5769,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.8900,36.4600,25.0748,1.1538,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.8900,36.4600,25.0748,2.3077,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.4600,25.1038,3.4615,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.4600,25.1038,4.6154,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.4800,25.1189,5.7692,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.4800,25.1189,6.9231,  NaN,  NaN
CS226,GARDEN IS,     92072,19920312 00:00:00,377391.0000,6432816.0000,-32.234599,115.698672,22.7900,36.4800,25.1189,8.0769,  NaN,  NaN
