SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9840,34.4719,23.8226,0.3542,4.9269,0.0690
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9815,34.4721,23.8234,0.3558,4.9266,0.1041
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9824,34.4751,23.8253,0.3583,4.9271,0.1430
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9841,34.4792,23.8280,0.3615,4.9278,0.1838
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9797,34.4840,23.8330,0.3656,4.9280,0.2260
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9785,34.4847,23.8338,0.3705,4.9279,0.2701
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9853,34.4828,23.8304,0.3764,4.9284,0.3161
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9847,34.4879,23.8345,0.3831,4.9290,0.3637
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9782,34.4927,23.8399,0.3909,4.9289,0.4120
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9797,34.4871,23.8353,0.3996,4.9284,0.4594
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9818,34.4831,23.8317,0.4093,4.9281,0.5053
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9793,34.4846,23.8336,0.4199,4.9280,0.5487
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9794,34.4805,23.8303,0.4313,4.9275,0.5892
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9785,34.4763,23.8274,0.4435,4.9269,0.6272
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9759,34.4797,23.8308,0.4564,4.9271,0.6635
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9770,34.4835,23.8333,0.4701,4.9277,0.6971
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9775,34.4854,23.8347,0.4844,4.9279,0.7262
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9764,34.4865,23.8356,0.4992,4.9280,0.7516
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9768,34.4846,23.8342,0.5145,4.9278,0.7754
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9767,34.4841,23.8338,0.5302,4.9277,0.7989
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9761,34.4895,23.8382,0.5464,4.9283,0.8222
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9760,34.4931,23.8409,0.5631,4.9288,0.8439
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9774,34.4880,23.8366,0.5803,4.9283,0.8626
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9792,34.4831,23.8323,0.5977,4.9278,0.8774
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9790,34.4849,23.8337,0.6154,4.9280,0.8889
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9797,34.4856,23.8342,0.6333,4.9282,0.8974
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9813,34.4833,23.8320,0.6514,4.9281,0.9031
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9795,34.4849,23.8336,0.6695,4.9281,0.9058
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9786,34.4862,23.8349,0.6877,4.9282,0.9066
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9815,34.4826,23.8314,0.7058,4.9280,0.9074
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9820,34.4807,23.8298,0.7239,4.9278,0.9084
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9791,34.4839,23.8330,0.7421,4.9279,0.9080
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9777,34.4862,23.8351,0.7603,4.9281,0.9056
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9792,34.4845,23.8333,0.7784,4.9280,0.9023
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9794,34.4830,23.8322,0.7964,4.9278,0.8990
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9782,34.4830,23.8326,0.8143,4.9277,0.8964
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9791,34.4826,23.8319,0.8322,4.9278,0.8946
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9803,34.4836,23.8324,0.8501,4.9280,0.8934
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9796,34.4863,23.8347,0.8679,4.9283,0.8931
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9787,34.4879,23.8361,0.8858,4.9284,0.8940
