SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.0487,24.7141,0.6000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.0486,24.7141,0.9000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.0403,24.7051,1.1000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.1800,24.8112,1.2000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.2110,24.8346,1.5000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.2192,24.8435,1.8000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.2191,24.8435,2.1000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7300,36.2272,24.8525,2.4000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7400,36.2189,24.8433,2.7000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.2261,24.8459,2.8000,  NaN,  NaN
V1,PERTH NORTH,     92071,19920311 00:00:00,379876.0000,6474443.0000,-31.859413,115.730236,22.7500,36.2260,24.8459,3.2000,  NaN,  NaN
