Variable,Date,Depth,Data,QC
U_12.4m,2004-07-01 00:00:00,20.0,-0.0572573,N
U_12.4m,2004-07-01 01:00:00,20.26231377,-0.087890955,N
U_12.4m,2004-07-01 02:00:00,20.33351377,-0.109106746,N
U_12.4m,2004-07-01 03:00:00,20.40571377,-0.073704675,N
U_12.4m,2004-07-01 04:00:00,20.50511377,-0.08034576,N
U_12.4m,2004-07-01 05:00:00,20.57451377,-0.115921478,N
U_12.4m,2004-07-01 06:00:00,20.63751377,-0.109861733,N
U_12.4m,2004-07-01 07:00:00,20.68871377,-0.093774193,N
U_12.4m,2004-07-01 08:00:00,20.72951377,-0.078913154,N
U_12.4m,2004-07-01 09:00:00,20.68951377,-0.095100013,N
U_12.4m,2004-07-01 10:00:00,20.64191377,-0.087109591,N
U_12.4m,2004-07-01 11:00:00,20.50611377,-0.048803299,N
U_12.4m,2004-07-01 12:00:00,20.35771377,-0.084274713,N
U_12.4m,2004-07-01 13:00:00,20.21071377,-0.06783324,N
U_12.4m,2004-07-01 14:00:00,20.07291377,-0.056706943,N
U_12.4m,2004-07-01 15:00:00,19.95231377,-0.098144594,N
U_12.4m,2004-07-01 16:00:00,19.89491377,-0.082677313,N
U_12.4m,2004-07-01 17:00:00,19.85171377,-0.07839664,N
U_12.4m,2004-07-01 18:00:00,19.82511377,-0.143005013,N
U_12.4m,2004-07-01 19:00:00,19.84931377,-0.085396732,N
U_12.4m,2004-07-01 20:00:00,19.91351377,-0.1185982,N
U_12.4m,2004-07-01 21:00:00,20.02011377,-0.169760437,N
U_12.4m,2004-07-01 22:00:00,20.10631377,-0.146622083,N
U_12.4m,2004-07-01 23:00:00,20.15171377,-0.116506327,N
U_12.4m,2004-07-02 00:00:00,20.19511377,-0.149322322,N
U_12.4m,2004-07-02 01:00:00,20.24511377,-0.142264133,N
U_12.4m,2004-07-02 02:00:00,20.34391377,-0.197804975,N
U_12.4m,2004-07-02 03:00:00,20.40111377,-0.178168791,N
U_12.4m,2004-07-02 04:00:00,20.53511377,-0.245015389,N
U_12.4m,2004-07-02 05:00:00,20.62631377,-0.271542018,N
U_12.4m,2004-07-02 06:00:00,20.74831377,-0.233166653,N
U_12.4m,2004-07-02 07:00:00,20.84571377,-0.228677752,N
U_12.4m,2004-07-02 08:00:00,20.88471377,-0.274858827,N
U_12.4m,2004-07-02 09:00:00,20.88671377,-0.210311503,N
U_12.4m,2004-07-02 10:00:00,20.88631377,-0.1704719,N
U_12.4m,2004-07-02 11:00:00,20.78151377,-0.170423392,N
U_12.4m,2004-07-02 12:00:00,20.60231377,-0.169564749,N
U_12.4m,2004-07-02 13:00:00,20.45251377,-0.154100418,N
U_12.4m,2004-07-02 14:00:00,20.28391377,-0.173044877,N
U_12.4m,2004-07-02 15:00:00,20.12911377,-0.133160454,N
U_12.4m,2004-07-02 16:00:00,20.04371377,-0.128450046,N
U_12.4m,2004-07-02 17:00:00,19.86871377,-0.104711262,N
U_12.4m,2004-07-02 18:00:00,19.85251377,-0.053302528,N
U_12.4m,2004-07-02 19:00:00,19.82971377,-0.027089437,N
U_12.4m,2004-07-02 20:00:00,19.85011377,-0.014936014,N
U_12.4m,2004-07-02 21:00:00,19.91651377,0.031184013,N
U_12.4m,2004-07-02 22:00:00,19.98231377,0.040429616,N
U_12.4m,2004-07-02 23:00:00,20.05051377,0.023819751,N
U_12.4m,2004-07-03 00:00:00,20.09891377,0.004787686,N
U_12.4m,2004-07-03 01:00:00,20.14511377,0.034272766,N
U_12.4m,2004-07-03 02:00:00,20.21371377,0.050411855,N
U_12.4m,2004-07-03 03:00:00,20.24411377,0.033250804,N
U_12.4m,2004-07-03 04:00:00,20.36211377,0.028633076,N
U_12.4m,2004-07-03 05:00:00,20.43051377,0.037349716,N
U_12.4m,2004-07-03 06:00:00,20.55231377,0.024243584,N
U_12.4m,2004-07-03 07:00:00,20.62211377,-0.002656067,N
U_12.4m,2004-07-03 08:00:00,20.68671377,-0.012193079,N
U_12.4m,2004-07-03 09:00:00,20.73091377,0.012370504,N
U_12.4m,2004-07-03 10:00:00,20.71451377,0.007973545,N
U_12.4m,2004-07-03 11:00:00,20.66691377,0.04060114,N
U_12.4m,2004-07-03 12:00:00,20.58291377,0.009613642,N
U_12.4m,2004-07-03 13:00:00,20.42991377,0.025506881,N
