Variable,Date,Depth,Data,QC
V_15.4m,2004-07-01 00:00:00,20.0,0.015114814,N
V_15.4m,2004-07-01 01:00:00,20.26231377,0.010647111,N
V_15.4m,2004-07-01 02:00:00,20.33351377,-0.005130847,N
V_15.4m,2004-07-01 03:00:00,20.40571377,0.013455522,N
V_15.4m,2004-07-01 04:00:00,20.50511377,-0.003253135,N
V_15.4m,2004-07-01 05:00:00,20.57451377,-0.016040172,N
V_15.4m,2004-07-01 06:00:00,20.63751377,-0.011359263,N
V_15.4m,2004-07-01 07:00:00,20.68871377,-0.035090957,N
V_15.4m,2004-07-01 08:00:00,20.72951377,-0.024386343,N
V_15.4m,2004-07-01 09:00:00,20.68951377,-0.016525472,N
V_15.4m,2004-07-01 10:00:00,20.64191377,-0.01374911,N
V_15.4m,2004-07-01 11:00:00,20.50611377,-0.023497539,N
V_15.4m,2004-07-01 12:00:00,20.35771377,-0.032060812,N
V_15.4m,2004-07-01 13:00:00,20.21071377,-0.008634546,N
V_15.4m,2004-07-01 14:00:00,20.07291377,-0.028443333,N
V_15.4m,2004-07-01 15:00:00,19.95231377,-0.010204223,N
V_15.4m,2004-07-01 16:00:00,19.89491377,-0.017824408,N
V_15.4m,2004-07-01 17:00:00,19.85171377,-0.02542429,N
V_15.4m,2004-07-01 18:00:00,19.82511377,-0.026645357,N
V_15.4m,2004-07-01 19:00:00,19.84931377,-0.023464108,N
V_15.4m,2004-07-01 20:00:00,19.91351377,-0.002420481,N
V_15.4m,2004-07-01 21:00:00,20.02011377,-0.007213271,N
V_15.4m,2004-07-01 22:00:00,20.10631377,-0.039737855,N
V_15.4m,2004-07-01 23:00:00,20.15171377,-0.030334785,N
V_15.4m,2004-07-02 00:00:00,20.19511377,-0.046082625,N
V_15.4m,2004-07-02 01:00:00,20.24511377,-0.048368475,N
V_15.4m,2004-07-02 02:00:00,20.34391377,-0.032557792,N
V_15.4m,2004-07-02 03:00:00,20.40111377,-0.006307381,N
V_15.4m,2004-07-02 04:00:00,20.53511377,-0.03587895,N
V_15.4m,2004-07-02 05:00:00,20.62631377,-0.031060676,N
V_15.4m,2004-07-02 06:00:00,20.74831377,-0.021924453,N
V_15.4m,2004-07-02 07:00:00,20.84571377,-0.00701374,N
V_15.4m,2004-07-02 08:00:00,20.88471377,-0.040790121,N
V_15.4m,2004-07-02 09:00:00,20.88671377,-0.035315202,N
V_15.4m,2004-07-02 10:00:00,20.88631377,-0.051598731,N
V_15.4m,2004-07-02 11:00:00,20.78151377,-0.025050132,N
V_15.4m,2004-07-02 12:00:00,20.60231377,-0.049429974,N
V_15.4m,2004-07-02 13:00:00,20.45251377,-0.052651768,N
V_15.4m,2004-07-02 14:00:00,20.28391377,-0.044605168,N
V_15.4m,2004-07-02 15:00:00,20.12911377,-0.039800665,N
V_15.4m,2004-07-02 16:00:00,20.04371377,-0.033427708,N
V_15.4m,2004-07-02 17:00:00,19.86871377,-0.04846861,N
V_15.4m,2004-07-02 18:00:00,19.85251377,-0.048946702,N
V_15.4m,2004-07-02 19:00:00,19.82971377,-0.037760747,N
V_15.4m,2004-07-02 20:00:00,19.85011377,-0.015896982,N
V_15.4m,2004-07-02 21:00:00,19.91651377,0.002888886,N
V_15.4m,2004-07-02 22:00:00,19.98231377,0.011066963,N
