Variable,Date,Depth,Data,QC
Pressure (m),2004-10-13 13:00:00,20.22317597,20.22317597,N
Pressure (m),2004-10-13 14:00:00,20.18569597,20.18569597,N
Pressure (m),2004-10-13 15:00:00,20.23601597,20.23601597,N
Pressure (m),2004-10-13 16:00:00,20.18781597,20.18781597,N
Pressure (m),2004-10-13 17:00:00,20.26865597,20.26865597,N
Pressure (m),2004-10-13 18:00:00,20.27771597,20.27771597,N
Pressure (m),2004-10-13 19:00:00,20.34691597,20.34691597,N
Pressure (m),2004-10-13 20:00:00,20.32685597,20.32685597,N
Pressure (m),2004-10-13 21:00:00,20.40847597,20.40847597,N
Pressure (m),2004-10-13 22:00:00,20.40701597,20.40701597,N
Pressure (m),2004-10-13 23:00:00,20.40177597,20.40177597,N
Pressure (m),2004-10-14 00:00:00,20.28875597,20.28875597,N
Pressure (m),2004-10-14 01:00:00,20.31075597,20.31075597,N
Pressure (m),2004-10-14 02:00:00,20.14913597,20.14913597,N
Pressure (m),2004-10-14 03:00:00,20.13771597,20.13771597,N
Pressure (m),2004-10-14 04:00:00,20.09963597,20.09963597,N
Pressure (m),2004-10-14 05:00:00,20.08949597,20.08949597,N
Pressure (m),2004-10-14 06:00:00,20.11517597,20.11517597,N
Pressure (m),2004-10-14 07:00:00,20.19533597,20.19533597,N
Pressure (m),2004-10-14 08:00:00,20.26837597,20.26837597,N
Pressure (m),2004-10-14 09:00:00,20.29725597,20.29725597,N
Pressure (m),2004-10-14 10:00:00,20.33813597,20.33813597,N
Pressure (m),2004-10-14 11:00:00,20.29969597,20.29969597,N
Pressure (m),2004-10-14 12:00:00,20.27183597,20.27183597,N
Pressure (m),2004-10-14 13:00:00,20.25173597,20.25173597,N
Pressure (m),2004-10-14 14:00:00,20.16619597,20.16619597,N
Pressure (m),2004-10-14 15:00:00,20.14805597,20.14805597,N
Pressure (m),2004-10-14 16:00:00,20.20665597,20.20665597,N
Pressure (m),2004-10-14 17:00:00,20.25317597,20.25317597,N
Pressure (m),2004-10-14 18:00:00,20.32957597,20.32957597,N
Pressure (m),2004-10-14 19:00:00,20.43133597,20.43133597,N
Pressure (m),2004-10-14 20:00:00,20.45677597,20.45677597,N
Pressure (m),2004-10-14 21:00:00,20.50781597,20.50781597,N
Pressure (m),2004-10-14 22:00:00,20.47035597,20.47035597,N
Pressure (m),2004-10-14 23:00:00,20.43219597,20.43219597,N
Pressure (m),2004-10-15 00:00:00,20.35469597,20.35469597,N
Pressure (m),2004-10-15 01:00:00,20.28803597,20.28803597,N
Pressure (m),2004-10-15 02:00:00,20.18739597,20.18739597,N
Pressure (m),2004-10-15 03:00:00,20.08081597,20.08081597,N
Pressure (m),2004-10-15 04:00:00,20.05869597,20.05869597,N
Pressure (m),2004-10-15 05:00:00,20.04495597,20.04495597,N
Pressure (m),2004-10-15 06:00:00,20.04931597,20.04931597,N
Pressure (m),2004-10-15 07:00:00,20.07245597,20.07245597,N
Pressure (m),2004-10-15 08:00:00,20.15941597,20.15941597,N
Pressure (m),2004-10-15 09:00:00,20.20049597,20.20049597,N
Pressure (m),2004-10-15 10:00:00,20.23381597,20.23381597,N
Pressure (m),2004-10-15 11:00:00,20.26165597,20.26165597,N
Pressure (m),2004-10-15 12:00:00,20.25193597,20.25193597,N
Pressure (m),2004-10-15 13:00:00,20.18609597,20.18609597,N
Pressure (m),2004-10-15 14:00:00,20.15061597,20.15061597,N
Pressure (m),2004-10-15 15:00:00,20.13905597,20.13905597,N
Pressure (m),2004-10-15 16:00:00,20.19561597,20.19561597,N
Pressure (m),2004-10-15 17:00:00,20.24053597,20.24053597,N
Pressure (m),2004-10-15 18:00:00,20.32693597,20.32693597,N
Pressure (m),2004-10-15 19:00:00,20.40757597,20.40757597,N
Pressure (m),2004-10-15 20:00:00,20.48491597,20.48491597,N
Pressure (m),2004-10-15 21:00:00,20.50883597,20.50883597,N
Pressure (m),2004-10-15 22:00:00,20.51099597,20.51099597,N
Pressure (m),2004-10-15 23:00:00,20.49739597,20.49739597,N
Pressure (m),2004-10-16 00:00:00,20.44715597,20.44715597,N
Pressure (m),2004-10-16 01:00:00,20.35693597,20.35693597,N
Pressure (m),2004-10-16 02:00:00,20.22813597,20.22813597,N
Pressure (m),2004-10-16 03:00:00,20.11985597,20.11985597,N
Pressure (m),2004-10-16 04:00:00,20.03939597,20.03939597,N
Pressure (m),2004-10-16 05:00:00,19.99205597,19.99205597,N
Pressure (m),2004-10-16 06:00:00,19.97357597,19.97357597,N
Pressure (m),2004-10-16 07:00:00,19.99601597,19.99601597,N
Pressure (m),2004-10-16 08:00:00,20.01449597,20.01449597,N
Pressure (m),2004-10-16 09:00:00,20.06735597,20.06735597,N
Pressure (m),2004-10-16 10:00:00,20.09947597,20.09947597,N
Pressure (m),2004-10-16 11:00:00,20.12251597,20.12251597,N
Pressure (m),2004-10-16 12:00:00,20.15753597,20.15753597,N
Pressure (m),2004-10-16 13:00:00,20.14237597,20.14237597,N
Pressure (m),2004-10-16 14:00:00,20.15389597,20.15389597,N
Pressure (m),2004-10-16 15:00:00,20.16243597,20.16243597,N
Pressure (m),2004-10-16 16:00:00,20.19663597,20.19663597,N
Pressure (m),2004-10-16 17:00:00,20.25001597,20.25001597,N
Pressure (m),2004-10-16 18:00:00,20.35521597,20.35521597,N
Pressure (m),2004-10-16 19:00:00,20.46057597,20.46057597,N
Pressure (m),2004-10-16 20:00:00,20.50987597,20.50987597,N
Pressure (m),2004-10-16 21:00:00,20.55733597,20.55733597,N
Pressure (m),2004-10-16 22:00:00,20.58979597,20.58979597,N
Pressure (m),2004-10-16 23:00:00,20.53533597,20.53533597,N
Pressure (m),2004-10-17 00:00:00,20.51057597,20.51057597,N
Pressure (m),2004-10-17 01:00:00,20.43549597,20.43549597,N
Pressure (m),2004-10-17 02:00:00,20.31241597,20.31241597,N
Pressure (m),2004-10-17 03:00:00,20.19051597,20.19051597,N
Pressure (m),2004-10-17 04:00:00,20.09011597,20.09011597,N
Pressure (m),2004-10-17 05:00:00,19.99817597,19.99817597,N
Pressure (m),2004-10-17 06:00:00,19.96149597,19.96149597,N
Pressure (m),2004-10-17 07:00:00,19.95497597,19.95497597,N
Pressure (m),2004-10-17 08:00:00,19.94897597,19.94897597,N
Pressure (m),2004-10-17 09:00:00,19.95769597,19.95769597,N
Pressure (m),2004-10-17 10:00:00,19.99267597,19.99267597,N
Pressure (m),2004-10-17 11:00:00,20.03499597,20.03499597,N
Pressure (m),2004-10-17 12:00:00,20.05629597,20.05629597,N
Pressure (m),2004-10-17 13:00:00,20.10789597,20.10789597,N
Pressure (m),2004-10-17 14:00:00,20.11299597,20.11299597,N
Pressure (m),2004-10-17 15:00:00,20.10381597,20.10381597,N
Pressure (m),2004-10-17 16:00:00,20.17133597,20.17133597,N
Pressure (m),2004-10-17 17:00:00,20.24707597,20.24707597,N
Pressure (m),2004-10-17 18:00:00,20.31619597,20.31619597,N
Pressure (m),2004-10-17 19:00:00,20.41793597,20.41793597,N
Pressure (m),2004-10-17 20:00:00,20.49589597,20.49589597,N
Pressure (m),2004-10-17 21:00:00,20.51961597,20.51961597,N
Pressure (m),2004-10-17 22:00:00,20.58601597,20.58601597,N
Pressure (m),2004-10-17 23:00:00,20.55641597,20.55641597,N
Pressure (m),2004-10-18 00:00:00,20.52243597,20.52243597,N
Pressure (m),2004-10-18 01:00:00,20.50117597,20.50117597,N
Pressure (m),2004-10-18 02:00:00,20.39081597,20.39081597,N
Pressure (m),2004-10-18 03:00:00,20.27829597,20.27829597,N
Pressure (m),2004-10-18 04:00:00,20.16973597,20.16973597,N
Pressure (m),2004-10-18 05:00:00,20.09311597,20.09311597,N
Pressure (m),2004-10-18 06:00:00,20.03671597,20.03671597,N
Pressure (m),2004-10-18 07:00:00,19.97027597,19.97027597,N
Pressure (m),2004-10-18 08:00:00,19.93529597,19.93529597,N
Pressure (m),2004-10-18 09:00:00,19.92413597,19.92413597,N
Pressure (m),2004-10-18 10:00:00,19.92379597,19.92379597,N
Pressure (m),2004-10-18 11:00:00,19.91679597,19.91679597,N
Pressure (m),2004-10-18 12:00:00,19.93711597,19.93711597,N
Pressure (m),2004-10-18 13:00:00,19.98263597,19.98263597,N
Pressure (m),2004-10-18 14:00:00,20.03313597,20.03313597,N
Pressure (m),2004-10-18 15:00:00,20.05829597,20.05829597,N
Pressure (m),2004-10-18 16:00:00,20.10269597,20.10269597,N
Pressure (m),2004-10-18 17:00:00,20.20703597,20.20703597,N
Pressure (m),2004-10-18 18:00:00,20.30129597,20.30129597,N
Pressure (m),2004-10-18 19:00:00,20.38869597,20.38869597,N
Pressure (m),2004-10-18 20:00:00,20.45897597,20.45897597,N
Pressure (m),2004-10-18 21:00:00,20.50349597,20.50349597,N
Pressure (m),2004-10-18 22:00:00,20.57289597,20.57289597,N
Pressure (m),2004-10-18 23:00:00,20.62703597,20.62703597,N
Pressure (m),2004-10-19 00:00:00,20.55399597,20.55399597,N
Pressure (m),2004-10-19 01:00:00,20.48419597,20.48419597,N
Pressure (m),2004-10-19 02:00:00,20.44273597,20.44273597,N
Pressure (m),2004-10-19 03:00:00,20.37047597,20.37047597,N
Pressure (m),2004-10-19 04:00:00,20.31745597,20.31745597,N
Pressure (m),2004-10-19 05:00:00,20.23165597,20.23165597,N
Pressure (m),2004-10-19 06:00:00,20.12103597,20.12103597,N
Pressure (m),2004-10-19 07:00:00,20.06693597,20.06693597,N
Pressure (m),2004-10-19 08:00:00,20.05049597,20.05049597,N
Pressure (m),2004-10-19 09:00:00,19.96093597,19.96093597,N
Pressure (m),2004-10-19 10:00:00,19.91325597,19.91325597,N
Pressure (m),2004-10-19 11:00:00,19.94827597,19.94827597,N
Pressure (m),2004-10-19 12:00:00,19.93235597,19.93235597,N
Pressure (m),2004-10-19 13:00:00,19.92963597,19.92963597,N
Pressure (m),2004-10-19 14:00:00,19.96307597,19.96307597,N
Pressure (m),2004-10-19 15:00:00,19.99405597,19.99405597,N
Pressure (m),2004-10-19 16:00:00,20.04773597,20.04773597,N
Pressure (m),2004-10-19 17:00:00,20.16435597,20.16435597,N
Pressure (m),2004-10-19 18:00:00,20.22381597,20.22381597,N
Pressure (m),2004-10-19 19:00:00,20.39275597,20.39275597,N
Pressure (m),2004-10-19 20:00:00,20.49777597,20.49777597,N
Pressure (m),2004-10-19 21:00:00,20.51507597,20.51507597,N
Pressure (m),2004-10-19 22:00:00,20.53209597,20.53209597,N
Pressure (m),2004-10-19 23:00:00,20.62585597,20.62585597,N
Pressure (m),2004-10-20 00:00:00,20.54533597,20.54533597,N
Pressure (m),2004-10-20 01:00:00,20.58569597,20.58569597,N
Pressure (m),2004-10-20 02:00:00,20.52789597,20.52789597,N
Pressure (m),2004-10-20 03:00:00,20.49867597,20.49867597,N
Pressure (m),2004-10-20 04:00:00,20.38789597,20.38789597,N
Pressure (m),2004-10-20 05:00:00,20.37493597,20.37493597,N
Pressure (m),2004-10-20 06:00:00,20.21747597,20.21747597,N
