Variable,Date,Depth,Data,QC
Salinity (psu),2004-07-01 00:00:00,10.0,35.52126,N
Salinity (psu),2004-07-01 01:00:00,10.262313769999999,35.51978,N
Salinity (psu),2004-07-01 02:00:00,10.33351377,35.52178,N
Salinity (psu),2004-07-01 03:00:00,10.405713769999998,35.51678,N
Salinity (psu),2004-07-01 04:00:00,10.505113770000001,35.51056,N
Salinity (psu),2004-07-01 05:00:00,10.57451377,35.50944,N
Salinity (psu),2004-07-01 06:00:00,10.637513770000002,35.50126,N
Salinity (psu),2004-07-01 07:00:00,10.68871377,35.5085,N
Salinity (psu),2004-07-01 08:00:00,10.72951377,35.4976,N
Salinity (psu),2004-07-01 09:00:00,10.689513770000001,35.51262,N
Salinity (psu),2004-07-01 10:00:00,10.641913769999999,35.5239,N
Salinity (psu),2004-07-01 11:00:00,10.506113769999999,35.5312,N
Salinity (psu),2004-07-01 12:00:00,10.35771377,35.53398,N
Salinity (psu),2004-07-01 13:00:00,10.210713770000002,35.53848,N
Salinity (psu),2004-07-01 14:00:00,10.07291377,35.54256,N
Salinity (psu),2004-07-01 15:00:00,9.95231377,35.54116,N
Salinity (psu),2004-07-01 16:00:00,9.894913769999999,35.53258,N
Salinity (psu),2004-07-01 17:00:00,9.85171377,35.5422,N
Salinity (psu),2004-07-01 18:00:00,9.825113770000002,35.54444,N
Salinity (psu),2004-07-01 19:00:00,9.849313769999998,35.5446,N
Salinity (psu),2004-07-01 20:00:00,9.913513770000002,35.5473,N
Salinity (psu),2004-07-01 21:00:00,10.020113769999998,35.55062,N
Salinity (psu),2004-07-01 22:00:00,10.10631377,35.54982,N
Salinity (psu),2004-07-01 23:00:00,10.15171377,35.54058,N
Salinity (psu),2004-07-02 00:00:00,10.195113769999999,35.5378,N
Salinity (psu),2004-07-02 01:00:00,10.24511377,35.54588,N
Salinity (psu),2004-07-02 02:00:00,10.34391377,35.54846,N
Salinity (psu),2004-07-02 03:00:00,10.401113769999998,35.54996,N
Salinity (psu),2004-07-02 04:00:00,10.535113769999999,35.55016,N
Salinity (psu),2004-07-02 05:00:00,10.62631377,35.55192,N
Salinity (psu),2004-07-02 06:00:00,10.74831377,35.55628,N
Salinity (psu),2004-07-02 07:00:00,10.84571377,35.55968,N
Salinity (psu),2004-07-02 08:00:00,10.884713770000001,35.56126,N
Salinity (psu),2004-07-02 09:00:00,10.88671377,35.55976,N
Salinity (psu),2004-07-02 10:00:00,10.886313770000001,35.558,N
Salinity (psu),2004-07-02 11:00:00,10.78151377,35.5578,N
Salinity (psu),2004-07-02 12:00:00,10.602313769999999,35.56074,N
Salinity (psu),2004-07-02 13:00:00,10.45251377,35.56562,N
Salinity (psu),2004-07-02 14:00:00,10.283913770000002,35.56856,N
Salinity (psu),2004-07-02 15:00:00,10.12911377,35.56978,N
Salinity (psu),2004-07-02 16:00:00,10.04371377,35.56242,N
Salinity (psu),2004-07-02 17:00:00,9.86871377,35.56102,N
Salinity (psu),2004-07-02 18:00:00,9.852513770000002,35.56162,N
Salinity (psu),2004-07-02 19:00:00,9.829713770000001,35.5624,N
Salinity (psu),2004-07-02 20:00:00,9.85011377,35.56338,N
Salinity (psu),2004-07-02 21:00:00,9.916513770000002,35.56418,N
Salinity (psu),2004-07-02 22:00:00,9.982313770000001,35.565,N
Salinity (psu),2004-07-02 23:00:00,10.050513769999998,35.56488,N
Salinity (psu),2004-07-03 00:00:00,10.09891377,35.56458,N
Salinity (psu),2004-07-03 01:00:00,10.145113769999998,35.56462,N
Salinity (psu),2004-07-03 02:00:00,10.213713769999998,35.56722,N
Salinity (psu),2004-07-03 03:00:00,10.244113769999998,35.5681,N
Salinity (psu),2004-07-03 04:00:00,10.36211377,35.56916,N
Salinity (psu),2004-07-03 05:00:00,10.430513770000001,35.56948,N
Salinity (psu),2004-07-03 06:00:00,10.552313770000001,35.56974,N
Salinity (psu),2004-07-03 07:00:00,10.622113769999999,35.5676,N
Salinity (psu),2004-07-03 08:00:00,10.68671377,35.5694,N
Salinity (psu),2004-07-03 09:00:00,10.73091377,35.56886,N
Salinity (psu),2004-07-03 10:00:00,10.71451377,35.56988,N
Salinity (psu),2004-07-03 11:00:00,10.66691377,35.57052,N
Salinity (psu),2004-07-03 12:00:00,10.582913770000001,35.5723,N
Salinity (psu),2004-07-03 13:00:00,10.429913769999999,35.5728,N
Salinity (psu),2004-07-03 14:00:00,10.308513770000001,35.57204,N
Salinity (psu),2004-07-03 15:00:00,10.172313769999999,35.57362,N
Salinity (psu),2004-07-03 16:00:00,10.028113770000001,35.57254,N
Salinity (psu),2004-07-03 17:00:00,9.905713769999998,35.57022,N
Salinity (psu),2004-07-03 18:00:00,9.85951377,35.57004,N
Salinity (psu),2004-07-03 19:00:00,9.806913770000001,35.56706,N
Salinity (psu),2004-07-03 20:00:00,9.811313770000002,35.56536,N
Salinity (psu),2004-07-03 21:00:00,9.83811377,35.56298,N
Salinity (psu),2004-07-03 22:00:00,9.90011377,35.56128,N
Salinity (psu),2004-07-03 23:00:00,9.97671377,35.5592,N
Salinity (psu),2004-07-04 00:00:00,10.02571377,35.55848,N
Salinity (psu),2004-07-04 01:00:00,10.07911377,35.55628,N
Salinity (psu),2004-07-04 02:00:00,10.137713770000001,35.55714,N
Salinity (psu),2004-07-04 03:00:00,10.19311377,35.55626,N
Salinity (psu),2004-07-04 04:00:00,10.253713770000001,35.55484,N
Salinity (psu),2004-07-04 05:00:00,10.34711377,35.55808,N
Salinity (psu),2004-07-04 06:00:00,10.42471377,35.56044,N
Salinity (psu),2004-07-04 07:00:00,10.539713769999999,35.56478,N
Salinity (psu),2004-07-04 08:00:00,10.60171377,35.56258,N
Salinity (psu),2004-07-04 09:00:00,10.675713770000002,35.56472,N
Salinity (psu),2004-07-04 10:00:00,10.695713770000001,35.56186,N
Salinity (psu),2004-07-04 11:00:00,10.68871377,35.5608,N
Salinity (psu),2004-07-04 12:00:00,10.61831377,35.5558,N
Salinity (psu),2004-07-04 13:00:00,10.53291377,35.54564,N
Salinity (psu),2004-07-04 14:00:00,10.407313769999998,35.54294,N
Salinity (psu),2004-07-04 15:00:00,10.30631377,35.53824,N
Salinity (psu),2004-07-04 16:00:00,10.19791377,35.53666,N
Salinity (psu),2004-07-04 17:00:00,10.061313770000002,35.54006,N
Salinity (psu),2004-07-04 18:00:00,9.963713769999998,35.54474,N
Salinity (psu),2004-07-04 19:00:00,9.890913770000001,35.53732,N
Salinity (psu),2004-07-04 20:00:00,9.87911377,35.53478,N
Salinity (psu),2004-07-04 21:00:00,9.903913769999999,35.532,N
Salinity (psu),2004-07-04 22:00:00,9.937913770000002,35.53004,N
Salinity (psu),2004-07-04 23:00:00,9.99371377,35.52984,N
Salinity (psu),2004-07-05 00:00:00,10.048713769999999,35.5291,N
Salinity (psu),2004-07-05 01:00:00,10.093313770000002,35.5303,N
Salinity (psu),2004-07-05 02:00:00,10.12731377,35.53068,N
Salinity (psu),2004-07-05 03:00:00,10.16251377,35.5306,N
Salinity (psu),2004-07-05 04:00:00,10.22371377,35.5284,N
Salinity (psu),2004-07-05 05:00:00,10.297713770000001,35.52408,N
Salinity (psu),2004-07-05 06:00:00,10.401513770000001,35.52134,N
Salinity (psu),2004-07-05 07:00:00,10.503113769999999,35.51992,N
Salinity (psu),2004-07-05 08:00:00,10.55711377,35.51984,N
Salinity (psu),2004-07-05 09:00:00,10.61391377,35.52526,N
Salinity (psu),2004-07-05 10:00:00,10.66151377,35.52352,N
Salinity (psu),2004-07-05 11:00:00,10.68251377,35.52894,N
Salinity (psu),2004-07-05 12:00:00,10.682913769999999,35.52606,N
Salinity (psu),2004-07-05 13:00:00,10.63491377,35.52238,N
Salinity (psu),2004-07-05 14:00:00,10.533513769999999,35.52354,N
Salinity (psu),2004-07-05 15:00:00,10.404313770000002,35.5244,N
Salinity (psu),2004-07-05 16:00:00,10.33171377,35.52506,N
Salinity (psu),2004-07-05 17:00:00,10.22231377,35.5258,N
Salinity (psu),2004-07-05 18:00:00,10.125113769999999,35.52608,N
Salinity (psu),2004-07-05 19:00:00,10.064113769999999,35.52906,N
Salinity (psu),2004-07-05 20:00:00,10.03131377,35.53212,N
Salinity (psu),2004-07-05 21:00:00,10.015513769999998,35.53522,N
Salinity (psu),2004-07-05 22:00:00,10.01931377,35.53726,N
Salinity (psu),2004-07-05 23:00:00,10.058513770000001,35.5384,N
Salinity (psu),2004-07-06 00:00:00,10.117513769999999,35.53614,N
Salinity (psu),2004-07-06 01:00:00,10.135913769999998,35.53836,N
Salinity (psu),2004-07-06 02:00:00,10.18111377,35.53956,N
Salinity (psu),2004-07-06 03:00:00,10.22091377,35.53898,N
Salinity (psu),2004-07-06 04:00:00,10.22671377,35.54074,N
Salinity (psu),2004-07-06 05:00:00,10.291713770000001,35.54404,N
Salinity (psu),2004-07-06 06:00:00,10.37631377,35.54714,N
