Variable,Date,Depth,Data,QC
Tot_19.0m,2005-01-12 00:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 01:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 02:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 03:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 04:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 05:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 06:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 07:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 08:00:00,100.0,0.0,N
Tot_19.0m,2005-01-12 09:00:00,100.0,0.04585368,N
Tot_19.0m,2005-01-12 10:00:00,102.5432528,0.188139203,N
Tot_19.0m,2005-01-12 11:00:00,102.5662528,0.21066846,N
Tot_19.0m,2005-01-12 12:00:00,102.5822528,0.210757206,N
Tot_19.0m,2005-01-12 13:00:00,102.8390528,0.224525277,N
Tot_19.0m,2005-01-12 14:00:00,102.5900528,0.230085376,N
Tot_19.0m,2005-01-12 15:00:00,102.7680528,0.1526173,N
Tot_19.0m,2005-01-12 16:00:00,103.0096528,0.159712742,N
Tot_19.0m,2005-01-12 17:00:00,102.8864528,0.183620152,N
Tot_19.0m,2005-01-12 18:00:00,102.8876528,0.178632248,N
Tot_19.0m,2005-01-12 19:00:00,103.0658528,0.197157805,N
Tot_19.0m,2005-01-12 20:00:00,103.0632528,0.185048427,N
Tot_19.0m,2005-01-12 21:00:00,103.2404528,0.162683988,N
Tot_19.0m,2005-01-12 22:00:00,103.3092528,0.170729259,N
Tot_19.0m,2005-01-12 23:00:00,103.1952528,0.157371535,N
Tot_19.0m,2005-01-13 00:00:00,103.2356528,0.164254072,N
Tot_19.0m,2005-01-13 01:00:00,103.0512528,0.176990395,N
Tot_19.0m,2005-01-13 02:00:00,102.9962528,0.218631471,N
Tot_19.0m,2005-01-13 03:00:00,102.8546528,0.198817806,N
Tot_19.0m,2005-01-13 04:00:00,102.8632528,0.235651437,N
Tot_19.0m,2005-01-13 05:00:00,102.7584528,0.270667693,N
Tot_19.0m,2005-01-13 06:00:00,102.6398528,0.25565203,N
Tot_19.0m,2005-01-13 07:00:00,102.5530528,0.268877741,N
Tot_19.0m,2005-01-13 08:00:00,102.5470528,0.262840256,N
Tot_19.0m,2005-01-13 09:00:00,102.5898528,0.25146459,N
Tot_19.0m,2005-01-13 10:00:00,102.6326528,0.274220422,N
Tot_19.0m,2005-01-13 11:00:00,102.6876528,0.265101716,N
Tot_19.0m,2005-01-13 12:00:00,102.7142528,0.283301818,N
Tot_19.0m,2005-01-13 13:00:00,102.6848528,0.304073214,N
Tot_19.0m,2005-01-13 14:00:00,102.6570528,0.310342069,N
Tot_19.0m,2005-01-13 15:00:00,102.7754528,0.280299411,N
Tot_19.0m,2005-01-13 16:00:00,102.8926528,0.330872363,N
Tot_19.0m,2005-01-13 17:00:00,102.9156528,0.304445594,N
Tot_19.0m,2005-01-13 18:00:00,102.9804528,0.313815551,N
Tot_19.0m,2005-01-13 19:00:00,103.0402528,0.347458544,N
Tot_19.0m,2005-01-13 20:00:00,103.1368528,0.37113216,N
Tot_19.0m,2005-01-13 21:00:00,103.0820528,0.412875042,N
Tot_19.0m,2005-01-13 22:00:00,103.1636528,0.408808268,N
Tot_19.0m,2005-01-13 23:00:00,103.1368528,0.362778665,N
Tot_19.0m,2005-01-14 00:00:00,103.1650528,0.436538612,N
Tot_19.0m,2005-01-14 01:00:00,103.1504528,0.411337185,N
Tot_19.0m,2005-01-14 02:00:00,102.9768528,0.386214552,N
Tot_19.0m,2005-01-14 03:00:00,102.9424528,0.380070941,N
Tot_19.0m,2005-01-14 04:00:00,102.7204528,0.353788638,N
Tot_19.0m,2005-01-14 05:00:00,102.7266528,0.314739257,N
Tot_19.0m,2005-01-14 06:00:00,102.7546528,0.30503049,N
Tot_19.0m,2005-01-14 07:00:00,102.7056528,0.293194952,N
Tot_19.0m,2005-01-14 08:00:00,102.7498528,0.285650766,N
Tot_19.0m,2005-01-14 09:00:00,102.7386528,0.216601016,N
Tot_19.0m,2005-01-14 10:00:00,102.7032528,0.263832219,N
Tot_19.0m,2005-01-14 11:00:00,102.7424528,0.217630972,N
Tot_19.0m,2005-01-14 12:00:00,102.6252528,0.198048175,N
Tot_19.0m,2005-01-14 13:00:00,102.6984528,0.210253941,N
Tot_19.0m,2005-01-14 14:00:00,102.7360528,0.306757233,N
Tot_19.0m,2005-01-14 15:00:00,102.7448528,0.255344865,N
Tot_19.0m,2005-01-14 16:00:00,102.7680528,0.311703064,N
Tot_19.0m,2005-01-14 17:00:00,102.9524528,0.302504215,N
Tot_19.0m,2005-01-14 18:00:00,102.9722528,0.309209185,N
Tot_19.0m,2005-01-14 19:00:00,102.9022528,0.414840885,N
Tot_19.0m,2005-01-14 20:00:00,102.9926528,0.562285408,N
Tot_19.0m,2005-01-14 21:00:00,102.9400528,0.492440656,N
Tot_19.0m,2005-01-14 22:00:00,103.0318528,0.51068362,N
Tot_19.0m,2005-01-14 23:00:00,103.0782528,0.488039383,N
Tot_19.0m,2005-01-15 00:00:00,103.0244528,0.462973433,N
Tot_19.0m,2005-01-15 01:00:00,103.0108528,0.452280444,N
Tot_19.0m,2005-01-15 02:00:00,102.8608528,0.451972388,N
Tot_19.0m,2005-01-15 03:00:00,102.8476528,0.398519912,N
Tot_19.0m,2005-01-15 04:00:00,102.8156528,0.360399389,N
