Variable,Date,Depth,Data,QC
V_95.0m,2005-01-12 00:00:00,100.0,0.0,N
V_95.0m,2005-01-12 01:00:00,100.0,0.0,N
V_95.0m,2005-01-12 02:00:00,100.0,0.0,N
V_95.0m,2005-01-12 03:00:00,100.0,0.0,N
V_95.0m,2005-01-12 04:00:00,100.0,0.0,N
V_95.0m,2005-01-12 05:00:00,100.0,0.0,N
V_95.0m,2005-01-12 06:00:00,100.0,0.0,N
V_95.0m,2005-01-12 07:00:00,100.0,0.0,N
V_95.0m,2005-01-12 08:00:00,100.0,0.0,N
V_95.0m,2005-01-12 09:00:00,100.0,-0.016952822,N
V_95.0m,2005-01-12 10:00:00,102.5432528,-0.011257158,N
V_95.0m,2005-01-12 11:00:00,102.5662528,-0.016899798,N
V_95.0m,2005-01-12 12:00:00,102.5822528,-0.024584886,N
V_95.0m,2005-01-12 13:00:00,102.8390528,-0.03560375,N
V_95.0m,2005-01-12 14:00:00,102.5900528,-0.024188347,N
V_95.0m,2005-01-12 15:00:00,102.7680528,-0.038946379,N
V_95.0m,2005-01-12 16:00:00,103.0096528,-0.048080212,N
V_95.0m,2005-01-12 17:00:00,102.8864528,-0.066573723,N
V_95.0m,2005-01-12 18:00:00,102.8876528,-0.06853972,N
V_95.0m,2005-01-12 19:00:00,103.0658528,-0.022894248,N
V_95.0m,2005-01-12 20:00:00,103.0632528,0.083570447,N
V_95.0m,2005-01-12 21:00:00,103.2404528,0.096547194,N
V_95.0m,2005-01-12 22:00:00,103.3092528,0.104958499,N
V_95.0m,2005-01-12 23:00:00,103.1952528,0.097525073,N
V_95.0m,2005-01-13 00:00:00,103.2356528,0.064508317,N
V_95.0m,2005-01-13 01:00:00,103.0512528,0.015736559,N
V_95.0m,2005-01-13 02:00:00,102.9962528,-0.013621997,N
V_95.0m,2005-01-13 03:00:00,102.8546528,-0.019905461,N
V_95.0m,2005-01-13 04:00:00,102.8632528,-0.009584134,N
V_95.0m,2005-01-13 05:00:00,102.7584528,0.020260779,N
V_95.0m,2005-01-13 06:00:00,102.6398528,0.053807328,N
V_95.0m,2005-01-13 07:00:00,102.5530528,0.056322207,N
V_95.0m,2005-01-13 08:00:00,102.5470528,0.017087461,N
V_95.0m,2005-01-13 09:00:00,102.5898528,0.003297719,N
V_95.0m,2005-01-13 10:00:00,102.6326528,-0.033996112,N
V_95.0m,2005-01-13 11:00:00,102.6876528,-0.074867266,N
V_95.0m,2005-01-13 12:00:00,102.7142528,-0.106091024,N
V_95.0m,2005-01-13 13:00:00,102.6848528,-0.08947452,N
V_95.0m,2005-01-13 14:00:00,102.6570528,-0.025070686,N
V_95.0m,2005-01-13 15:00:00,102.7754528,0.004012691,N
V_95.0m,2005-01-13 16:00:00,102.8926528,0.017561836,N
V_95.0m,2005-01-13 17:00:00,102.9156528,0.050458708,N
V_95.0m,2005-01-13 18:00:00,102.9804528,0.0882602,N
V_95.0m,2005-01-13 19:00:00,103.0402528,0.106780177,N
V_95.0m,2005-01-13 20:00:00,103.1368528,0.106374048,N
V_95.0m,2005-01-13 21:00:00,103.0820528,0.090271844,N
V_95.0m,2005-01-13 22:00:00,103.1636528,0.125722603,N
V_95.0m,2005-01-13 23:00:00,103.1368528,0.133284855,N
V_95.0m,2005-01-14 00:00:00,103.1650528,0.096185326,N
V_95.0m,2005-01-14 01:00:00,103.1504528,0.070978706,N
V_95.0m,2005-01-14 02:00:00,102.9768528,0.045827233,N
V_95.0m,2005-01-14 03:00:00,102.9424528,0.025117629,N
V_95.0m,2005-01-14 04:00:00,102.7204528,-0.015701239,N
V_95.0m,2005-01-14 05:00:00,102.7266528,-0.022363628,N
V_95.0m,2005-01-14 06:00:00,102.7546528,-0.008478255,N
V_95.0m,2005-01-14 07:00:00,102.7056528,0.015967566,N
V_95.0m,2005-01-14 08:00:00,102.7498528,0.040643009,N
V_95.0m,2005-01-14 09:00:00,102.7386528,0.083224809,N
V_95.0m,2005-01-14 10:00:00,102.7032528,0.1064184,N
