Variable,Date,Depth,Data,QC
U_71m,2004-08-24 08:00:00,103.308994,-0.161786154,N
U_71m,2004-08-24 09:00:00,103.471394,-0.232986925,N
U_71m,2004-08-24 10:00:00,103.019594,-0.282329606,N
U_71m,2004-08-24 11:00:00,102.979194,-0.347578894,N
U_71m,2004-08-24 12:00:00,102.870394,-0.405007159,N
U_71m,2004-08-24 13:00:00,102.904794,-0.453633303,N
U_71m,2004-08-24 14:00:00,103.057594,-0.480393062,N
U_71m,2004-08-24 15:00:00,102.875594,-0.44219863,N
U_71m,2004-08-24 16:00:00,102.976994,-0.440215018,N
U_71m,2004-08-24 17:00:00,102.838994,-0.431413724,N
U_71m,2004-08-24 18:00:00,103.107594,-0.419155728,N
U_71m,2004-08-24 19:00:00,103.233394,-0.384018418,N
U_71m,2004-08-24 20:00:00,102.873194,-0.367061997,N
U_71m,2004-08-24 21:00:00,102.631394,-0.308059379,N
U_71m,2004-08-24 22:00:00,102.918194,-0.306551797,N
U_71m,2004-08-24 23:00:00,102.930594,-0.319052513,N
U_71m,2004-08-25 00:00:00,103.053794,-0.263368917,N
U_71m,2004-08-25 01:00:00,103.457794,-0.259838716,N
U_71m,2004-08-25 02:00:00,103.173394,-0.267121453,N
U_71m,2004-08-25 03:00:00,103.172394,-0.255566986,N
U_71m,2004-08-25 04:00:00,103.318794,-0.204988213,N
U_71m,2004-08-25 05:00:00,103.452994,-0.150389931,N
U_71m,2004-08-25 06:00:00,103.295394,-0.109186147,N
U_71m,2004-08-25 07:00:00,103.218394,-0.108136243,N
U_71m,2004-08-25 08:00:00,103.545794,-0.072248642,N
U_71m,2004-08-25 09:00:00,103.052594,-0.075475722,N
U_71m,2004-08-25 10:00:00,102.842594,-0.060166595,N
U_71m,2004-08-25 11:00:00,102.899794,-0.003639021,N
U_71m,2004-08-25 12:00:00,102.837394,0.037494124,N
U_71m,2004-08-25 13:00:00,102.973394,0.065774654,N
U_71m,2004-08-25 14:00:00,101.954794,0.105272127,N
U_71m,2004-08-25 15:00:00,102.551994,0.103163557,N
U_71m,2004-08-25 16:00:00,102.518994,0.084314639,N
U_71m,2004-08-25 17:00:00,102.664394,0.043797506,N
U_71m,2004-08-25 18:00:00,102.305194,0.085742081,N
U_71m,2004-08-25 19:00:00,102.859594,0.039682365,N
U_71m,2004-08-25 20:00:00,102.675394,-0.00842865,N
U_71m,2004-08-25 21:00:00,103.142994,-0.032078353,N
U_71m,2004-08-25 22:00:00,103.167594,-0.100850555,N
U_71m,2004-08-25 23:00:00,103.114994,-0.150244047,N
U_71m,2004-08-26 00:00:00,102.615394,-0.199842906,N
U_71m,2004-08-26 01:00:00,102.958594,-0.269938068,N
U_71m,2004-08-26 02:00:00,103.134394,-0.219051658,N
U_71m,2004-08-26 03:00:00,103.139394,-0.131594685,N
U_71m,2004-08-26 04:00:00,103.421194,-0.106680948,N
U_71m,2004-08-26 05:00:00,103.326994,-0.087891045,N
U_71m,2004-08-26 06:00:00,103.476394,-0.063717452,N
U_71m,2004-08-26 07:00:00,103.271194,-0.059817179,N
U_71m,2004-08-26 08:00:00,103.178194,-0.06644351,N
U_71m,2004-08-26 09:00:00,103.131794,-0.046644745,N
U_71m,2004-08-26 10:00:00,103.135594,-0.050043996,N
U_71m,2004-08-26 11:00:00,102.959994,-0.06231214,N
U_71m,2004-08-26 12:00:00,102.998994,-0.040964572,N
U_71m,2004-08-26 13:00:00,102.874194,-0.010097697,N
U_71m,2004-08-26 14:00:00,102.780194,-0.019095327,N
U_71m,2004-08-26 15:00:00,102.610594,-0.007678449,N
U_71m,2004-08-26 16:00:00,102.710594,0.035797315,N
U_71m,2004-08-26 17:00:00,102.611594,0.047188463,N
U_71m,2004-08-26 18:00:00,102.721594,0.061042295,N
U_71m,2004-08-26 19:00:00,102.743394,0.074537768,N
U_71m,2004-08-26 20:00:00,102.854594,0.078650048,N
U_71m,2004-08-26 21:00:00,102.815794,0.110520532,N
U_71m,2004-08-26 22:00:00,102.921794,0.099007285,N
U_71m,2004-08-26 23:00:00,102.984194,0.08823787,N
U_71m,2004-08-27 00:00:00,103.064794,0.061014532,N
U_71m,2004-08-27 01:00:00,103.035394,0.041752198,N
U_71m,2004-08-27 02:00:00,103.306594,0.000714036,N
U_71m,2004-08-27 03:00:00,103.140794,-0.045094845,N
U_71m,2004-08-27 04:00:00,103.266594,-0.051998568,N
U_71m,2004-08-27 05:00:00,103.151594,-0.126559852,N
U_71m,2004-08-27 06:00:00,103.281194,-0.205856536,N
U_71m,2004-08-27 07:00:00,103.156594,-0.247915094,N
U_71m,2004-08-27 08:00:00,103.361394,-0.262590773,N
U_71m,2004-08-27 09:00:00,103.262594,-0.209522941,N
U_71m,2004-08-27 10:00:00,103.085594,-0.07596512,N
U_71m,2004-08-27 11:00:00,103.018394,-0.042089631,N
U_71m,2004-08-27 12:00:00,103.117394,-0.030499107,N
U_71m,2004-08-27 13:00:00,102.803594,-0.008350346,N
U_71m,2004-08-27 14:00:00,102.634994,-0.006088604,N
U_71m,2004-08-27 15:00:00,102.645794,0.006715143,N
U_71m,2004-08-27 16:00:00,102.577594,0.081974522,N
U_71m,2004-08-27 17:00:00,102.557994,0.090093771,N
U_71m,2004-08-27 18:00:00,102.713194,0.089252743,N
U_71m,2004-08-27 19:00:00,102.648394,0.115607111,N
U_71m,2004-08-27 20:00:00,102.709394,0.130407011,N
U_71m,2004-08-27 21:00:00,102.770194,0.136407183,N
U_71m,2004-08-27 22:00:00,102.791194,0.146755804,N
U_71m,2004-08-27 23:00:00,102.870594,0.151621506,N
U_71m,2004-08-28 00:00:00,102.993994,0.174272854,N
U_71m,2004-08-28 01:00:00,102.987794,0.192667045,N
U_71m,2004-08-28 02:00:00,102.979194,0.142849072,N
U_71m,2004-08-28 03:00:00,103.161194,0.110941055,N
U_71m,2004-08-28 04:00:00,103.170994,0.119984332,N
U_71m,2004-08-28 05:00:00,103.137994,0.182998345,N
U_71m,2004-08-28 06:00:00,103.271394,0.163501316,N
U_71m,2004-08-28 07:00:00,103.361394,0.153436725,N
U_71m,2004-08-28 08:00:00,103.310394,0.174645228,N
U_71m,2004-08-28 09:00:00,103.306394,0.16333062,N
U_71m,2004-08-28 10:00:00,103.228394,0.141452612,N
U_71m,2004-08-28 11:00:00,103.112394,0.136212503,N
U_71m,2004-08-28 12:00:00,103.001194,0.103422327,N
U_71m,2004-08-28 13:00:00,102.780394,0.100145173,N
U_71m,2004-08-28 14:00:00,102.755794,0.07298067,N
U_71m,2004-08-28 15:00:00,102.671594,0.038105261,N
U_71m,2004-08-28 16:00:00,102.538594,0.009858486,N
U_71m,2004-08-28 17:00:00,102.635994,0.001660663,N
U_71m,2004-08-28 18:00:00,102.544794,-0.050640559,N
U_71m,2004-08-28 19:00:00,102.655794,-0.029958159,N
U_71m,2004-08-28 20:00:00,102.803594,-0.041660544,N
U_71m,2004-08-28 21:00:00,102.858394,-0.049520754,N
U_71m,2004-08-28 22:00:00,102.846394,-0.056771032,N
U_71m,2004-08-28 23:00:00,102.855994,-0.03613723,N
U_71m,2004-08-29 00:00:00,102.906994,0.020243812,N
U_71m,2004-08-29 01:00:00,102.940194,0.030035348,N
U_71m,2004-08-29 02:00:00,102.952594,0.018604453,N
U_71m,2004-08-29 03:00:00,102.933994,0.05940128,N
U_71m,2004-08-29 04:00:00,102.995194,0.07940311,N
U_71m,2004-08-29 05:00:00,103.083194,0.075530779,N
U_71m,2004-08-29 06:00:00,103.201594,0.039980053,N
U_71m,2004-08-29 07:00:00,103.300394,0.032112557,N
U_71m,2004-08-29 08:00:00,103.363994,0.028981107,N
U_71m,2004-08-29 09:00:00,103.327594,0.009367791,N
U_71m,2004-08-29 10:00:00,103.255394,0.014064921,N
U_71m,2004-08-29 11:00:00,103.230794,-0.002139643,N
U_71m,2004-08-29 12:00:00,103.115994,0.005296732,N
U_71m,2004-08-29 13:00:00,102.990194,0.012468996,N
U_71m,2004-08-29 14:00:00,102.860794,0.026079927,N
