Variable,Date,Depth,Data,QC
Temperature (0C),2004-07-01 00:00:00,50.0,21.3585,N
Temperature (0C),2004-07-01 01:00:00,53.013394000000005,21.32862,N
Temperature (0C),2004-07-01 02:00:00,53.065994,21.2867,N
Temperature (0C),2004-07-01 03:00:00,53.258994,21.2496,N
Temperature (0C),2004-07-01 04:00:00,53.342194000000006,21.27108,N
Temperature (0C),2004-07-01 05:00:00,53.310193999999996,21.19628,N
Temperature (0C),2004-07-01 06:00:00,53.267393999999996,21.13408,N
Temperature (0C),2004-07-01 07:00:00,53.393193999999994,21.09822,N
Temperature (0C),2004-07-01 08:00:00,53.364993999999996,21.0889,N
Temperature (0C),2004-07-01 09:00:00,53.432193999999996,21.07474,N
Temperature (0C),2004-07-01 10:00:00,53.31739399999999,21.07496,N
Temperature (0C),2004-07-01 11:00:00,53.185593999999995,21.0111,N
Temperature (0C),2004-07-01 12:00:00,53.113794,21.00198,N
Temperature (0C),2004-07-01 13:00:00,53.024394,21.03728,N
Temperature (0C),2004-07-01 14:00:00,52.903394000000006,21.04118,N
Temperature (0C),2004-07-01 15:00:00,52.675394,21.03962,N
Temperature (0C),2004-07-01 16:00:00,52.632594,21.03948,N
Temperature (0C),2004-07-01 17:00:00,52.463994,21.02516,N
Temperature (0C),2004-07-01 18:00:00,52.50319399999999,21.02474,N
Temperature (0C),2004-07-01 19:00:00,52.537194,21.01412,N
Temperature (0C),2004-07-01 20:00:00,52.617794,21.01602,N
Temperature (0C),2004-07-01 21:00:00,52.743594,21.04438,N
Temperature (0C),2004-07-01 22:00:00,52.790194,21.0915,N
Temperature (0C),2004-07-01 23:00:00,53.000994000000006,21.19856,N
Temperature (0C),2004-07-02 00:00:00,52.890193999999994,21.22118,N
Temperature (0C),2004-07-02 01:00:00,52.952194000000006,21.2179,N
Temperature (0C),2004-07-02 02:00:00,52.942594,21.1526,N
Temperature (0C),2004-07-02 03:00:00,53.114993999999996,21.14892,N
Temperature (0C),2004-07-02 04:00:00,53.190594000000004,21.19092,N
Temperature (0C),2004-07-02 05:00:00,53.261594,21.14132,N
Temperature (0C),2004-07-02 06:00:00,53.321194000000006,21.19858,N
Temperature (0C),2004-07-02 07:00:00,53.406594,21.20786,N
Temperature (0C),2004-07-02 08:00:00,53.479994000000005,21.21666,N
Temperature (0C),2004-07-02 09:00:00,53.594594,21.22124,N
Temperature (0C),2004-07-02 10:00:00,53.45439399999999,21.21046,N
Temperature (0C),2004-07-02 11:00:00,53.403194,21.20094,N
Temperature (0C),2004-07-02 12:00:00,53.242993999999996,21.19236,N
Temperature (0C),2004-07-02 13:00:00,53.026793999999995,21.18404,N
Temperature (0C),2004-07-02 14:00:00,52.961994000000004,21.18484,N
Temperature (0C),2004-07-02 15:00:00,52.80839400000001,21.175,N
Temperature (0C),2004-07-02 16:00:00,52.621194,21.16512,N
Temperature (0C),2004-07-02 17:00:00,52.62259400000001,21.14886,N
Temperature (0C),2004-07-02 18:00:00,52.520194000000004,21.12222,N
Temperature (0C),2004-07-02 19:00:00,52.479994000000005,21.1011,N
Temperature (0C),2004-07-02 20:00:00,52.517793999999995,21.05476,N
Temperature (0C),2004-07-02 21:00:00,52.643394,20.91516,N
Temperature (0C),2004-07-02 22:00:00,52.682394,20.9821,N
Temperature (0C),2004-07-02 23:00:00,52.836194000000006,20.75518,N
Temperature (0C),2004-07-03 00:00:00,52.788994,20.75122,N
Temperature (0C),2004-07-03 01:00:00,52.831593999999996,20.73492,N
Temperature (0C),2004-07-03 02:00:00,52.998794000000004,20.6997,N
Temperature (0C),2004-07-03 03:00:00,52.992394000000004,20.64496,N
Temperature (0C),2004-07-03 04:00:00,53.074594000000005,20.5906,N
Temperature (0C),2004-07-03 05:00:00,53.23819399999999,20.4967,N
Temperature (0C),2004-07-03 06:00:00,53.235594000000006,20.46406,N
Temperature (0C),2004-07-03 07:00:00,53.384994000000006,20.38254,N
Temperature (0C),2004-07-03 08:00:00,53.49119399999999,20.3631,N
Temperature (0C),2004-07-03 09:00:00,53.504394000000005,20.35618,N
Temperature (0C),2004-07-03 10:00:00,53.467794,20.35638,N
Temperature (0C),2004-07-03 11:00:00,53.376394000000005,20.3527,N
Temperature (0C),2004-07-03 12:00:00,53.306594000000004,20.3257,N
Temperature (0C),2004-07-03 13:00:00,53.229794,20.31108,N
Temperature (0C),2004-07-03 14:00:00,53.159994,20.3969,N
Temperature (0C),2004-07-03 15:00:00,52.937794,20.46552,N
Temperature (0C),2004-07-03 16:00:00,52.775394000000006,20.48292,N
Temperature (0C),2004-07-03 17:00:00,52.641194,20.51556,N
Temperature (0C),2004-07-03 18:00:00,52.637394,20.50052,N
Temperature (0C),2004-07-03 19:00:00,52.484793999999994,20.53338,N
Temperature (0C),2004-07-03 20:00:00,52.666793999999996,20.55576,N
Temperature (0C),2004-07-03 21:00:00,52.559194000000005,20.54834,N
Temperature (0C),2004-07-03 22:00:00,52.606994,20.54466,N
Temperature (0C),2004-07-03 23:00:00,52.685193999999996,20.53916,N
Temperature (0C),2004-07-04 00:00:00,52.761994,20.54006,N
Temperature (0C),2004-07-04 01:00:00,52.744794,20.53808,N
Temperature (0C),2004-07-04 02:00:00,52.80839400000001,20.54216,N
Temperature (0C),2004-07-04 03:00:00,52.937794,20.5634,N
Temperature (0C),2004-07-04 04:00:00,52.935394,20.5416,N
Temperature (0C),2004-07-04 05:00:00,53.099194,20.51772,N
Temperature (0C),2004-07-04 06:00:00,53.21379399999999,20.53174,N
Temperature (0C),2004-07-04 07:00:00,53.260394000000005,20.54014,N
Temperature (0C),2004-07-04 08:00:00,53.385994,20.58698,N
Temperature (0C),2004-07-04 09:00:00,53.392194,20.5927,N
