Variable,Date,Depth,Data,QC
Derived DON,1991-04-24 00:00:00,21.0,0.17099999999999999,N
Derived DON,1991-05-06 00:00:00,21.0,0.11328571428571428,N
Derived DON,1991-05-20 00:00:00,21.0,0.04257142857142857,N
Derived DON,1991-06-04 00:00:00,21.0,0.08785714285714284,N
Derived DON,1991-06-20 00:00:00,21.0,0.08614285714285713,N
Derived DON,1991-07-01 00:00:00,21.0,0.10842857142857143,N
Derived DON,1991-07-15 00:00:00,21.0,0.1307142857142857,N
Derived DON,1991-07-29 00:00:00,21.0,0.16499999999999998,N
Derived DON,1991-08-16 00:00:00,21.0,0.198,N
Derived DON,1991-09-02 00:00:00,21.0,0.214,N
Derived DON,1991-09-16 00:00:00,21.0,0.213,N
Derived DON,1991-10-03 00:00:00,21.0,0.211375,N
Derived DON,1991-10-28 00:00:00,21.0,0.21475,N
Derived DON,1991-11-28 00:00:00,21.0,0.213125,N
Derived DON,1991-12-12 00:00:00,21.0,0.2085,N
Derived DON,1991-12-23 00:00:00,21.0,0.209875,N
Derived DON,1992-01-08 00:00:00,21.0,0.20625,N
Derived DON,1992-01-23 00:00:00,21.0,0.205625,N
Derived DON,1992-02-06 00:00:00,21.0,0.204,N
Derived DON,1992-02-20 00:00:00,21.0,0.188375,N
Derived DON,1993-12-16 00:00:00,21.0,0.19974999999999998,N
Derived DON,1993-12-23 00:00:00,21.0,0.199125,N
Derived DON,1993-12-30 00:00:00,21.0,0.1965,N
Derived DON,1994-01-06 00:00:00,21.0,0.193875,N
Derived DON,1994-01-13 00:00:00,21.0,0.19324999999999998,N
Derived DON,1994-01-20 00:00:00,21.0,0.189625,N
Derived DON,1994-01-27 00:00:00,21.0,0.189,N
Derived DON,1994-02-03 00:00:00,21.0,0.18137499999999998,N
Derived DON,1994-02-10 00:00:00,21.0,0.18375,N
Derived DON,1994-02-18 00:00:00,21.0,0.18212499999999998,N
Derived DON,1994-02-24 00:00:00,21.0,0.1845,N
Derived DON,1994-03-03 00:00:00,21.0,0.17787499999999998,N
Derived DON,1994-03-10 00:00:00,21.0,0.18025,N
Derived DON,1994-03-17 00:00:00,21.0,0.17962499999999998,N
Derived DON,1994-03-24 00:00:00,21.0,0.16899999999999998,N
Derived DON,1994-03-30 00:00:00,21.0,0.1765,N
