Variable,Date,Depth,Data,QC
Salinity,1991-04-24 00:00:00,12.0,36.12,N
Salinity,1991-05-06 00:00:00,12.0,35.78,N
Salinity,1991-06-04 00:00:00,12.0,34.99,N
Salinity,1991-06-20 00:00:00,12.0,34.47,N
Salinity,1991-07-01 00:00:00,12.0,34.86,N
Salinity,1991-07-15 00:00:00,12.0,34.74,N
Salinity,1991-07-29 00:00:00,12.0,33.97,N
Salinity,1991-08-16 00:00:00,12.0,34.2,N
Salinity,1991-09-02 00:00:00,12.0,34.33,N
Salinity,1991-09-16 00:00:00,12.0,34.28,N
Salinity,1991-10-03 00:00:00,12.0,34.98,N
Salinity,1991-10-28 00:00:00,12.0,35.24,N
Salinity,1991-11-28 00:00:00,12.0,35.29,N
Salinity,1991-12-12 00:00:00,12.0,35.55,N
Salinity,1991-12-23 00:00:00,12.0,35.89,N
Salinity,1992-01-08 00:00:00,12.0,35.96,N
Salinity,1992-01-23 00:00:00,12.0,36.3,N
Salinity,1992-02-06 00:00:00,12.0,36.46,N
Salinity,1992-02-20 00:00:00,12.0,35.89,N
