Header,Value
Agency Name,Department of Environmental Protection
Agency Code,DEP
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,DEP-SMCWS-CS
Data File Name,CS9_T_LightAttenuationCoefficient_profile_Data.csv
Location,data-warehouse/csv/dep/smcws
Station Status,Completed
Lat,-32.2022
Long,115.7525
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS9
Site Description,Cockburn Sound Site 9 (surface)
Deployment,Profile
Deployment Position,m from bottom
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00216
Data Category,Light
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Light Attenuation Coefficient
QC,NaN
