Variable,Date,Depth,Data,QC
Derived DON,1991-03-01 00:00:00,20.0,0.051000000000000004,N
Derived DON,1991-03-08 00:00:00,20.0,0.104,N
Derived DON,1991-03-26 00:00:00,20.0,0.143,N
Derived DON,1991-04-23 00:00:00,20.0,0.1495,N
Derived DON,1991-05-07 00:00:00,20.0,0.08240000000000001,N
Derived DON,1991-05-21 00:00:00,20.0,0.11630000000000001,N
Derived DON,1991-06-05 00:00:00,20.0,0.0672,N
Derived DON,1991-06-21 00:00:00,20.0,0.0551,N
Derived DON,1991-07-19 00:00:00,20.0,0.192,N
Derived DON,1991-07-31 00:00:00,20.0,0.11000000000000001,N
Derived DON,1991-08-15 00:00:00,20.0,0.148,N
Derived DON,1991-09-03 00:00:00,20.0,0.172,N
Derived DON,1991-09-17 00:00:00,20.0,0.14477777777777778,N
Derived DON,1991-10-03 00:00:00,20.0,0.14555555555555555,N
Derived DON,1991-10-28 00:00:00,20.0,0.1393333333333333,N
Derived DON,1991-11-28 00:00:00,20.0,0.1311111111111111,N
Derived DON,1991-12-08 00:00:00,20.0,0.12188888888888888,N
Derived DON,1991-12-12 00:00:00,20.0,0.11266666666666666,N
Derived DON,1991-12-23 00:00:00,20.0,0.10244444444444444,N
Derived DON,1992-01-23 00:00:00,20.0,0.09022222222222222,N
Derived DON,1992-02-06 00:00:00,20.0,0.08,N
Derived DON,1992-02-20 00:00:00,20.0,0.083,N
Derived DON,1993-12-16 00:00:00,20.0,0.063625,N
Derived DON,1993-12-23 00:00:00,20.0,0.06924999999999999,N
Derived DON,1993-12-30 00:00:00,20.0,0.06687499999999999,N
Derived DON,1994-01-06 00:00:00,20.0,0.060500000000000005,N
Derived DON,1994-01-13 00:00:00,20.0,0.060125,N
Derived DON,1994-01-20 00:00:00,20.0,0.05575,N
Derived DON,1994-01-27 00:00:00,20.0,0.045375,N
Derived DON,1994-02-03 00:00:00,20.0,0.052,N
Derived DON,1994-02-10 00:00:00,20.0,0.07,N
Derived DON,1994-02-18 00:00:00,20.0,0.04900000000000001,N
Derived DON,1994-02-24 00:00:00,20.0,0.105,N
Derived DON,1994-03-03 00:00:00,20.0,0.107,N
Derived DON,1994-03-10 00:00:00,20.0,0.104,N
Derived DON,1994-03-17 00:00:00,20.0,0.101,N
Derived DON,1994-03-24 00:00:00,20.0,0.127,N
Derived DON,1994-03-30 00:00:00,20.0,0.11800000000000001,N
