Variable,Date,Depth,Data,QC
AC6m,1991-03-01 00:00:00,20.0,0.075,N
AC6m,1991-03-08 00:00:00,20.0,0.072,N
AC6m,1991-03-19 00:00:00,20.0,0.074,N
AC6m,1991-03-26 00:00:00,20.0,0.08,N
AC6m,1991-04-23 00:00:00,20.0,0.102,N
AC6m,1991-05-07 00:00:00,20.0,0.128,N
AC6m,1991-05-21 00:00:00,20.0,0.069,N
AC6m,1991-06-05 00:00:00,20.0,0.075,N
AC6m,1991-06-21 00:00:00,20.0,0.097,N
AC6m,1991-07-19 00:00:00,20.0,0.062,N
AC6m,1991-07-31 00:00:00,20.0,0.117,N
AC6m,1991-08-15 00:00:00,20.0,0.134,N
AC6m,1991-09-03 00:00:00,20.0,0.097,N
AC6m,1991-09-17 00:00:00,20.0,0.137,N
AC6m,1991-10-03 00:00:00,20.0,0.113,N
AC6m,1991-10-28 00:00:00,20.0,0.114,N
AC6m,1991-11-28 00:00:00,20.0,0.094,N
AC6m,1991-12-08 00:00:00,20.0,0.067,N
AC6m,1991-12-12 00:00:00,20.0,0.077,N
AC6m,1991-12-23 00:00:00,20.0,0.062,N
AC6m,1992-01-23 00:00:00,20.0,0.06,N
AC6m,1992-02-06 00:00:00,20.0,0.057,N
AC6m,1992-02-20 00:00:00,20.0,0.073,N
