Variable,Date,Depth,Data,QC
AC,1991-03-01 00:00:00,20.0,0.058,N
AC,1991-03-08 00:00:00,20.0,0.056,N
AC,1991-03-19 00:00:00,20.0,0.059,N
AC,1991-03-26 00:00:00,20.0,0.07,N
AC,1991-04-23 00:00:00,20.0,0.086,N
AC,1991-05-07 00:00:00,20.0,0.07,N
AC,1991-05-21 00:00:00,20.0,0.063,N
AC,1991-06-05 00:00:00,20.0,0.066,N
AC,1991-06-21 00:00:00,20.0,0.065,N
AC,1991-07-19 00:00:00,20.0,0.063,N
AC,1991-07-31 00:00:00,20.0,0.107,N
AC,1991-08-15 00:00:00,20.0,0.117,N
AC,1991-09-03 00:00:00,20.0,0.086,N
AC,1991-09-17 00:00:00,20.0,0.094,N
AC,1991-10-03 00:00:00,20.0,0.086,N
AC,1991-10-28 00:00:00,20.0,0.082,N
AC,1991-11-28 00:00:00,20.0,0.074,N
AC,1991-12-08 00:00:00,20.0,0.048,N
AC,1991-12-12 00:00:00,20.0,0.058,N
AC,1991-12-23 00:00:00,20.0,0.059,N
AC,1992-01-23 00:00:00,20.0,0.045,N
AC,1992-02-06 00:00:00,20.0,0.045,N
AC,1992-02-20 00:00:00,20.0,0.076,N
