Variable,Date,Depth,Data,QC
Derived DOP,1991-01-23 00:00:00,12.0,0.016,N
Derived DOP,1991-01-30 00:00:00,12.0,0.006,N
Derived DOP,1991-02-05 00:00:00,12.0,0.01,N
Derived DOP,1991-02-14 00:00:00,12.0,0.009999999999999998,N
Derived DOP,1991-03-01 00:00:00,12.0,0.007,N
Derived DOP,1991-03-08 00:00:00,12.0,0.007,N
Derived DOP,1991-03-19 00:00:00,12.0,0.003999999999999999,N
Derived DOP,1991-03-26 00:00:00,12.0,0.006499999999999999,N
Derived DOP,1991-04-23 00:00:00,12.0,0.01,N
Derived DOP,1991-05-07 00:00:00,12.0,0.0105,N
Derived DOP,1991-05-21 00:00:00,12.0,0.009000000000000001,N
Derived DOP,1991-06-05 00:00:00,12.0,0.0115,N
Derived DOP,1991-06-21 00:00:00,12.0,0.017,N
Derived DOP,1991-07-05 00:00:00,12.0,0.020499999999999997,N
Derived DOP,1991-07-19 00:00:00,12.0,0.008,N
Derived DOP,1991-07-31 00:00:00,12.0,0.012,N
Derived DOP,1991-08-15 00:00:00,12.0,0.024999999999999998,N
Derived DOP,1991-09-03 00:00:00,12.0,0.019999999999999997,N
Derived DOP,1991-09-17 00:00:00,12.0,0.018666666666666665,N
Derived DOP,1991-10-03 00:00:00,12.0,0.018333333333333333,N
Derived DOP,1991-11-28 00:00:00,12.0,0.016,N
Derived DOP,1991-12-12 00:00:00,12.0,0.012666666666666666,N
Derived DOP,1991-12-23 00:00:00,12.0,0.011333333333333334,N
Derived DOP,1992-01-08 00:00:00,12.0,0.009000000000000001,N
Derived DOP,1992-01-23 00:00:00,12.0,0.016,N
Derived DOP,1992-02-06 00:00:00,12.0,0.009499999999999998,N
Derived DOP,1992-02-20 00:00:00,12.0,0.005,N
