Variable,Date,Depth,Data,QC
TPN,1991-01-23 00:00:00,12.0,0.046,N
TPN,1991-01-30 00:00:00,12.0,0.046,N
TPN,1991-02-05 00:00:00,12.0,0.038,N
TPN,1991-02-14 00:00:00,12.0,0.199,N
TPN,1991-02-19 00:00:00,12.0,0.046,N
TPN,1991-03-01 00:00:00,12.0,0.007,N
TPN,1991-03-08 00:00:00,12.0,0.038,N
TPN,1991-03-19 00:00:00,12.0,0.085,N
TPN,1991-03-26 00:00:00,12.0,0.046,N
TPN,1991-04-23 00:00:00,12.0,0.1,N
TPN,1991-05-07 00:00:00,12.0,0.023,N
TPN,1991-05-21 00:00:00,12.0,0.077,N
TPN,1991-06-05 00:00:00,12.0,0.055,N
TPN,1991-06-21 00:00:00,12.0,0.032,N
TPN,1991-07-05 00:00:00,12.0,0.08600000000000001,N
TPN,1991-07-19 00:00:00,12.0,0.041,N
TPN,1991-07-31 00:00:00,12.0,0.016,N
TPN,1991-08-15 00:00:00,12.0,0.013000000000000001,N
