Variable,Date,Depth,Data,QC
AC6m,1991-01-23 00:00:00,16.0,0.114,N
AC6m,1991-01-29 00:00:00,16.0,0.098,N
AC6m,1991-02-05 00:00:00,16.0,0.152,N
AC6m,1991-02-14 00:00:00,16.0,0.107,N
AC6m,1991-02-19 00:00:00,16.0,0.135,N
AC6m,1991-03-12 00:00:00,16.0,0.146,N
AC6m,1991-03-19 00:00:00,16.0,0.13,N
AC6m,1991-03-26 00:00:00,16.0,0.133,N
AC6m,1991-05-06 00:00:00,16.0,0.158,N
AC6m,1991-05-20 00:00:00,16.0,0.124,N
AC6m,1991-06-04 00:00:00,16.0,0.128,N
AC6m,1991-06-20 00:00:00,16.0,0.106,N
AC6m,1991-07-01 00:00:00,16.0,0.135,N
AC6m,1991-07-15 00:00:00,16.0,0.247,N
AC6m,1991-07-29 00:00:00,16.0,0.128,N
AC6m,1991-09-02 00:00:00,16.0,0.123,N
AC6m,1991-09-16 00:00:00,16.0,0.151,N
AC6m,1991-10-03 00:00:00,16.0,0.143,N
AC6m,1991-10-28 00:00:00,16.0,0.12,N
AC6m,1991-11-28 00:00:00,16.0,0.091,N
AC6m,1991-12-12 00:00:00,16.0,0.079,N
AC6m,1991-12-23 00:00:00,16.0,0.058,N
AC6m,1992-01-08 00:00:00,16.0,0.097,N
AC6m,1992-01-23 00:00:00,16.0,0.116,N
AC6m,1992-02-06 00:00:00,16.0,0.065,N
AC6m,1992-02-20 00:00:00,16.0,0.132,N
