Variable,Date,Depth,Data,QC
Salinity,1991-04-24 00:00:00,16.0,36.4,N
Salinity,1991-05-06 00:00:00,16.0,36.32,N
Salinity,1991-06-04 00:00:00,16.0,35.09,N
Salinity,1991-06-20 00:00:00,16.0,34.74,N
Salinity,1991-07-01 00:00:00,16.0,35.01,N
Salinity,1991-07-15 00:00:00,16.0,34.58,N
Salinity,1991-07-29 00:00:00,16.0,33.61,N
Salinity,1991-08-16 00:00:00,16.0,34.39,N
Salinity,1991-09-02 00:00:00,16.0,34.37,N
Salinity,1991-09-16 00:00:00,16.0,34.33,N
Salinity,1991-10-03 00:00:00,16.0,35.16,N
Salinity,1991-10-28 00:00:00,16.0,35.29,N
Salinity,1991-11-28 00:00:00,16.0,35.36,N
Salinity,1991-12-12 00:00:00,16.0,35.6,N
Salinity,1991-12-23 00:00:00,16.0,35.92,N
Salinity,1992-01-08 00:00:00,16.0,35.99,N
Salinity,1992-01-23 00:00:00,16.0,36.4,N
Salinity,1992-02-06 00:00:00,16.0,36.58,N
Salinity,1992-02-20 00:00:00,16.0,36.09,N
