Variable,Date,Depth,Data,QC
Derived DON,1991-04-24 00:00:00,16.0,0.11699999999999999,N
Derived DON,1991-05-06 00:00:00,16.0,0.0757142857142857,N
Derived DON,1991-05-20 00:00:00,16.0,0.03742857142857143,N
Derived DON,1991-06-04 00:00:00,16.0,0.20114285714285712,N
Derived DON,1991-06-20 00:00:00,16.0,0.15385714285714286,N
Derived DON,1991-07-01 00:00:00,16.0,0.1305714285714286,N
Derived DON,1991-07-15 00:00:00,16.0,0.12228571428571429,N
Derived DON,1991-07-29 00:00:00,16.0,0.15,N
Derived DON,1991-08-16 00:00:00,16.0,0.174,N
Derived DON,1991-09-02 00:00:00,16.0,0.176,N
Derived DON,1991-09-16 00:00:00,16.0,0.174,N
Derived DON,1991-10-03 00:00:00,16.0,0.16854166666666665,N
Derived DON,1991-10-28 00:00:00,16.0,0.1720833333333333,N
Derived DON,1991-11-28 00:00:00,16.0,0.169625,N
Derived DON,1991-12-12 00:00:00,16.0,0.16316666666666665,N
Derived DON,1991-12-23 00:00:00,16.0,0.1577083333333333,N
Derived DON,1992-01-08 00:00:00,16.0,0.16025,N
Derived DON,1992-01-23 00:00:00,16.0,0.15679166666666666,N
Derived DON,1992-02-06 00:00:00,16.0,0.15533333333333332,N
Derived DON,1992-02-20 00:00:00,16.0,0.15187499999999998,N
Derived DON,1993-12-16 00:00:00,16.0,0.14941666666666664,N
Derived DON,1993-12-23 00:00:00,16.0,0.14995833333333333,N
Derived DON,1993-12-30 00:00:00,16.0,0.1455,N
Derived DON,1994-01-06 00:00:00,16.0,0.14404166666666665,N
Derived DON,1994-01-13 00:00:00,16.0,0.14058333333333334,N
Derived DON,1994-01-20 00:00:00,16.0,0.136125,N
Derived DON,1994-01-27 00:00:00,16.0,0.13566666666666666,N
Derived DON,1994-02-03 00:00:00,16.0,0.13220833333333332,N
Derived DON,1994-02-10 00:00:00,16.0,0.12774999999999997,N
Derived DON,1994-02-18 00:00:00,16.0,0.12829166666666666,N
Derived DON,1994-02-24 00:00:00,16.0,0.12583333333333332,N
Derived DON,1994-03-03 00:00:00,16.0,0.12137499999999998,N
Derived DON,1994-03-10 00:00:00,16.0,0.12091666666666666,N
Derived DON,1994-03-17 00:00:00,16.0,0.11945833333333333,N
Derived DON,1994-03-24 00:00:00,16.0,0.11599999999999999,N
Derived DON,1994-03-30 00:00:00,16.0,0.118,N
