Variable,Date,Depth,Data,QC
TKN,1991-04-24 00:00:00,21.0,0.23500000000000001,N
TKN,1991-05-06 00:00:00,21.0,0.179,N
TKN,1991-05-20 00:00:00,21.0,0.225,N
TKN,1991-06-04 00:00:00,21.0,0.14300000000000002,N
TKN,1991-06-20 00:00:00,21.0,0.135,N
TKN,1991-07-01 00:00:00,21.0,0.158,N
TKN,1991-07-15 00:00:00,21.0,0.229,N
TKN,1991-07-29 00:00:00,21.0,0.203,N
TKN,1991-08-16 00:00:00,21.0,0.228,N
TKN,1991-09-02 00:00:00,21.0,0.212,N
TKN,1991-09-16 00:00:00,21.0,0.22,N
TKN,1991-10-03 00:00:00,21.0,0.106,N
TKN,1991-10-28 00:00:00,21.0,0.203,N
TKN,1991-11-28 00:00:00,21.0,0.064,N
TKN,1991-12-12 00:00:00,21.0,0.046,N
TKN,1991-12-23 00:00:00,21.0,0.116,N
TKN,1992-01-08 00:00:00,21.0,0.081,N
TKN,1992-01-23 00:00:00,21.0,0.138,N
TKN,1992-02-06 00:00:00,21.0,0.048,N
TKN,1992-02-20 00:00:00,21.0,0.105,N
