Variable,Date,Depth,Data,QC
CHLOROPHYLL a,1993-12-16 00:00:00,0,0.81,N
CHLOROPHYLL a,1993-12-23 00:00:00,0,0.72,N
CHLOROPHYLL a,1993-12-30 00:00:00,0,1.09,N
CHLOROPHYLL a,1994-01-06 00:00:00,0,0.54,N
CHLOROPHYLL a,1994-01-13 00:00:00,0,0.8,N
CHLOROPHYLL a,1994-01-20 00:00:00,0,0.34,N
CHLOROPHYLL a,1994-01-27 00:00:00,0,1.11,N
CHLOROPHYLL a,1994-02-03 00:00:00,0,4.63,N
CHLOROPHYLL a,1994-02-10 00:00:00,0,1.68,N
CHLOROPHYLL a,1994-02-18 00:00:00,0,1.9,N
CHLOROPHYLL a,1994-02-24 00:00:00,0,2.13,N
CHLOROPHYLL a,1994-03-03 00:00:00,0,1.0,N
CHLOROPHYLL a,1994-03-10 00:00:00,0,1.65,N
CHLOROPHYLL a,1994-03-17 00:00:00,0,2.8,N
CHLOROPHYLL a,1994-03-24 00:00:00,0,1.22,N
CHLOROPHYLL a,1994-03-30 00:00:00,0,6.82,N
