Header,Value
Agency Name,Department of Environmental Protection
Agency Code,EPA
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,EPA-SMCWS-SD
Data File Name,SD10_T_Chlorophyll-a_profile_Data.csv
Location,data-warehouse/csv/epa/smcws
Station Status,Completed
Lat,-32.2583
Long,115.6383
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,SD10
Site Description,Sepia Depression Site 1 (surface)
Deployment,Profile
Deployment Position,m from bottom
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a
QC,NaN
