Variable,Date,Depth,Data,QC
Salinity,1991-03-01 00:00:00,20.0,35.99,N
Salinity,1991-03-08 00:00:00,20.0,35.98,N
Salinity,1991-03-19 00:00:00,20.0,36.16,N
Salinity,1991-03-26 00:00:00,20.0,36.17,N
Salinity,1991-04-23 00:00:00,20.0,36.13,N
Salinity,1991-05-07 00:00:00,20.0,35.81,N
Salinity,1991-06-05 00:00:00,20.0,35.73,N
Salinity,1991-06-21 00:00:00,20.0,35.33,N
Salinity,1991-07-05 00:00:00,20.0,35.18,N
Salinity,1991-07-19 00:00:00,20.0,35.43,N
Salinity,1991-07-31 00:00:00,20.0,35.7,N
Salinity,1991-08-15 00:00:00,20.0,35.13,N
Salinity,1991-09-03 00:00:00,20.0,35.06,N
Salinity,1991-09-17 00:00:00,20.0,35.03,N
Salinity,1991-10-03 00:00:00,20.0,35.19,N
Salinity,1991-10-28 00:00:00,20.0,35.2,N
Salinity,1991-11-28 00:00:00,20.0,35.47,N
Salinity,1991-12-08 00:00:00,20.0,36.01,N
Salinity,1991-12-12 00:00:00,20.0,35.93,N
Salinity,1991-12-23 00:00:00,20.0,36.03,N
Salinity,1992-01-23 00:00:00,20.0,36.11,N
Salinity,1992-02-06 00:00:00,20.0,36.12,N
Salinity,1992-02-20 00:00:00,20.0,36.06,N
