Variable,Date,Depth,Data,QC
CHLOROPHYLL a,1993-12-23 00:00:00,1.25,0.31,N
CHLOROPHYLL a,1993-12-30 00:00:00,1.25,0.32,N
CHLOROPHYLL a,1994-01-06 00:00:00,1.25,0.57,N
CHLOROPHYLL a,1994-01-13 00:00:00,1.25,0.37,N
CHLOROPHYLL a,1994-01-20 00:00:00,1.25,0.3,N
CHLOROPHYLL a,1994-01-27 00:00:00,1.25,0.3,N
CHLOROPHYLL a,1994-02-03 00:00:00,1.25,0.21,N
CHLOROPHYLL a,1994-02-10 00:00:00,1.25,0.36,N
CHLOROPHYLL a,1994-02-18 00:00:00,1.25,0.17,N
CHLOROPHYLL a,1994-02-24 00:00:00,1.25,0.24,N
CHLOROPHYLL a,1994-03-03 00:00:00,1.25,0.23,N
CHLOROPHYLL a,1994-03-10 00:00:00,1.25,0.45,N
CHLOROPHYLL a,1994-03-17 00:00:00,1.25,0.36,N
CHLOROPHYLL a,1994-03-24 00:00:00,1.25,0.49,N
CHLOROPHYLL a,1994-03-30 00:00:00,1.25,0.66,N
