Variable,Date,Depth,Data,QC
Temp,1991-01-23 00:00:00,2.5,23.57,N
Temp,1991-01-30 00:00:00,2.5,24.6,N
Temp,1991-02-05 00:00:00,2.5,23.77,N
Temp,1991-02-14 00:00:00,2.5,22.35,N
Temp,1991-02-19 00:00:00,2.5,22.97,N
Temp,1991-03-01 00:00:00,2.5,24.48,N
Temp,1991-03-08 00:00:00,2.5,24.0,N
Temp,1991-03-19 00:00:00,2.5,22.98,N
Temp,1991-03-26 00:00:00,2.5,21.0,N
Temp,1991-04-23 00:00:00,2.5,20.6,N
Temp,1991-05-07 00:00:00,2.5,18.67,N
Temp,1991-06-05 00:00:00,2.5,17.9,N
Temp,1991-07-05 00:00:00,2.5,15.4,N
Temp,1991-07-19 00:00:00,2.5,14.5,N
Temp,1991-07-31 00:00:00,2.5,15.8,N
Temp,1991-08-15 00:00:00,2.5,15.97,N
Temp,1991-09-03 00:00:00,2.5,15.95,N
Temp,1991-09-17 00:00:00,2.5,15.7,N
Temp,1991-10-03 00:00:00,2.5,18.0,N
Temp,1991-11-28 00:00:00,2.5,19.48,N
Temp,1991-12-12 00:00:00,2.5,21.67,N
Temp,1991-12-23 00:00:00,2.5,22.75,N
Temp,1992-01-08 00:00:00,2.5,24.17,N
Temp,1992-01-23 00:00:00,2.5,21.65,N
Temp,1992-02-06 00:00:00,2.5,23.2,N
Temp,1992-02-20 00:00:00,2.5,23.02,N
