Variable,Date,Depth,Data,QC
Temp,1991-01-23 00:00:00,0.0,23.9,N
Temp,1991-01-30 00:00:00,0.0,24.12,N
Temp,1991-02-05 00:00:00,0.0,23.82,N
Temp,1991-02-14 00:00:00,0.0,23.6,N
Temp,1991-02-19 00:00:00,0.0,23.32,N
Temp,1991-03-01 00:00:00,0.0,23.4,N
Temp,1991-03-08 00:00:00,0.0,23.55,N
Temp,1991-03-19 00:00:00,0.0,22.95,N
Temp,1991-03-26 00:00:00,0.0,22.15,N
Temp,1991-04-23 00:00:00,0.0,21.05,N
Temp,1991-05-07 00:00:00,0.0,20.27,N
Temp,1991-06-05 00:00:00,0.0,17.52,N
Temp,1991-07-05 00:00:00,0.0,16.43,N
Temp,1991-07-19 00:00:00,0.0,15.4,N
Temp,1991-07-31 00:00:00,0.0,15.49,N
Temp,1991-08-15 00:00:00,0.0,16.37,N
Temp,1991-09-03 00:00:00,0.0,15.88,N
Temp,1991-09-17 00:00:00,0.0,15.8,N
Temp,1991-10-03 00:00:00,0.0,17.57,N
Temp,1991-11-28 00:00:00,0.0,19.92,N
Temp,1991-12-12 00:00:00,0.0,21.27,N
Temp,1991-12-23 00:00:00,0.0,22.22,N
Temp,1992-01-08 00:00:00,0.0,23.17,N
Temp,1992-01-23 00:00:00,0.0,22.68,N
Temp,1992-02-06 00:00:00,0.0,23.93,N
Temp,1992-02-20 00:00:00,0.0,23.35,N
