Variable,Date,Depth,Data,QC
TDN,1991-01-23 00:00:00,12.5,0.181,N
TDN,1991-01-30 00:00:00,12.5,0.17300000000000001,N
TDN,1991-02-05 00:00:00,12.5,0.181,N
TDN,1991-02-14 00:00:00,12.5,0.127,N
TDN,1991-02-19 00:00:00,12.5,0.166,N
TDN,1991-03-01 00:00:00,12.5,0.074,N
TDN,1991-03-08 00:00:00,12.5,0.166,N
TDN,1991-03-19 00:00:00,12.5,0.10400000000000001,N
TDN,1991-03-26 00:00:00,12.5,0.181,N
TDN,1991-04-23 00:00:00,12.5,0.12,N
TDN,1991-05-07 00:00:00,12.5,0.07200000000000001,N
TDN,1991-05-21 00:00:00,12.5,0.148,N
TDN,1991-06-05 00:00:00,12.5,0.07200000000000001,N
TDN,1991-06-21 00:00:00,12.5,0.064,N
TDN,1991-07-05 00:00:00,12.5,0.11900000000000001,N
TDN,1991-07-19 00:00:00,12.5,0.147,N
TDN,1991-07-31 00:00:00,12.5,0.213,N
TDN,1991-08-15 00:00:00,12.5,0.20500000000000002,N
