Variable,Date,Depth,Data,QC
Salinity,1991-01-23 00:00:00,0.0,36.81,N
Salinity,1991-01-30 00:00:00,0.0,36.71,N
Salinity,1991-02-05 00:00:00,0.0,36.81,N
Salinity,1991-02-14 00:00:00,0.0,36.9,N
Salinity,1991-02-19 00:00:00,0.0,36.99,N
Salinity,1991-03-01 00:00:00,0.0,35.77,N
Salinity,1991-03-08 00:00:00,0.0,36.68,N
Salinity,1991-03-19 00:00:00,0.0,36.63,N
Salinity,1991-03-26 00:00:00,0.0,36.57,N
Salinity,1991-04-23 00:00:00,0.0,36.31,N
Salinity,1991-05-07 00:00:00,0.0,36.23,N
Salinity,1991-06-05 00:00:00,0.0,35.69,N
Salinity,1991-06-21 00:00:00,0.0,35.37,N
Salinity,1991-07-05 00:00:00,0.0,35.18,N
Salinity,1991-07-19 00:00:00,0.0,35.0,N
Salinity,1991-07-31 00:00:00,0.0,34.96,N
Salinity,1991-08-15 00:00:00,0.0,34.71,N
Salinity,1991-09-03 00:00:00,0.0,34.72,N
Salinity,1991-09-17 00:00:00,0.0,34.52,N
Salinity,1991-10-03 00:00:00,0.0,34.7,N
Salinity,1991-11-28 00:00:00,0.0,35.23,N
Salinity,1991-12-12 00:00:00,0.0,35.53,N
Salinity,1991-12-23 00:00:00,0.0,35.9,N
Salinity,1992-01-08 00:00:00,0.0,36.03,N
Salinity,1992-01-23 00:00:00,0.0,36.46,N
Salinity,1992-02-06 00:00:00,0.0,36.64,N
Salinity,1992-02-20 00:00:00,0.0,36.22,N
