Header,Value
Agency Name,Department of Environmental Protection
Agency Code,EPA
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,EPA-SMCWS-WS
Data File Name,WS6_B_TotalPhosphorus_profile_Data.csv
Location,data-warehouse/csv/epa/smcws
Station Status,Completed
Lat,-32.3533
Long,115.7383
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,WS6
Site Description,Warnbro Sound Site 6 (bottom)
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00010
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Total Phosphorus
QC,NaN
