Variable,Date,Depth,Data,QC
chl a,1991-01-23 00:00:00,12.0,0.5,N
chl a,1991-01-30 00:00:00,12.0,0.56,N
chl a,1991-02-05 00:00:00,12.0,0.49,N
chl a,1991-02-14 00:00:00,12.0,0.54,N
chl a,1991-02-19 00:00:00,12.0,0.68,N
chl a,1991-03-01 00:00:00,12.0,0.76,N
chl a,1991-03-08 00:00:00,12.0,0.88,N
chl a,1991-03-19 00:00:00,12.0,0.76,N
chl a,1991-03-26 00:00:00,12.0,1.2,N
chl a,1991-04-23 00:00:00,12.0,1.14,N
chl a,1991-05-07 00:00:00,12.0,1.43,N
chl a,1991-05-21 00:00:00,12.0,1.28,N
chl a,1991-06-05 00:00:00,12.0,1.5,N
chl a,1991-06-21 00:00:00,12.0,1.66,N
chl a,1991-07-05 00:00:00,12.0,2.13,N
chl a,1991-07-19 00:00:00,12.0,3.06,N
chl a,1991-07-31 00:00:00,12.0,3.23,N
chl a,1991-08-15 00:00:00,12.0,1.99,N
chl a,1991-09-03 00:00:00,12.0,2.02,N
chl a,1991-09-17 00:00:00,12.0,2.94,N
chl a,1991-10-03 00:00:00,12.0,1.17,N
chl a,1991-11-28 00:00:00,12.0,2.95,N
chl a,1991-12-12 00:00:00,12.0,1.96,N
chl a,1991-12-23 00:00:00,12.0,0.98,N
chl a,1992-01-08 00:00:00,12.0,2.82,N
chl a,1992-01-23 00:00:00,12.0,2.81,N
chl a,1992-02-06 00:00:00,12.0,2.8,N
chl a,1992-02-20 00:00:00,12.0,1.56,N
