Variable,Date,Depth,Data,QC
Derived DOP,1991-01-23 00:00:00,18.0,0.018,N
Derived DOP,1991-01-30 00:00:00,18.0,0.0055,N
Derived DOP,1991-02-05 00:00:00,18.0,0.0085,N
Derived DOP,1991-02-14 00:00:00,18.0,0.008,N
Derived DOP,1991-03-01 00:00:00,18.0,0.013000000000000001,N
Derived DOP,1991-03-08 00:00:00,18.0,0.014000000000000002,N
Derived DOP,1991-03-19 00:00:00,18.0,0.006999999999999999,N
Derived DOP,1991-03-26 00:00:00,18.0,0.006999999999999999,N
Derived DOP,1991-04-23 00:00:00,18.0,0.0051428571428571435,N
Derived DOP,1991-05-07 00:00:00,18.0,0.008285714285714285,N
Derived DOP,1991-05-21 00:00:00,18.0,0.00842857142857143,N
Derived DOP,1991-06-05 00:00:00,18.0,0.01757142857142857,N
Derived DOP,1991-06-21 00:00:00,18.0,0.016714285714285713,N
Derived DOP,1991-07-05 00:00:00,18.0,0.021857142857142856,N
Derived DOP,1991-07-19 00:00:00,18.0,0.007,N
Derived DOP,1991-07-31 00:00:00,18.0,0.018,N
Derived DOP,1991-08-15 00:00:00,18.0,0.019,N
Derived DOP,1991-09-03 00:00:00,18.0,0.019,N
Derived DOP,1991-09-17 00:00:00,18.0,0.01666666666666667,N
Derived DOP,1991-10-03 00:00:00,18.0,0.014333333333333333,N
Derived DOP,1991-11-28 00:00:00,18.0,0.012,N
Derived DOP,1991-12-12 00:00:00,18.0,0.008666666666666668,N
Derived DOP,1991-12-23 00:00:00,18.0,0.009333333333333334,N
Derived DOP,1992-01-08 00:00:00,18.0,0.009000000000000001,N
Derived DOP,1992-01-23 00:00:00,18.0,0.018,N
Derived DOP,1992-02-06 00:00:00,18.0,0.013000000000000001,N
Derived DOP,1992-02-20 00:00:00,18.0,0.003000000000000001,N
Derived DOP,1993-12-23 00:00:00,18.0,0.00775,N
Derived DOP,1994-01-20 00:00:00,18.0,0.0075,N
Derived DOP,1994-02-18 00:00:00,18.0,0.008,N
Derived DOP,1994-03-17 00:00:00,18.0,0.009,N
