Variable,Date,Depth,Data,QC
TDN,1991-01-23 00:00:00,12.0,0.166,N
TDN,1991-01-30 00:00:00,12.0,0.158,N
TDN,1991-02-05 00:00:00,12.0,0.158,N
TDN,1991-02-14 00:00:00,12.0,0.074,N
TDN,1991-02-19 00:00:00,12.0,0.135,N
TDN,1991-03-01 00:00:00,12.0,0.166,N
TDN,1991-03-08 00:00:00,12.0,0.158,N
TDN,1991-03-19 00:00:00,12.0,0.081,N
TDN,1991-03-26 00:00:00,12.0,0.212,N
TDN,1991-04-23 00:00:00,12.0,0.15,N
TDN,1991-05-07 00:00:00,12.0,0.11800000000000001,N
TDN,1991-05-21 00:00:00,12.0,0.079,N
TDN,1991-06-05 00:00:00,12.0,0.07200000000000001,N
TDN,1991-06-21 00:00:00,12.0,0.10300000000000001,N
TDN,1991-07-05 00:00:00,12.0,0.088,N
TDN,1991-07-19 00:00:00,12.0,0.196,N
TDN,1991-07-31 00:00:00,12.0,0.18,N
TDN,1991-08-15 00:00:00,12.0,0.221,N
