Variable,Date,Depth,QC,Data
CDM,1997-09-16 00:00:00,0,N,0.017037362
CDM,1997-09-22 00:00:00,0,N,0.012566165
CDM,1997-10-03 00:00:00,0,N,0.018424539
CDM,1997-10-04 00:00:00,0,N,0.033456814
CDM,1997-10-05 00:00:00,0,N,0.024256779
CDM,1997-10-07 00:00:00,0,N,0.016901284
CDM,1997-10-08 00:00:00,0,N,0.013394623
CDM,1997-10-21 00:00:00,0,N,0.0151845515
CDM,1997-10-25 00:00:00,0,N,0.013875638
CDM,1997-10-26 00:00:00,0,N,0.013888377
CDM,1997-10-27 00:00:00,0,N,0.0110819135
CDM,1997-10-28 00:00:00,0,N,0.013948565
CDM,1997-10-30 00:00:00,0,N,0.019526621
CDM,1997-11-01 00:00:00,0,N,0.012613637
CDM,1997-11-03 00:00:00,0,N,0.0139412675
CDM,1997-11-05 00:00:00,0,N,0.012772595
CDM,1997-11-06 00:00:00,0,N,0.017349642
CDM,1997-11-07 00:00:00,0,N,0.014995759
CDM,1997-11-08 00:00:00,0,N,0.015553891
CDM,1997-11-09 00:00:00,0,N,0.017025135
CDM,1997-11-10 00:00:00,0,N,0.0123871025
CDM,1997-11-16 00:00:00,0,N,0.013322243
CDM,1997-11-17 00:00:00,0,N,0.015789675
CDM,1997-11-18 00:00:00,0,N,0.015586461
CDM,1997-11-19 00:00:00,0,N,0.012929655
CDM,1997-11-23 00:00:00,0,N,0.011953779
CDM,1997-11-28 00:00:00,0,N,0.01251056
CDM,1997-11-29 00:00:00,0,N,0.0072041126
CDM,1997-11-30 00:00:00,0,N,0.011262119
CDM,1997-12-04 00:00:00,0,N,0.011843148
CDM,1997-12-06 00:00:00,0,N,0.014423842
CDM,1997-12-08 00:00:00,0,N,0.012428449
CDM,1997-12-09 00:00:00,0,N,0.010177294
CDM,1997-12-11 00:00:00,0,N,0.022320438
CDM,1997-12-12 00:00:00,0,N,0.009290089
CDM,1997-12-13 00:00:00,0,N,0.012629708
CDM,1997-12-17 00:00:00,0,N,0.010541905
CDM,1997-12-21 00:00:00,0,N,0.01223096
CDM,1997-12-22 00:00:00,0,N,0.010647219
CDM,1997-12-23 00:00:00,0,N,0.016687915
CDM,1997-12-24 00:00:00,0,N,0.011477858
CDM,1997-12-26 00:00:00,0,N,0.010854282
CDM,1997-12-28 00:00:00,0,N,0.010879425
CDM,1997-12-29 00:00:00,0,N,0.009765301
CDM,1997-12-30 00:00:00,0,N,0.0138610555
CDM,1997-12-31 00:00:00,0,N,0.009715271
CDM,1998-01-01 00:00:00,0,N,0.011870806
CDM,1998-01-02 00:00:00,0,N,0.01459893
CDM,1998-01-03 00:00:00,0,N,0.027733145
