Variable,Date,Depth,QC,Data
CDM,1997-09-16 00:00:00,0,N,0.013497539
CDM,1997-09-20 00:00:00,0,N,0.008239174
CDM,1997-09-22 00:00:00,0,N,0.011482357
CDM,1997-09-23 00:00:00,0,N,0.0086935675
CDM,1997-09-24 00:00:00,0,N,0.014605607
CDM,1997-10-03 00:00:00,0,N,0.015165889
CDM,1997-10-04 00:00:00,0,N,0.016267091
CDM,1997-10-05 00:00:00,0,N,0.018377662
CDM,1997-10-07 00:00:00,0,N,0.017796105
CDM,1997-10-08 00:00:00,0,N,0.009299002
CDM,1997-10-10 00:00:00,0,N,0.014648213
CDM,1997-10-12 00:00:00,0,N,0.014610968
CDM,1997-10-21 00:00:00,0,N,0.013504302
CDM,1997-10-25 00:00:00,0,N,0.011270804
CDM,1997-10-26 00:00:00,0,N,0.011262283
CDM,1997-10-27 00:00:00,0,N,0.009428986
CDM,1997-10-28 00:00:00,0,N,0.010737027
CDM,1997-10-29 00:00:00,0,N,0.012716836
CDM,1997-10-30 00:00:00,0,N,0.01589436
CDM,1997-11-01 00:00:00,0,N,0.010052372
CDM,1997-11-03 00:00:00,0,N,0.0138823455
CDM,1997-11-05 00:00:00,0,N,0.010990327
CDM,1997-11-06 00:00:00,0,N,0.01478619
CDM,1997-11-07 00:00:00,0,N,0.017432377
CDM,1997-11-08 00:00:00,0,N,0.013343126
CDM,1997-11-09 00:00:00,0,N,0.013830113
CDM,1997-11-10 00:00:00,0,N,0.009727023
CDM,1997-11-14 00:00:00,0,N,0.010538005
CDM,1997-11-16 00:00:00,0,N,0.0135172615
CDM,1997-11-17 00:00:00,0,N,0.012952183
CDM,1997-11-18 00:00:00,0,N,0.012698255
CDM,1997-11-19 00:00:00,0,N,0.007859718
CDM,1997-11-20 00:00:00,0,N,0.011693204
CDM,1997-11-28 00:00:00,0,N,0.006665547
CDM,1997-11-29 00:00:00,0,N,0.004836732
CDM,1997-11-30 00:00:00,0,N,0.00653704
CDM,1997-12-01 00:00:00,0,N,0.008812755
CDM,1997-12-02 00:00:00,0,N,0.017410912
CDM,1997-12-06 00:00:00,0,N,0.010795181
CDM,1997-12-07 00:00:00,0,N,0.007658442
CDM,1997-12-08 00:00:00,0,N,0.008525517
CDM,1997-12-09 00:00:00,0,N,0.006906944
CDM,1997-12-10 00:00:00,0,N,0.016939443
CDM,1997-12-11 00:00:00,0,N,0.0062163793
CDM,1997-12-12 00:00:00,0,N,0.0092561
CDM,1997-12-13 00:00:00,0,N,0.011963839
CDM,1997-12-17 00:00:00,0,N,0.007990114
CDM,1997-12-18 00:00:00,0,N,0.006212565
CDM,1997-12-20 00:00:00,0,N,0.0061524967
CDM,1997-12-21 00:00:00,0,N,0.009484396
CDM,1997-12-22 00:00:00,0,N,0.008138399
CDM,1997-12-23 00:00:00,0,N,0.019307408
CDM,1997-12-24 00:00:00,0,N,0.010217565
CDM,1997-12-26 00:00:00,0,N,0.008092661
CDM,1997-12-28 00:00:00,0,N,0.009524755
CDM,1997-12-29 00:00:00,0,N,0.007033429
CDM,1997-12-30 00:00:00,0,N,0.011216382
CDM,1997-12-31 00:00:00,0,N,0.0068792943
CDM,1998-01-01 00:00:00,0,N,0.0076684845
CDM,1998-01-02 00:00:00,0,N,0.008141124
CDM,1998-01-04 00:00:00,0,N,0.01022336
CDM,1998-01-06 00:00:00,0,N,0.006599487
CDM,1998-01-08 00:00:00,0,N,0.008462641
CDM,1998-01-09 00:00:00,0,N,0.0073471037
CDM,1998-01-10 00:00:00,0,N,0.00959983
CDM,1998-01-11 00:00:00,0,N,0.015084053
CDM,1998-01-12 00:00:00,0,N,0.009549449
CDM,1998-01-13 00:00:00,0,N,0.0063331495
CDM,1998-01-17 00:00:00,0,N,0.0053034546
CDM,1998-01-19 00:00:00,0,N,0.010254139
CDM,1998-01-20 00:00:00,0,N,0.007434449
CDM,1998-01-21 00:00:00,0,N,0.007962803
CDM,1998-01-22 00:00:00,0,N,0.008661679
CDM,1998-01-23 00:00:00,0,N,0.012031938
CDM,1998-01-24 00:00:00,0,N,0.008923113
CDM,1998-01-26 00:00:00,0,N,0.008623006
CDM,1998-01-28 00:00:00,0,N,0.0060738283
CDM,1998-01-30 00:00:00,0,N,0.009070348
CDM,1998-01-31 00:00:00,0,N,0.007168391
CDM,1998-02-01 00:00:00,0,N,0.009826443
CDM,1998-02-02 00:00:00,0,N,0.0063604987
CDM,1998-02-03 00:00:00,0,N,0.008978064
CDM,1998-02-04 00:00:00,0,N,0.008700581
CDM,1998-02-06 00:00:00,0,N,0.010077481
CDM,1998-02-08 00:00:00,0,N,0.01043851
CDM,1998-02-10 00:00:00,0,N,0.012095677
CDM,1998-02-11 00:00:00,0,N,0.010556285
CDM,1998-02-12 00:00:00,0,N,0.011507858
