Variable,Date,Depth,QC,Data
HAPTO,2002-07-11 00:00:00,0,N,0.20152585
HAPTO,2002-07-23 00:00:00,0,N,0.0727151
HAPTO,2002-07-28 00:00:00,0,N,0.13132091
HAPTO,2002-08-13 00:00:00,0,N,0.12906078
HAPTO,2002-08-16 00:00:00,0,N,0.18827595
HAPTO,2002-08-19 00:00:00,0,N,0.14390707
HAPTO,2002-08-20 00:00:00,0,N,0.08403919
HAPTO,2002-08-21 00:00:00,0,N,0.06272532
HAPTO,2002-09-18 00:00:00,0,N,0.10516791
HAPTO,2002-09-20 00:00:00,0,N,0.056654308
HAPTO,2002-09-21 00:00:00,0,N,0.038886003
HAPTO,2002-09-27 00:00:00,0,N,0.14632735
HAPTO,2002-09-29 00:00:00,0,N,0.060483817
HAPTO,2002-10-02 00:00:00,0,N,0.09367545
HAPTO,2002-10-09 00:00:00,0,N,0.06563457
HAPTO,2002-11-03 00:00:00,0,N,0.03663185
HAPTO,2002-11-08 00:00:00,0,N,0.041626047
HAPTO,2002-11-12 00:00:00,0,N,0.04998321
HAPTO,2002-11-17 00:00:00,0,N,0.04182043
HAPTO,2002-11-24 00:00:00,0,N,0.0401422
HAPTO,2002-11-26 00:00:00,0,N,0.037274696
HAPTO,2002-11-27 00:00:00,0,N,0.046820384
HAPTO,2002-11-28 00:00:00,0,N,0.050029036
HAPTO,2002-12-03 00:00:00,0,N,0.04108457
HAPTO,2002-12-04 00:00:00,0,N,0.04571381
HAPTO,2002-12-06 00:00:00,0,N,0.043974157
HAPTO,2002-12-10 00:00:00,0,N,0.044669528
HAPTO,2002-12-30 00:00:00,0,N,0.03142743
HAPTO,2003-01-02 00:00:00,0,N,0.025678236
HAPTO,2003-01-06 00:00:00,0,N,0.030296007
HAPTO,2003-01-08 00:00:00,0,N,0.029619051
HAPTO,2003-01-13 00:00:00,0,N,0.037459485
HAPTO,2003-01-14 00:00:00,0,N,0.032861564
HAPTO,2003-01-15 00:00:00,0,N,0.0329149
HAPTO,2003-01-18 00:00:00,0,N,0.030773351
HAPTO,2003-01-20 00:00:00,0,N,0.024384566
HAPTO,2003-01-21 00:00:00,0,N,0.026413865
HAPTO,2003-01-30 00:00:00,0,N,0.045927737
HAPTO,2003-01-31 00:00:00,0,N,0.035706833
HAPTO,2003-02-06 00:00:00,0,N,0.045195308
HAPTO,2003-02-07 00:00:00,0,N,0.03467148
HAPTO,2003-02-08 00:00:00,0,N,0.03893345
HAPTO,2003-02-09 00:00:00,0,N,0.032108717
HAPTO,2003-02-25 00:00:00,0,N,0.040613648
HAPTO,2003-02-28 00:00:00,0,N,0.04981945
HAPTO,2003-03-01 00:00:00,0,N,0.04503414
HAPTO,2003-03-02 00:00:00,0,N,0.033987135
HAPTO,2003-03-03 00:00:00,0,N,0.036878645
HAPTO,2003-03-04 00:00:00,0,N,0.034118928
HAPTO,2003-03-13 00:00:00,0,N,0.029052062
HAPTO,2003-03-19 00:00:00,0,N,0.068505585
HAPTO,2003-03-20 00:00:00,0,N,0.06696042
HAPTO,2003-03-24 00:00:00,0,N,0.06343085
HAPTO,2003-03-25 00:00:00,0,N,0.07677686
HAPTO,2003-03-26 00:00:00,0,N,0.08109825
HAPTO,2003-04-01 00:00:00,0,N,0.043954965
HAPTO,2003-04-02 00:00:00,0,N,0.0765992
HAPTO,2003-04-03 00:00:00,0,N,0.082208954
HAPTO,2003-04-05 00:00:00,0,N,0.06957557
HAPTO,2003-04-07 00:00:00,0,N,0.08614746
HAPTO,2003-04-08 00:00:00,0,N,0.12402592
HAPTO,2003-04-09 00:00:00,0,N,0.07159165
HAPTO,2003-04-25 00:00:00,0,N,0.032291688
HAPTO,2003-04-30 00:00:00,0,N,0.13655561
HAPTO,2003-05-02 00:00:00,0,N,0.062355526
HAPTO,2003-05-03 00:00:00,0,N,0.063154005
HAPTO,2003-05-07 00:00:00,0,N,0.10192882
HAPTO,2003-05-11 00:00:00,0,N,0.040956024
HAPTO,2003-05-12 00:00:00,0,N,0.018194053
HAPTO,2003-05-14 00:00:00,0,N,0.072516605
HAPTO,2003-05-16 00:00:00,0,N,0.044076808
HAPTO,2003-05-25 00:00:00,0,N,0.11429722
HAPTO,2003-05-28 00:00:00,0,N,0.11329777
HAPTO,2003-06-13 00:00:00,0,N,0.086285315
HAPTO,2003-06-14 00:00:00,0,N,0.07145189
HAPTO,2003-06-19 00:00:00,0,N,0.16430521
HAPTO,2003-06-23 00:00:00,0,N,0.06238776
