Variable,Date,Depth,QC,Data
PROKAR,2002-07-11 00:00:00,0,N,0.073708266
PROKAR,2002-07-23 00:00:00,0,N,0.0828152
PROKAR,2002-07-28 00:00:00,0,N,0.06611218
PROKAR,2002-08-13 00:00:00,0,N,0.05227625
PROKAR,2002-08-16 00:00:00,0,N,0.017830525
PROKAR,2002-08-19 00:00:00,0,N,0.038038254
PROKAR,2002-08-20 00:00:00,0,N,0.03585376
PROKAR,2002-08-21 00:00:00,0,N,0.04253681
PROKAR,2002-09-18 00:00:00,0,N,0.044738825
PROKAR,2002-09-20 00:00:00,0,N,0.035185996
PROKAR,2002-09-21 00:00:00,0,N,0.019121656
PROKAR,2002-09-27 00:00:00,0,N,0.031576972
PROKAR,2002-09-29 00:00:00,0,N,0.0281035
PROKAR,2002-10-02 00:00:00,0,N,0.019840522
PROKAR,2002-10-09 00:00:00,0,N,0.018661164
PROKAR,2002-11-03 00:00:00,0,N,0.0132081
PROKAR,2002-11-08 00:00:00,0,N,0.016501445
PROKAR,2002-11-12 00:00:00,0,N,0.017531496
PROKAR,2002-11-17 00:00:00,0,N,0.018915894
PROKAR,2002-11-24 00:00:00,0,N,0.020999676
PROKAR,2002-11-26 00:00:00,0,N,0.023326788
PROKAR,2002-11-27 00:00:00,0,N,0.024586666
PROKAR,2002-11-28 00:00:00,0,N,0.027948117
PROKAR,2002-12-03 00:00:00,0,N,0.020521842
PROKAR,2002-12-04 00:00:00,0,N,0.01808656
PROKAR,2002-12-06 00:00:00,0,N,0.02711572
PROKAR,2002-12-10 00:00:00,0,N,0.03733338
PROKAR,2002-12-30 00:00:00,0,N,0.03169875
PROKAR,2003-01-02 00:00:00,0,N,0.029655961
PROKAR,2003-01-06 00:00:00,0,N,0.027950592
PROKAR,2003-01-08 00:00:00,0,N,0.024714895
PROKAR,2003-01-13 00:00:00,0,N,0.027479902
PROKAR,2003-01-14 00:00:00,0,N,0.023819447
PROKAR,2003-01-15 00:00:00,0,N,0.026932392
PROKAR,2003-01-18 00:00:00,0,N,0.0182459
PROKAR,2003-01-20 00:00:00,0,N,0.027564323
PROKAR,2003-01-21 00:00:00,0,N,0.023409273
PROKAR,2003-01-30 00:00:00,0,N,0.020242456
PROKAR,2003-01-31 00:00:00,0,N,0.026820872
PROKAR,2003-02-06 00:00:00,0,N,0.024287887
PROKAR,2003-02-07 00:00:00,0,N,0.024979362
PROKAR,2003-02-08 00:00:00,0,N,0.03191818
PROKAR,2003-02-09 00:00:00,0,N,0.031854965
PROKAR,2003-02-25 00:00:00,0,N,0.03553539
PROKAR,2003-02-28 00:00:00,0,N,0.045938257
PROKAR,2003-03-01 00:00:00,0,N,0.04489188
PROKAR,2003-03-02 00:00:00,0,N,0.044672992
PROKAR,2003-03-03 00:00:00,0,N,0.049893443
PROKAR,2003-03-04 00:00:00,0,N,0.041115154
PROKAR,2003-03-13 00:00:00,0,N,0.04735999
PROKAR,2003-03-19 00:00:00,0,N,0.05550936
PROKAR,2003-03-20 00:00:00,0,N,0.07821097
PROKAR,2003-03-24 00:00:00,0,N,0.05990117
PROKAR,2003-03-25 00:00:00,0,N,0.058312017
PROKAR,2003-03-26 00:00:00,0,N,0.059646927
PROKAR,2003-04-01 00:00:00,0,N,0.16447222
PROKAR,2003-04-02 00:00:00,0,N,0.10208241
PROKAR,2003-04-03 00:00:00,0,N,0.10233001
PROKAR,2003-04-05 00:00:00,0,N,0.10011654
PROKAR,2003-04-07 00:00:00,0,N,0.09223687
PROKAR,2003-04-08 00:00:00,0,N,0.13584651
PROKAR,2003-04-09 00:00:00,0,N,0.11630217
PROKAR,2003-04-25 00:00:00,0,N,0.096113965
PROKAR,2003-04-30 00:00:00,0,N,0.12922737
PROKAR,2003-05-02 00:00:00,0,N,0.13069887
PROKAR,2003-05-03 00:00:00,0,N,0.09844009
PROKAR,2003-05-07 00:00:00,0,N,0.17563441
PROKAR,2003-05-11 00:00:00,0,N,0.10539833
PROKAR,2003-05-12 00:00:00,0,N,0.3548442
PROKAR,2003-05-14 00:00:00,0,N,0.17618468
PROKAR,2003-05-16 00:00:00,0,N,0.057722565
PROKAR,2003-05-25 00:00:00,0,N,0.08762979
PROKAR,2003-05-28 00:00:00,0,N,0.12807721
PROKAR,2003-06-13 00:00:00,0,N,0.08636463
PROKAR,2003-06-14 00:00:00,0,N,0.050133776
PROKAR,2003-06-19 00:00:00,0,N,0.15090416
PROKAR,2003-06-23 00:00:00,0,N,0.10167782
PROKAR,2003-07-17 00:00:00,0,N,0.10829786
PROKAR,2003-07-18 00:00:00,0,N,0.119135946
PROKAR,2003-07-19 00:00:00,0,N,0.07951741
PROKAR,2003-07-24 00:00:00,0,N,0.038752966
PROKAR,2003-08-07 00:00:00,0,N,0.074942656
PROKAR,2003-08-09 00:00:00,0,N,0.05571267
PROKAR,2003-08-13 00:00:00,0,N,0.03534668
PROKAR,2003-08-16 00:00:00,0,N,0.0897717
PROKAR,2003-08-17 00:00:00,0,N,0.05595251
PROKAR,2003-08-25 00:00:00,0,N,0.043547023
PROKAR,2003-08-29 00:00:00,0,N,0.038229372
PROKAR,2003-09-03 00:00:00,0,N,0.062539294
PROKAR,2003-09-10 00:00:00,0,N,0.041973736
PROKAR,2003-09-11 00:00:00,0,N,0.023301123
PROKAR,2003-09-15 00:00:00,0,N,0.03422714
PROKAR,2003-09-16 00:00:00,0,N,0.023607396
PROKAR,2003-09-26 00:00:00,0,N,0.02501537
PROKAR,2003-09-30 00:00:00,0,N,0.034424704
PROKAR,2003-10-02 00:00:00,0,N,0.036630996
PROKAR,2003-10-05 00:00:00,0,N,0.031488147
PROKAR,2003-10-07 00:00:00,0,N,0.022459147
PROKAR,2003-10-09 00:00:00,0,N,0.031152736
PROKAR,2003-10-26 00:00:00,0,N,0.021952407
PROKAR,2003-10-29 00:00:00,0,N,0.017610542
PROKAR,2003-11-01 00:00:00,0,N,0.017739942
PROKAR,2003-11-04 00:00:00,0,N,0.017325237
PROKAR,2003-11-06 00:00:00,0,N,0.016971242
PROKAR,2003-11-15 00:00:00,0,N,0.02391983
PROKAR,2003-11-20 00:00:00,0,N,0.0210149
PROKAR,2003-11-22 00:00:00,0,N,0.02044127
PROKAR,2003-11-27 00:00:00,0,N,0.019027969
PROKAR,2003-11-29 00:00:00,0,N,0.016948804
PROKAR,2003-12-06 00:00:00,0,N,0.03052575
PROKAR,2003-12-09 00:00:00,0,N,0.024395905
PROKAR,2003-12-10 00:00:00,0,N,0.034269873
PROKAR,2003-12-16 00:00:00,0,N,0.027109833
PROKAR,2003-12-17 00:00:00,0,N,0.038268395
PROKAR,2003-12-24 00:00:00,0,N,0.027350059
PROKAR,2003-12-25 00:00:00,0,N,0.025184238
