Variable,Date,Depth,QC,Data
PICO,2002-07-19 00:00:00,0,N,0.14267263
PICO,2002-07-23 00:00:00,0,N,0.25112355
PICO,2002-07-27 00:00:00,0,N,0.8674452
PICO,2002-07-28 00:00:00,0,N,0.28071702
PICO,2002-08-11 00:00:00,0,N,0.2085051
PICO,2002-08-14 00:00:00,0,N,0.20426549
PICO,2002-08-20 00:00:00,0,N,0.35989395
PICO,2002-09-07 00:00:00,0,N,0.3448467
PICO,2002-09-18 00:00:00,0,N,0.52210605
PICO,2002-09-20 00:00:00,0,N,0.2988955
PICO,2002-09-21 00:00:00,0,N,0.2259379
PICO,2002-09-27 00:00:00,0,N,0.4498378
PICO,2002-09-29 00:00:00,0,N,0.26978162
PICO,2002-10-02 00:00:00,0,N,0.30838212
PICO,2002-10-09 00:00:00,0,N,0.2480093
PICO,2002-10-10 00:00:00,0,N,0.21392676
PICO,2002-11-03 00:00:00,0,N,0.17773469
PICO,2002-11-08 00:00:00,0,N,0.17920995
PICO,2002-11-12 00:00:00,0,N,0.29526505
PICO,2002-11-17 00:00:00,0,N,0.21545176
PICO,2002-11-24 00:00:00,0,N,0.16083942
PICO,2002-11-26 00:00:00,0,N,0.1709661
PICO,2002-11-28 00:00:00,0,N,0.16415256
PICO,2002-12-03 00:00:00,0,N,0.12327333
PICO,2002-12-28 00:00:00,0,N,0.10134843
PICO,2002-12-30 00:00:00,0,N,0.13200326
PICO,2003-01-06 00:00:00,0,N,0.16326813
PICO,2003-01-08 00:00:00,0,N,0.16296613
PICO,2003-01-13 00:00:00,0,N,0.16461389
PICO,2003-01-14 00:00:00,0,N,0.17707668
PICO,2003-01-15 00:00:00,0,N,0.23031816
PICO,2003-01-20 00:00:00,0,N,0.1581567
PICO,2003-01-21 00:00:00,0,N,0.1633332
PICO,2003-01-31 00:00:00,0,N,0.21656618
PICO,2003-02-03 00:00:00,0,N,0.18500772
PICO,2003-02-06 00:00:00,0,N,0.23330261
PICO,2003-02-07 00:00:00,0,N,0.1737792
PICO,2003-02-09 00:00:00,0,N,0.14676619
PICO,2003-02-25 00:00:00,0,N,0.34497434
PICO,2003-02-28 00:00:00,0,N,0.26339263
PICO,2003-03-01 00:00:00,0,N,0.24840811
PICO,2003-03-02 00:00:00,0,N,0.21512435
PICO,2003-03-20 00:00:00,0,N,0.30124107
PICO,2003-03-24 00:00:00,0,N,0.31641582
PICO,2003-03-26 00:00:00,0,N,0.19636716
PICO,2003-03-31 00:00:00,0,N,0.35708168
PICO,2003-04-02 00:00:00,0,N,0.21510592
PICO,2003-04-03 00:00:00,0,N,0.28387928
PICO,2003-04-05 00:00:00,0,N,0.31009507
PICO,2003-04-07 00:00:00,0,N,0.25319204
PICO,2003-04-09 00:00:00,0,N,0.3149347
PICO,2003-04-30 00:00:00,0,N,0.39665928
PICO,2003-05-07 00:00:00,0,N,0.24145159
PICO,2003-05-09 00:00:00,0,N,0.15547957
PICO,2003-05-11 00:00:00,0,N,0.2372541
PICO,2003-05-12 00:00:00,0,N,3.2485507
PICO,2003-05-13 00:00:00,0,N,0.24976875
PICO,2003-05-16 00:00:00,0,N,4.067387
PICO,2003-05-21 00:00:00,0,N,1.2286823
PICO,2003-05-25 00:00:00,0,N,0.45962188
PICO,2003-06-04 00:00:00,0,N,0.3942104
PICO,2003-06-11 00:00:00,0,N,0.46508992
PICO,2003-06-13 00:00:00,0,N,0.13022937
PICO,2003-07-06 00:00:00,0,N,0.66751575
PICO,2003-07-15 00:00:00,0,N,0.22247481
PICO,2003-07-17 00:00:00,0,N,0.34506458
PICO,2003-07-19 00:00:00,0,N,0.34271178
PICO,2003-07-24 00:00:00,0,N,0.38733917
PICO,2003-07-28 00:00:00,0,N,0.40071732
PICO,2003-07-30 00:00:00,0,N,0.65427303
PICO,2003-08-04 00:00:00,0,N,1.3715857
PICO,2003-08-06 00:00:00,0,N,0.43511978
PICO,2003-08-09 00:00:00,0,N,0.5033958
PICO,2003-08-11 00:00:00,0,N,0.5288304
PICO,2003-08-13 00:00:00,0,N,0.4344397
PICO,2003-08-25 00:00:00,0,N,1.6551391
PICO,2003-09-03 00:00:00,0,N,0.90849185
PICO,2003-09-09 00:00:00,0,N,0.6197476
PICO,2003-09-11 00:00:00,0,N,0.6354711
PICO,2003-09-16 00:00:00,0,N,0.53652894
PICO,2003-09-18 00:00:00,0,N,0.40048918
PICO,2003-09-26 00:00:00,0,N,0.6801846
PICO,2003-09-28 00:00:00,0,N,0.19567174
PICO,2003-09-30 00:00:00,0,N,0.50913453
PICO,2003-10-05 00:00:00,0,N,0.40181616
PICO,2003-10-07 00:00:00,0,N,0.3517186
PICO,2003-11-04 00:00:00,0,N,0.16828331
PICO,2003-11-06 00:00:00,0,N,0.12818073
PICO,2003-11-15 00:00:00,0,N,0.16473936
PICO,2003-11-20 00:00:00,0,N,0.20943102
PICO,2003-11-22 00:00:00,0,N,0.1250561
PICO,2003-11-27 00:00:00,0,N,0.1480451
PICO,2003-11-29 00:00:00,0,N,0.15302208
PICO,2003-12-01 00:00:00,0,N,0.13448003
PICO,2003-12-09 00:00:00,0,N,0.14884287
PICO,2003-12-10 00:00:00,0,N,0.050388113
PICO,2003-12-17 00:00:00,0,N,0.15734567
PICO,2003-12-22 00:00:00,0,N,0.14991723
PICO,2003-12-24 00:00:00,0,N,0.12760508
PICO,2003-12-25 00:00:00,0,N,0.15159899
PICO,2003-12-26 00:00:00,0,N,0.14013742
PICO,2003-12-31 00:00:00,0,N,0.23006798
PICO,2004-01-02 00:00:00,0,N,0.36654332
PICO,2004-01-27 00:00:00,0,N,0.14775474
PICO,2004-02-01 00:00:00,0,N,0.17807761
PICO,2004-02-03 00:00:00,0,N,0.16874525
PICO,2004-02-10 00:00:00,0,N,0.18241148
PICO,2004-02-12 00:00:00,0,N,0.21472223
PICO,2004-02-15 00:00:00,0,N,0.27378902
PICO,2004-02-17 00:00:00,0,N,0.17047614
PICO,2004-02-24 00:00:00,0,N,0.2319869
PICO,2004-02-26 00:00:00,0,N,0.23394749
PICO,2004-03-02 00:00:00,0,N,0.33962744
PICO,2004-03-03 00:00:00,0,N,0.36128914
PICO,2004-03-04 00:00:00,0,N,0.31170166
PICO,2004-03-05 00:00:00,0,N,0.259536
PICO,2004-03-06 00:00:00,0,N,0.25846264
PICO,2004-03-08 00:00:00,0,N,0.29429615
PICO,2004-03-10 00:00:00,0,N,0.21529455
PICO,2004-03-17 00:00:00,0,N,0.18463552
PICO,2004-03-24 00:00:00,0,N,0.20357454
PICO,2004-03-26 00:00:00,0,N,0.23171887
PICO,2004-03-27 00:00:00,0,N,0.43251178
PICO,2004-03-30 00:00:00,0,N,0.44308618
PICO,2004-03-31 00:00:00,0,N,0.4876127
PICO,2004-04-05 00:00:00,0,N,0.4996944
PICO,2004-04-06 00:00:00,0,N,0.25248286
PICO,2004-04-07 00:00:00,0,N,0.086786024
PICO,2004-04-11 00:00:00,0,N,0.20513472
PICO,2004-04-22 00:00:00,0,N,0.33699638
PICO,2004-04-23 00:00:00,0,N,0.32866663
PICO,2004-04-25 00:00:00,0,N,0.26882008
PICO,2004-04-30 00:00:00,0,N,0.16698882
PICO,2004-05-08 00:00:00,0,N,0.22860679
PICO,2004-05-14 00:00:00,0,N,0.2804816
PICO,2004-05-17 00:00:00,0,N,0.605038
PICO,2004-05-22 00:00:00,0,N,0.3142771
PICO,2004-05-24 00:00:00,0,N,0.2256876
PICO,2004-05-25 00:00:00,0,N,0.21232313
PICO,2004-05-27 00:00:00,0,N,0.0688037
PICO,2004-06-01 00:00:00,0,N,0.5137131
PICO,2004-06-05 00:00:00,0,N,0.081885666
PICO,2004-06-19 00:00:00,0,N,0.27037048
PICO,2004-06-23 00:00:00,0,N,0.18888512
PICO,2004-06-26 00:00:00,0,N,0.486887
PICO,2004-07-05 00:00:00,0,N,0.40724543
PICO,2004-07-08 00:00:00,0,N,0.1938989
PICO,2004-07-09 00:00:00,0,N,0.22099324
PICO,2004-07-12 00:00:00,0,N,0.21538484
PICO,2004-07-14 00:00:00,0,N,0.2439018
PICO,2004-07-17 00:00:00,0,N,0.23245592
PICO,2004-07-21 00:00:00,0,N,0.63687825
PICO,2004-07-25 00:00:00,0,N,0.31945097
PICO,2004-07-26 00:00:00,0,N,0.23820002
