Variable,Date,Depth,QC,Data
CHL,1997-09-16 00:00:00,0,N,0.16808653
CHL,1997-09-22 00:00:00,0,N,0.15324156
CHL,1997-09-23 00:00:00,0,N,0.15214914
CHL,1997-10-03 00:00:00,0,N,0.1732219
CHL,1997-10-04 00:00:00,0,N,0.17559329
CHL,1997-10-05 00:00:00,0,N,0.18254317
CHL,1997-10-07 00:00:00,0,N,0.2663411
CHL,1997-10-10 00:00:00,0,N,0.2064271
CHL,1997-10-12 00:00:00,0,N,0.2049533
CHL,1997-10-21 00:00:00,0,N,0.19159018
CHL,1997-10-25 00:00:00,0,N,0.15013298
CHL,1997-10-26 00:00:00,0,N,0.17148869
CHL,1997-10-27 00:00:00,0,N,0.1168286
CHL,1997-10-28 00:00:00,0,N,0.15499005
CHL,1997-10-29 00:00:00,0,N,0.15991269
CHL,1997-10-30 00:00:00,0,N,0.22155653
CHL,1997-11-01 00:00:00,0,N,0.16026078
CHL,1997-11-03 00:00:00,0,N,0.17934094
CHL,1997-11-06 00:00:00,0,N,0.15416552
CHL,1997-11-07 00:00:00,0,N,0.296123
CHL,1997-11-08 00:00:00,0,N,0.1837487
CHL,1997-11-09 00:00:00,0,N,0.18815412
CHL,1997-11-10 00:00:00,0,N,0.14390327
CHL,1997-11-14 00:00:00,0,N,0.14733413
CHL,1997-11-16 00:00:00,0,N,0.17612205
CHL,1997-11-17 00:00:00,0,N,0.17119294
CHL,1997-11-18 00:00:00,0,N,0.17207748
CHL,1997-11-28 00:00:00,0,N,0.12936316
CHL,1997-11-30 00:00:00,0,N,0.1324952
CHL,1997-12-01 00:00:00,0,N,0.14399911
CHL,1997-12-02 00:00:00,0,N,0.19615357
CHL,1997-12-06 00:00:00,0,N,0.14196916
CHL,1997-12-08 00:00:00,0,N,0.13592501
CHL,1997-12-09 00:00:00,0,N,0.1306723
CHL,1997-12-10 00:00:00,0,N,0.16710411
CHL,1997-12-11 00:00:00,0,N,0.10585221
CHL,1997-12-12 00:00:00,0,N,0.14148481
CHL,1997-12-13 00:00:00,0,N,0.15402685
CHL,1997-12-17 00:00:00,0,N,0.11941671
CHL,1997-12-21 00:00:00,0,N,0.14873753
CHL,1997-12-22 00:00:00,0,N,0.13299106
CHL,1997-12-23 00:00:00,0,N,0.17919543
CHL,1997-12-24 00:00:00,0,N,0.13331246
CHL,1997-12-26 00:00:00,0,N,0.13941912
CHL,1997-12-28 00:00:00,0,N,0.11823081
CHL,1997-12-29 00:00:00,0,N,0.11813933
CHL,1997-12-30 00:00:00,0,N,0.1502968
CHL,1997-12-31 00:00:00,0,N,0.1194743
CHL,1998-01-01 00:00:00,0,N,0.12422256
CHL,1998-01-02 00:00:00,0,N,0.12699917
CHL,1998-01-04 00:00:00,0,N,0.13322127
CHL,1998-01-06 00:00:00,0,N,0.117127374
CHL,1998-01-08 00:00:00,0,N,0.15024607
CHL,1998-01-09 00:00:00,0,N,0.13378887
CHL,1998-01-10 00:00:00,0,N,0.15698764
CHL,1998-01-11 00:00:00,0,N,0.1701611
CHL,1998-01-12 00:00:00,0,N,0.16012979
CHL,1998-01-13 00:00:00,0,N,0.105781555
CHL,1998-01-17 00:00:00,0,N,0.1179258
CHL,1998-01-19 00:00:00,0,N,0.14332962
CHL,1998-01-20 00:00:00,0,N,0.13305768
CHL,1998-01-22 00:00:00,0,N,0.13520335
CHL,1998-01-23 00:00:00,0,N,0.1605002
CHL,1998-01-24 00:00:00,0,N,0.1362507
CHL,1998-01-26 00:00:00,0,N,0.12546346
CHL,1998-01-28 00:00:00,0,N,0.11966544
CHL,1998-01-30 00:00:00,0,N,0.1444169
CHL,1998-01-31 00:00:00,0,N,0.109537065
CHL,1998-02-01 00:00:00,0,N,0.12160559
CHL,1998-02-02 00:00:00,0,N,0.115522504
CHL,1998-02-03 00:00:00,0,N,0.14636208
CHL,1998-02-04 00:00:00,0,N,0.12485671
CHL,1998-02-08 00:00:00,0,N,0.14526485
CHL,1998-02-10 00:00:00,0,N,0.1913083
CHL,1998-02-11 00:00:00,0,N,0.15012036
CHL,1998-02-12 00:00:00,0,N,0.14970425
CHL,1998-02-13 00:00:00,0,N,0.15010907
CHL,1998-02-14 00:00:00,0,N,0.14866838
CHL,1998-02-19 00:00:00,0,N,0.1277909
CHL,1998-02-21 00:00:00,0,N,0.13821255
CHL,1998-02-22 00:00:00,0,N,0.13033468
CHL,1998-02-23 00:00:00,0,N,0.13659902
CHL,1998-02-26 00:00:00,0,N,0.1572768
CHL,1998-02-28 00:00:00,0,N,0.16983435
CHL,1998-03-04 00:00:00,0,N,0.12674446
CHL,1998-03-05 00:00:00,0,N,0.11777443
CHL,1998-03-06 00:00:00,0,N,0.16133194
CHL,1998-03-07 00:00:00,0,N,0.14883909
CHL,1998-03-11 00:00:00,0,N,0.1655592
CHL,1998-03-13 00:00:00,0,N,0.15635459
CHL,1998-03-15 00:00:00,0,N,0.18187593
CHL,1998-03-16 00:00:00,0,N,0.19597802
CHL,1998-03-17 00:00:00,0,N,0.18655813
CHL,1998-03-18 00:00:00,0,N,0.16102555
CHL,1998-03-19 00:00:00,0,N,0.15926413
CHL,1998-03-24 00:00:00,0,N,0.18097895
CHL,1998-03-25 00:00:00,0,N,0.1640001
CHL,1998-03-26 00:00:00,0,N,0.18755357
CHL,1998-03-27 00:00:00,0,N,0.17071943
CHL,1998-03-28 00:00:00,0,N,0.19820002
CHL,1998-03-29 00:00:00,0,N,0.18409632
CHL,1998-03-30 00:00:00,0,N,0.23736459
CHL,1998-03-31 00:00:00,0,N,0.15788904
CHL,1998-04-02 00:00:00,0,N,0.17694926
CHL,1998-04-05 00:00:00,0,N,0.19092922
CHL,1998-04-11 00:00:00,0,N,0.25027227
CHL,1998-04-13 00:00:00,0,N,0.30072403
CHL,1998-04-20 00:00:00,0,N,0.201442
CHL,1998-04-24 00:00:00,0,N,0.17946258
CHL,1998-04-26 00:00:00,0,N,0.2406456
CHL,1998-04-27 00:00:00,0,N,0.29862258
CHL,1998-04-28 00:00:00,0,N,0.23978174
CHL,1998-04-29 00:00:00,0,N,0.25051782
CHL,1998-04-30 00:00:00,0,N,0.29759064
CHL,1998-05-03 00:00:00,0,N,0.24779849
CHL,1998-05-05 00:00:00,0,N,0.22809279
CHL,1998-05-12 00:00:00,0,N,0.25410095
CHL,1998-05-14 00:00:00,0,N,0.23961097
CHL,1998-05-16 00:00:00,0,N,0.22181113
CHL,1998-05-19 00:00:00,0,N,0.22884974
CHL,1998-05-22 00:00:00,0,N,0.35312355
CHL,1998-05-23 00:00:00,0,N,0.25966218
CHL,1998-05-31 00:00:00,0,N,0.31152603
CHL,1998-06-01 00:00:00,0,N,0.31372285
CHL,1998-06-02 00:00:00,0,N,0.18282473
CHL,1998-06-13 00:00:00,0,N,0.29397795
CHL,1998-06-20 00:00:00,0,N,0.26720533
CHL,1998-06-21 00:00:00,0,N,0.3537184
CHL,1998-06-22 00:00:00,0,N,0.4315669
CHL,1998-06-23 00:00:00,0,N,0.25716376
CHL,1998-07-08 00:00:00,0,N,0.2680383
CHL,1998-07-13 00:00:00,0,N,0.21351346
CHL,1998-07-15 00:00:00,0,N,0.20426418
CHL,1998-07-19 00:00:00,0,N,0.2003025
CHL,1998-07-28 00:00:00,0,N,0.31195036
CHL,1998-08-03 00:00:00,0,N,0.36219224
CHL,1998-08-04 00:00:00,0,N,0.26631668
CHL,1998-08-08 00:00:00,0,N,0.2863329
CHL,1998-08-13 00:00:00,0,N,0.36343583
CHL,1998-08-15 00:00:00,0,N,0.2754978
CHL,1998-08-22 00:00:00,0,N,0.21826504
CHL,1998-08-25 00:00:00,0,N,0.2655552
CHL,1998-08-26 00:00:00,0,N,0.22118524
CHL,1998-09-02 00:00:00,0,N,0.34491047
CHL,1998-09-04 00:00:00,0,N,0.29983526
CHL,1998-09-05 00:00:00,0,N,0.3799698
CHL,1998-09-06 00:00:00,0,N,0.35894004
CHL,1998-09-08 00:00:00,0,N,0.27332363
CHL,1998-09-13 00:00:00,0,N,0.26635188
CHL,1998-09-14 00:00:00,0,N,0.30437195
CHL,1998-09-15 00:00:00,0,N,0.372741
CHL,1998-09-16 00:00:00,0,N,0.21845421
CHL,1998-09-17 00:00:00,0,N,0.32319757
CHL,1998-09-19 00:00:00,0,N,0.20478298
CHL,1998-09-21 00:00:00,0,N,0.24767727
CHL,1998-09-23 00:00:00,0,N,0.22975439
CHL,1998-09-25 00:00:00,0,N,0.22798328
CHL,1998-10-03 00:00:00,0,N,0.23489882
CHL,1998-10-06 00:00:00,0,N,0.1969407
CHL,1998-10-07 00:00:00,0,N,0.17831416
CHL,1998-10-11 00:00:00,0,N,0.18149407
CHL,1998-10-14 00:00:00,0,N,0.17770758
CHL,1998-10-15 00:00:00,0,N,0.17363064
CHL,1998-10-20 00:00:00,0,N,0.18405513
CHL,1998-10-22 00:00:00,0,N,0.1628757
CHL,1998-10-23 00:00:00,0,N,0.18455662
CHL,1998-10-24 00:00:00,0,N,0.1973585
CHL,1998-10-25 00:00:00,0,N,0.15344003
CHL,1998-10-28 00:00:00,0,N,0.15717322
CHL,1998-10-29 00:00:00,0,N,0.14350276
CHL,1998-10-31 00:00:00,0,N,0.13250773
CHL,1998-11-03 00:00:00,0,N,0.17547144
CHL,1998-11-07 00:00:00,0,N,0.164522
CHL,1998-11-09 00:00:00,0,N,0.15106177
CHL,1998-11-11 00:00:00,0,N,0.14764762
CHL,1998-11-14 00:00:00,0,N,0.16295913
CHL,1998-11-15 00:00:00,0,N,0.16455968
CHL,1998-11-24 00:00:00,0,N,0.1460935
CHL,1998-11-25 00:00:00,0,N,0.13546753
CHL,1998-11-26 00:00:00,0,N,0.20325677
CHL,1998-11-27 00:00:00,0,N,0.15489809
CHL,1998-11-28 00:00:00,0,N,0.17410134
CHL,1998-11-29 00:00:00,0,N,0.15952204
CHL,1998-12-03 00:00:00,0,N,0.15570217
CHL,1998-12-04 00:00:00,0,N,0.1448089
