Variable,Date,Depth,QC,Data
DIATO,2002-07-05 00:00:00,0,N,0.0234525
DIATO,2002-07-21 00:00:00,0,N,0.01333194
DIATO,2002-07-23 00:00:00,0,N,0.018853247
DIATO,2002-07-28 00:00:00,0,N,0.02574555
DIATO,2002-08-13 00:00:00,0,N,0.023022804
DIATO,2002-08-14 00:00:00,0,N,0.032280073
DIATO,2002-08-16 00:00:00,0,N,0.05152524
DIATO,2002-08-19 00:00:00,0,N,0.019533217
DIATO,2002-08-20 00:00:00,0,N,0.018579181
DIATO,2002-08-21 00:00:00,0,N,0.018388024
DIATO,2002-09-02 00:00:00,0,N,0.023299389
DIATO,2002-09-12 00:00:00,0,N,0.016393479
DIATO,2002-09-18 00:00:00,0,N,0.015895747
DIATO,2002-09-25 00:00:00,0,N,0.016451964
DIATO,2002-09-27 00:00:00,0,N,0.017817773
DIATO,2002-09-29 00:00:00,0,N,0.015530976
DIATO,2002-09-30 00:00:00,0,N,0.014473011
DIATO,2002-10-02 00:00:00,0,N,0.018160015
DIATO,2002-10-09 00:00:00,0,N,0.01608214
DIATO,2002-10-10 00:00:00,0,N,0.015764346
DIATO,2002-10-24 00:00:00,0,N,0.01387651
DIATO,2002-11-02 00:00:00,0,N,0.009983158
DIATO,2002-11-03 00:00:00,0,N,0.01117731
DIATO,2002-11-08 00:00:00,0,N,0.012444917
DIATO,2002-11-12 00:00:00,0,N,0.013870946
DIATO,2002-11-17 00:00:00,0,N,0.013964923
DIATO,2002-11-21 00:00:00,0,N,0.013515871
DIATO,2002-11-24 00:00:00,0,N,0.014585784
DIATO,2002-11-26 00:00:00,0,N,0.011732844
DIATO,2002-11-28 00:00:00,0,N,0.012750629
DIATO,2002-12-03 00:00:00,0,N,0.016797142
DIATO,2002-12-06 00:00:00,0,N,0.017117798
DIATO,2002-12-10 00:00:00,0,N,0.013453197
DIATO,2002-12-13 00:00:00,0,N,0.015279759
DIATO,2002-12-28 00:00:00,0,N,0.00955789
DIATO,2002-12-30 00:00:00,0,N,0.010901284
DIATO,2003-01-02 00:00:00,0,N,0.0102264825
DIATO,2003-01-06 00:00:00,0,N,0.012919915
DIATO,2003-01-07 00:00:00,0,N,0.012594229
DIATO,2003-01-08 00:00:00,0,N,0.010592354
DIATO,2003-01-13 00:00:00,0,N,0.012140532
DIATO,2003-01-14 00:00:00,0,N,0.011115507
DIATO,2003-01-15 00:00:00,0,N,0.011275434
DIATO,2003-01-18 00:00:00,0,N,0.010985387
DIATO,2003-01-20 00:00:00,0,N,0.0093719885
DIATO,2003-01-21 00:00:00,0,N,0.008814766
DIATO,2003-01-30 00:00:00,0,N,0.013883505
DIATO,2003-01-31 00:00:00,0,N,0.011641859
DIATO,2003-02-03 00:00:00,0,N,0.008365674
DIATO,2003-02-06 00:00:00,0,N,0.0123099135
DIATO,2003-02-07 00:00:00,0,N,0.011112474
DIATO,2003-02-08 00:00:00,0,N,0.012963801
DIATO,2003-02-09 00:00:00,0,N,0.008317649
DIATO,2003-02-12 00:00:00,0,N,0.011699633
DIATO,2003-02-19 00:00:00,0,N,0.009853932
DIATO,2003-02-24 00:00:00,0,N,0.012651795
DIATO,2003-02-25 00:00:00,0,N,0.011315391
DIATO,2003-02-28 00:00:00,0,N,0.0136179
DIATO,2003-03-01 00:00:00,0,N,0.014057281
DIATO,2003-03-02 00:00:00,0,N,0.011165935
DIATO,2003-03-03 00:00:00,0,N,0.011640117
DIATO,2003-03-04 00:00:00,0,N,0.010614293
DIATO,2003-03-07 00:00:00,0,N,0.012920647
DIATO,2003-03-08 00:00:00,0,N,0.010877637
DIATO,2003-03-12 00:00:00,0,N,0.0102312025
DIATO,2003-03-13 00:00:00,0,N,0.010427701
DIATO,2003-03-15 00:00:00,0,N,0.011182038
DIATO,2003-03-19 00:00:00,0,N,0.010903519
DIATO,2003-03-20 00:00:00,0,N,0.010037835
DIATO,2003-03-25 00:00:00,0,N,0.012090075
DIATO,2003-03-26 00:00:00,0,N,0.009878893
DIATO,2003-04-01 00:00:00,0,N,0.012659096
DIATO,2003-04-02 00:00:00,0,N,0.01078623
DIATO,2003-04-03 00:00:00,0,N,0.010244981
DIATO,2003-04-04 00:00:00,0,N,0.010671294
DIATO,2003-04-05 00:00:00,0,N,0.011258985
DIATO,2003-04-07 00:00:00,0,N,0.014510225
DIATO,2003-04-08 00:00:00,0,N,0.013231767
DIATO,2003-04-09 00:00:00,0,N,0.014176361
DIATO,2003-04-13 00:00:00,0,N,0.019311938
DIATO,2003-04-25 00:00:00,0,N,0.016884765
DIATO,2003-04-27 00:00:00,0,N,0.015850486
DIATO,2003-04-30 00:00:00,0,N,0.02689012
DIATO,2003-05-02 00:00:00,0,N,0.012285911
DIATO,2003-05-03 00:00:00,0,N,0.020022647
DIATO,2003-05-09 00:00:00,0,N,0.013565118
DIATO,2003-05-10 00:00:00,0,N,0.015663031
DIATO,2003-05-11 00:00:00,0,N,0.014355676
DIATO,2003-05-14 00:00:00,0,N,0.013680108
DIATO,2003-05-16 00:00:00,0,N,0.14504087
DIATO,2003-05-25 00:00:00,0,N,0.03400138
DIATO,2003-05-28 00:00:00,0,N,0.019514335
DIATO,2003-06-01 00:00:00,0,N,0.019158717
DIATO,2003-06-03 00:00:00,0,N,0.021910604
DIATO,2003-06-04 00:00:00,0,N,0.013211818
DIATO,2003-06-11 00:00:00,0,N,0.008448163
DIATO,2003-06-13 00:00:00,0,N,0.021034857
DIATO,2003-06-14 00:00:00,0,N,0.022185555
DIATO,2003-06-19 00:00:00,0,N,0.028179443
DIATO,2003-06-20 00:00:00,0,N,0.036274508
DIATO,2003-06-30 00:00:00,0,N,0.034167517
DIATO,2003-07-17 00:00:00,0,N,0.023686657
DIATO,2003-07-18 00:00:00,0,N,0.02507949
DIATO,2003-07-19 00:00:00,0,N,0.030706327
DIATO,2003-07-22 00:00:00,0,N,0.027229236
DIATO,2003-08-04 00:00:00,0,N,0.041545644
DIATO,2003-08-06 00:00:00,0,N,0.017935699
DIATO,2003-08-08 00:00:00,0,N,0.022248229
DIATO,2003-08-09 00:00:00,0,N,0.032256134
DIATO,2003-08-16 00:00:00,0,N,0.015197054
DIATO,2003-08-17 00:00:00,0,N,0.025635175
DIATO,2003-08-18 00:00:00,0,N,0.024013316
DIATO,2003-08-25 00:00:00,0,N,0.022456802
DIATO,2003-09-01 00:00:00,0,N,0.018659072
DIATO,2003-09-03 00:00:00,0,N,0.015540184
DIATO,2003-09-11 00:00:00,0,N,0.030564696
DIATO,2003-09-14 00:00:00,0,N,0.027005909
DIATO,2003-09-15 00:00:00,0,N,0.024830265
DIATO,2003-09-16 00:00:00,0,N,0.018400896
DIATO,2003-09-25 00:00:00,0,N,0.016384305
DIATO,2003-09-26 00:00:00,0,N,0.018691905
DIATO,2003-09-28 00:00:00,0,N,0.020090025
DIATO,2003-09-30 00:00:00,0,N,0.02092945
DIATO,2003-10-02 00:00:00,0,N,0.018919325
DIATO,2003-10-03 00:00:00,0,N,0.017179608
DIATO,2003-10-05 00:00:00,0,N,0.016818615
DIATO,2003-10-07 00:00:00,0,N,0.015680818
DIATO,2003-10-09 00:00:00,0,N,0.015291282
DIATO,2003-10-26 00:00:00,0,N,0.015669173
DIATO,2003-11-05 00:00:00,0,N,0.016079253
