Variable,Date,Depth,QC,Data
DINO,2002-07-11 00:00:00,0,N,0.3042796
DINO,2002-07-16 00:00:00,0,N,0.19559315
DINO,2002-07-23 00:00:00,0,N,0.23581412
DINO,2002-07-27 00:00:00,0,N,0.22437944
DINO,2002-07-28 00:00:00,0,N,0.265029
DINO,2002-08-13 00:00:00,0,N,0.28597495
DINO,2002-08-14 00:00:00,0,N,0.24114823
DINO,2002-08-19 00:00:00,0,N,0.20907332
DINO,2002-08-20 00:00:00,0,N,0.23969394
DINO,2002-08-21 00:00:00,0,N,0.20313393
DINO,2002-08-27 00:00:00,0,N,0.21208979
DINO,2002-08-30 00:00:00,0,N,0.2267243
DINO,2002-09-06 00:00:00,0,N,0.108975805
DINO,2002-09-07 00:00:00,0,N,0.19494624
DINO,2002-09-13 00:00:00,0,N,0.1600374
DINO,2002-09-18 00:00:00,0,N,0.22107516
DINO,2002-09-20 00:00:00,0,N,0.20629665
DINO,2002-09-23 00:00:00,0,N,0.2150664
DINO,2002-09-27 00:00:00,0,N,0.20969053
DINO,2002-09-29 00:00:00,0,N,0.20873791
DINO,2002-10-02 00:00:00,0,N,0.23184215
DINO,2002-10-04 00:00:00,0,N,0.22469485
DINO,2002-10-08 00:00:00,0,N,0.23845387
DINO,2002-10-09 00:00:00,0,N,0.2504289
DINO,2002-11-03 00:00:00,0,N,0.19469438
DINO,2002-11-08 00:00:00,0,N,0.1900911
DINO,2002-11-12 00:00:00,0,N,0.20319098
DINO,2002-11-17 00:00:00,0,N,0.19401821
DINO,2002-11-24 00:00:00,0,N,0.15851901
DINO,2002-11-26 00:00:00,0,N,0.17153263
DINO,2002-11-28 00:00:00,0,N,0.17479827
DINO,2002-12-03 00:00:00,0,N,0.19922067
DINO,2002-12-30 00:00:00,0,N,0.21506524
DINO,2003-01-06 00:00:00,0,N,0.20066153
DINO,2003-01-08 00:00:00,0,N,0.19092761
DINO,2003-01-13 00:00:00,0,N,0.2036017
DINO,2003-01-14 00:00:00,0,N,0.18645406
DINO,2003-01-15 00:00:00,0,N,0.18924098
DINO,2003-01-20 00:00:00,0,N,0.21080883
DINO,2003-01-21 00:00:00,0,N,0.19051853
DINO,2003-01-27 00:00:00,0,N,0.2191832
DINO,2003-01-30 00:00:00,0,N,0.21532893
DINO,2003-01-31 00:00:00,0,N,0.21995568
DINO,2003-02-03 00:00:00,0,N,0.19109222
DINO,2003-02-06 00:00:00,0,N,0.1914878
DINO,2003-02-07 00:00:00,0,N,0.2069064
DINO,2003-02-09 00:00:00,0,N,0.18370692
DINO,2003-02-28 00:00:00,0,N,0.23106782
DINO,2003-03-01 00:00:00,0,N,0.22474529
DINO,2003-03-02 00:00:00,0,N,0.23644479
DINO,2003-03-04 00:00:00,0,N,0.18600133
DINO,2003-03-12 00:00:00,0,N,0.19006228
DINO,2003-03-13 00:00:00,0,N,0.16915746
DINO,2003-03-15 00:00:00,0,N,0.14631438
DINO,2003-03-19 00:00:00,0,N,0.19963597
DINO,2003-03-20 00:00:00,0,N,0.2522717
DINO,2003-03-23 00:00:00,0,N,0.107827604
DINO,2003-03-25 00:00:00,0,N,0.17665642
DINO,2003-03-26 00:00:00,0,N,0.15459692
DINO,2003-03-31 00:00:00,0,N,0.09997041
DINO,2003-04-03 00:00:00,0,N,0.2492881
DINO,2003-04-05 00:00:00,0,N,0.21620576
DINO,2003-04-07 00:00:00,0,N,0.2106938
DINO,2003-04-08 00:00:00,0,N,0.2299044
DINO,2003-04-09 00:00:00,0,N,0.2046343
DINO,2003-04-13 00:00:00,0,N,0.18670091
DINO,2003-04-25 00:00:00,0,N,0.16640204
DINO,2003-04-27 00:00:00,0,N,0.16525395
DINO,2003-04-30 00:00:00,0,N,0.1839696
DINO,2003-05-07 00:00:00,0,N,0.16290286
DINO,2003-05-09 00:00:00,0,N,0.17488521
DINO,2003-05-11 00:00:00,0,N,0.17277004
DINO,2003-05-13 00:00:00,0,N,0.17293
DINO,2003-05-14 00:00:00,0,N,0.17963405
DINO,2003-05-21 00:00:00,0,N,0.19098936
DINO,2003-05-22 00:00:00,0,N,0.30034792
DINO,2003-05-25 00:00:00,0,N,0.2979695
DINO,2003-05-28 00:00:00,0,N,0.2117044
DINO,2003-06-03 00:00:00,0,N,0.10427541
DINO,2003-06-04 00:00:00,0,N,0.17417742
DINO,2003-06-06 00:00:00,0,N,0.16463271
DINO,2003-06-07 00:00:00,0,N,0.19608197
DINO,2003-06-13 00:00:00,0,N,0.20824684
DINO,2003-07-17 00:00:00,0,N,0.38694417
DINO,2003-07-19 00:00:00,0,N,0.36646715
DINO,2003-07-28 00:00:00,0,N,0.2959602
DINO,2003-07-30 00:00:00,0,N,0.19486317
DINO,2003-07-31 00:00:00,0,N,0.15019415
