Variable,Date,Depth,QC,Data
NANO,2002-07-23 00:00:00,0,N,0.07280433
NANO,2002-07-28 00:00:00,0,N,0.07449947
NANO,2002-08-13 00:00:00,0,N,0.12276915
NANO,2002-08-16 00:00:00,0,N,0.16861713
NANO,2002-08-19 00:00:00,0,N,0.061391436
NANO,2002-08-20 00:00:00,0,N,0.060681343
NANO,2002-08-21 00:00:00,0,N,0.042404134
NANO,2002-08-23 00:00:00,0,N,0.049101826
NANO,2002-08-24 00:00:00,0,N,0.061815787
NANO,2002-09-18 00:00:00,0,N,0.036365807
NANO,2002-09-27 00:00:00,0,N,0.05442959
NANO,2002-09-29 00:00:00,0,N,0.032565918
NANO,2002-09-30 00:00:00,0,N,0.037071805
NANO,2002-10-02 00:00:00,0,N,0.06649282
NANO,2002-10-09 00:00:00,0,N,0.060805634
NANO,2002-11-03 00:00:00,0,N,0.034564823
NANO,2002-11-08 00:00:00,0,N,0.03216757
NANO,2002-11-12 00:00:00,0,N,0.037565865
NANO,2002-11-17 00:00:00,0,N,0.03645064
NANO,2002-11-20 00:00:00,0,N,0.032490104
NANO,2002-11-24 00:00:00,0,N,0.039021265
NANO,2002-11-26 00:00:00,0,N,0.029853601
NANO,2002-11-28 00:00:00,0,N,0.031983614
NANO,2002-12-03 00:00:00,0,N,0.055939738
NANO,2002-12-04 00:00:00,0,N,0.058484554
NANO,2002-12-06 00:00:00,0,N,0.043849654
NANO,2002-12-10 00:00:00,0,N,0.032265373
NANO,2002-12-26 00:00:00,0,N,0.02544519
NANO,2003-01-02 00:00:00,0,N,0.028858207
NANO,2003-01-06 00:00:00,0,N,0.04372451
NANO,2003-01-07 00:00:00,0,N,0.037688226
NANO,2003-01-08 00:00:00,0,N,0.028962892
NANO,2003-01-13 00:00:00,0,N,0.039287064
NANO,2003-01-14 00:00:00,0,N,0.035627894
NANO,2003-01-15 00:00:00,0,N,0.03372776
NANO,2003-01-18 00:00:00,0,N,0.026464954
NANO,2003-01-20 00:00:00,0,N,0.021904163
NANO,2003-01-21 00:00:00,0,N,0.021517875
NANO,2003-01-30 00:00:00,0,N,0.049750127
NANO,2003-01-31 00:00:00,0,N,0.03474065
NANO,2003-02-06 00:00:00,0,N,0.04812789
NANO,2003-02-07 00:00:00,0,N,0.041063625
NANO,2003-02-08 00:00:00,0,N,0.033224
NANO,2003-02-09 00:00:00,0,N,0.033771995
NANO,2003-02-12 00:00:00,0,N,0.07699646
NANO,2003-02-13 00:00:00,0,N,0.028804172
NANO,2003-02-24 00:00:00,0,N,0.044490524
NANO,2003-02-25 00:00:00,0,N,0.049431533
NANO,2003-02-28 00:00:00,0,N,0.050474927
NANO,2003-03-01 00:00:00,0,N,0.044814773
NANO,2003-03-02 00:00:00,0,N,0.031229747
NANO,2003-03-03 00:00:00,0,N,0.030989515
NANO,2003-03-04 00:00:00,0,N,0.035582136
NANO,2003-03-12 00:00:00,0,N,0.03702993
NANO,2003-03-13 00:00:00,0,N,0.029128306
NANO,2003-03-19 00:00:00,0,N,0.030348374
NANO,2003-03-20 00:00:00,0,N,0.037602127
NANO,2003-03-25 00:00:00,0,N,0.029704507
NANO,2003-03-26 00:00:00,0,N,0.033537004
NANO,2003-04-01 00:00:00,0,N,0.034778014
NANO,2003-04-02 00:00:00,0,N,0.03875507
NANO,2003-04-03 00:00:00,0,N,0.03990271
NANO,2003-04-05 00:00:00,0,N,0.051621776
NANO,2003-04-07 00:00:00,0,N,0.06933867
NANO,2003-04-08 00:00:00,0,N,0.05182378
NANO,2003-04-09 00:00:00,0,N,0.049887985
NANO,2003-04-25 00:00:00,0,N,0.040984444
NANO,2003-04-27 00:00:00,0,N,0.062897906
NANO,2003-04-30 00:00:00,0,N,0.061126664
NANO,2003-05-02 00:00:00,0,N,0.04767309
NANO,2003-05-03 00:00:00,0,N,0.047127612
NANO,2003-05-09 00:00:00,0,N,0.037285972
NANO,2003-05-11 00:00:00,0,N,0.05207737
NANO,2003-05-14 00:00:00,0,N,0.063142225
NANO,2003-05-25 00:00:00,0,N,0.066531286
NANO,2003-05-28 00:00:00,0,N,0.08403843
NANO,2003-06-06 00:00:00,0,N,0.07023487
NANO,2003-06-07 00:00:00,0,N,0.072580986
NANO,2003-06-13 00:00:00,0,N,0.078047104
NANO,2003-06-19 00:00:00,0,N,0.1388366
NANO,2003-06-20 00:00:00,0,N,0.08465465
NANO,2003-07-17 00:00:00,0,N,0.052281726
