Variable,Date,Depth,QC,Data
GREEN,2002-07-05 00:00:00,0,N,0.15888219
GREEN,2002-07-11 00:00:00,0,N,0.121608235
GREEN,2002-07-16 00:00:00,0,N,0.111795664
GREEN,2002-07-19 00:00:00,0,N,0.159215
GREEN,2002-07-28 00:00:00,0,N,0.2274841
GREEN,2002-09-02 00:00:00,0,N,0.10284176
GREEN,2002-09-13 00:00:00,0,N,0.13328002
GREEN,2002-09-18 00:00:00,0,N,0.1540092
GREEN,2002-09-20 00:00:00,0,N,0.17396238
GREEN,2002-09-23 00:00:00,0,N,0.10905206
GREEN,2002-09-27 00:00:00,0,N,0.14245233
GREEN,2002-09-29 00:00:00,0,N,0.14795281
GREEN,2002-10-02 00:00:00,0,N,0.12455523
GREEN,2002-10-09 00:00:00,0,N,0.1356972
GREEN,2002-11-03 00:00:00,0,N,0.12573592
GREEN,2002-11-08 00:00:00,0,N,0.13909726
GREEN,2002-11-12 00:00:00,0,N,0.122449875
GREEN,2002-11-17 00:00:00,0,N,0.12875107
GREEN,2002-11-26 00:00:00,0,N,0.12157182
GREEN,2002-11-28 00:00:00,0,N,0.09917939
GREEN,2002-12-10 00:00:00,0,N,0.097966954
GREEN,2002-12-30 00:00:00,0,N,0.116751164
GREEN,2003-01-06 00:00:00,0,N,0.16787489
GREEN,2003-01-08 00:00:00,0,N,0.14085111
GREEN,2003-01-13 00:00:00,0,N,0.12163494
GREEN,2003-01-14 00:00:00,0,N,0.14957409
GREEN,2003-01-15 00:00:00,0,N,0.1239543
GREEN,2003-01-18 00:00:00,0,N,0.07941476
GREEN,2003-01-20 00:00:00,0,N,0.13876508
GREEN,2003-01-21 00:00:00,0,N,0.14959829
GREEN,2003-01-27 00:00:00,0,N,0.12975973
GREEN,2003-01-30 00:00:00,0,N,0.13593361
GREEN,2003-01-31 00:00:00,0,N,0.10665907
GREEN,2003-02-03 00:00:00,0,N,0.10750963
GREEN,2003-02-06 00:00:00,0,N,0.14225702
GREEN,2003-02-07 00:00:00,0,N,0.10852639
GREEN,2003-02-09 00:00:00,0,N,0.13446313
GREEN,2003-02-14 00:00:00,0,N,0.12256222
GREEN,2003-02-25 00:00:00,0,N,0.1302956
GREEN,2003-02-28 00:00:00,0,N,0.14290981
GREEN,2003-03-01 00:00:00,0,N,0.12827069
GREEN,2003-03-02 00:00:00,0,N,0.1448791
GREEN,2003-03-03 00:00:00,0,N,0.13484964
GREEN,2003-03-04 00:00:00,0,N,0.14465784
GREEN,2003-03-07 00:00:00,0,N,0.059169557
GREEN,2003-03-13 00:00:00,0,N,0.15048465
GREEN,2003-03-15 00:00:00,0,N,0.15731199
GREEN,2003-03-19 00:00:00,0,N,0.15563872
GREEN,2003-03-20 00:00:00,0,N,0.2121053
GREEN,2003-03-24 00:00:00,0,N,0.14602368
GREEN,2003-03-26 00:00:00,0,N,0.14197102
GREEN,2003-04-03 00:00:00,0,N,0.12530124
GREEN,2003-04-04 00:00:00,0,N,0.15347664
GREEN,2003-04-05 00:00:00,0,N,0.1404308
GREEN,2003-04-07 00:00:00,0,N,0.13192557
GREEN,2003-04-08 00:00:00,0,N,0.19291742
GREEN,2003-04-09 00:00:00,0,N,0.114672594
GREEN,2003-04-13 00:00:00,0,N,0.13413008
GREEN,2003-04-30 00:00:00,0,N,0.17457362
GREEN,2003-05-13 00:00:00,0,N,0.118111074
GREEN,2003-05-16 00:00:00,0,N,0.12288719
GREEN,2003-05-22 00:00:00,0,N,0.12576696
GREEN,2003-06-06 00:00:00,0,N,0.17432539
GREEN,2003-06-07 00:00:00,0,N,0.16291283
GREEN,2003-07-01 00:00:00,0,N,0.10320916
GREEN,2003-07-06 00:00:00,0,N,0.12118091
GREEN,2003-07-17 00:00:00,0,N,0.14042845
GREEN,2003-07-22 00:00:00,0,N,0.15354216
GREEN,2003-07-30 00:00:00,0,N,0.11102615
GREEN,2003-08-04 00:00:00,0,N,0.0775876
GREEN,2003-08-13 00:00:00,0,N,0.20219424
GREEN,2003-08-25 00:00:00,0,N,0.07773894
GREEN,2003-09-10 00:00:00,0,N,0.17174864
GREEN,2003-09-26 00:00:00,0,N,0.09974742
GREEN,2003-09-30 00:00:00,0,N,0.12275762
GREEN,2003-10-05 00:00:00,0,N,0.15713575
GREEN,2003-10-07 00:00:00,0,N,0.14623499
GREEN,2003-10-09 00:00:00,0,N,0.18106939
GREEN,2003-10-19 00:00:00,0,N,0.06067469
GREEN,2003-10-26 00:00:00,0,N,0.1477127
GREEN,2003-10-29 00:00:00,0,N,0.14508606
GREEN,2003-11-01 00:00:00,0,N,0.12173022
GREEN,2003-11-06 00:00:00,0,N,0.11914238
GREEN,2003-11-15 00:00:00,0,N,0.091225974
GREEN,2003-11-20 00:00:00,0,N,0.1335579
GREEN,2003-11-22 00:00:00,0,N,0.14896762
GREEN,2003-11-27 00:00:00,0,N,0.14415711
GREEN,2003-11-29 00:00:00,0,N,0.112450145
GREEN,2003-12-06 00:00:00,0,N,0.11257771
GREEN,2003-12-09 00:00:00,0,N,0.12687239
GREEN,2003-12-10 00:00:00,0,N,0.09754772
GREEN,2003-12-15 00:00:00,0,N,0.09991718
GREEN,2003-12-17 00:00:00,0,N,0.12026372
GREEN,2003-12-22 00:00:00,0,N,0.12055958
GREEN,2003-12-24 00:00:00,0,N,0.11301548
GREEN,2003-12-25 00:00:00,0,N,0.12555872
GREEN,2003-12-26 00:00:00,0,N,0.11445709
GREEN,2003-12-31 00:00:00,0,N,0.11405417
GREEN,2004-01-02 00:00:00,0,N,0.11319941
GREEN,2004-01-08 00:00:00,0,N,0.115054525
GREEN,2004-01-09 00:00:00,0,N,0.10578146
GREEN,2004-01-14 00:00:00,0,N,0.1311934
GREEN,2004-01-16 00:00:00,0,N,0.12973048
GREEN,2004-01-17 00:00:00,0,N,0.13824143
GREEN,2004-01-21 00:00:00,0,N,0.12025537
GREEN,2004-01-27 00:00:00,0,N,0.13623469
GREEN,2004-02-01 00:00:00,0,N,0.13517919
GREEN,2004-02-02 00:00:00,0,N,0.14126696
GREEN,2004-02-03 00:00:00,0,N,0.12765379
GREEN,2004-02-08 00:00:00,0,N,0.10393164
GREEN,2004-02-10 00:00:00,0,N,0.07718779
GREEN,2004-02-12 00:00:00,0,N,0.13212958
GREEN,2004-02-15 00:00:00,0,N,0.13731095
GREEN,2004-02-26 00:00:00,0,N,0.15374035
GREEN,2004-03-03 00:00:00,0,N,0.24256706
GREEN,2004-03-04 00:00:00,0,N,0.17296064
GREEN,2004-03-05 00:00:00,0,N,0.20086387
GREEN,2004-03-06 00:00:00,0,N,0.20640764
GREEN,2004-03-08 00:00:00,0,N,0.1942064
GREEN,2004-03-10 00:00:00,0,N,0.1907178
GREEN,2004-03-13 00:00:00,0,N,0.17580448
GREEN,2004-03-17 00:00:00,0,N,0.22944878
GREEN,2004-03-18 00:00:00,0,N,0.20909919
GREEN,2004-03-19 00:00:00,0,N,0.18322498
GREEN,2004-03-20 00:00:00,0,N,0.1510746
GREEN,2004-03-22 00:00:00,0,N,0.14691319
GREEN,2004-03-24 00:00:00,0,N,0.16683857
GREEN,2004-03-26 00:00:00,0,N,0.14691631
GREEN,2004-03-30 00:00:00,0,N,0.14445736
GREEN,2004-03-31 00:00:00,0,N,0.14589381
GREEN,2004-04-05 00:00:00,0,N,0.11956852
GREEN,2004-04-06 00:00:00,0,N,0.17530192
GREEN,2004-04-11 00:00:00,0,N,0.15033568
GREEN,2004-04-14 00:00:00,0,N,0.1344298
GREEN,2004-04-23 00:00:00,0,N,0.15559326
GREEN,2004-04-25 00:00:00,0,N,0.14535572
GREEN,2004-05-14 00:00:00,0,N,0.20694992
GREEN,2004-05-25 00:00:00,0,N,0.1944749
GREEN,2004-05-27 00:00:00,0,N,0.1942271
GREEN,2004-05-29 00:00:00,0,N,0.14516695
GREEN,2004-06-01 00:00:00,0,N,0.20689906
GREEN,2004-06-05 00:00:00,0,N,0.009070472
GREEN,2004-06-14 00:00:00,0,N,0.13463777
GREEN,2004-06-19 00:00:00,0,N,0.097834505
GREEN,2004-06-23 00:00:00,0,N,0.14033076
GREEN,2004-07-05 00:00:00,0,N,0.24248508
GREEN,2004-07-09 00:00:00,0,N,0.20000553
GREEN,2004-07-12 00:00:00,0,N,0.20063998
GREEN,2004-07-14 00:00:00,0,N,0.1167111
GREEN,2004-07-24 00:00:00,0,N,0.2239096
GREEN,2004-07-26 00:00:00,0,N,0.18630025
GREEN,2004-08-06 00:00:00,0,N,0.16908245
