Variable,Date,Depth,QC,Data
MICRO,2002-07-05 00:00:00,0,N,0.33946273
MICRO,2002-07-11 00:00:00,0,N,0.8648314
MICRO,2002-07-16 00:00:00,0,N,0.51594335
MICRO,2002-07-19 00:00:00,0,N,0.42432332
MICRO,2002-07-28 00:00:00,0,N,0.6568415
MICRO,2002-09-02 00:00:00,0,N,0.74385816
MICRO,2002-09-13 00:00:00,0,N,0.3966204
MICRO,2002-09-18 00:00:00,0,N,0.49294594
MICRO,2002-09-20 00:00:00,0,N,0.3855148
MICRO,2002-09-23 00:00:00,0,N,0.37285802
MICRO,2002-09-27 00:00:00,0,N,0.46849254
MICRO,2002-09-29 00:00:00,0,N,0.4060511
MICRO,2002-10-02 00:00:00,0,N,0.49471194
MICRO,2002-10-09 00:00:00,0,N,0.51473135
MICRO,2002-11-03 00:00:00,0,N,0.37868848
MICRO,2002-11-08 00:00:00,0,N,0.33492702
MICRO,2002-11-12 00:00:00,0,N,0.34590238
MICRO,2002-11-17 00:00:00,0,N,0.3729025
MICRO,2002-11-26 00:00:00,0,N,0.289434
MICRO,2002-11-28 00:00:00,0,N,0.2897403
MICRO,2002-12-10 00:00:00,0,N,0.5324455
MICRO,2002-12-30 00:00:00,0,N,0.32196084
MICRO,2003-01-06 00:00:00,0,N,0.40149105
MICRO,2003-01-08 00:00:00,0,N,0.41784453
MICRO,2003-01-13 00:00:00,0,N,0.4056997
MICRO,2003-01-14 00:00:00,0,N,0.4442959
MICRO,2003-01-15 00:00:00,0,N,0.41083315
MICRO,2003-01-18 00:00:00,0,N,0.459632
MICRO,2003-01-20 00:00:00,0,N,0.60329187
MICRO,2003-01-21 00:00:00,0,N,0.46827775
MICRO,2003-01-27 00:00:00,0,N,0.5324595
MICRO,2003-01-30 00:00:00,0,N,0.4513389
MICRO,2003-01-31 00:00:00,0,N,0.43377122
MICRO,2003-02-03 00:00:00,0,N,0.40329337
MICRO,2003-02-06 00:00:00,0,N,0.41643384
MICRO,2003-02-07 00:00:00,0,N,0.35088
MICRO,2003-02-09 00:00:00,0,N,0.24162924
MICRO,2003-02-14 00:00:00,0,N,0.32432777
MICRO,2003-02-25 00:00:00,0,N,0.5112154
MICRO,2003-02-28 00:00:00,0,N,0.55893964
MICRO,2003-03-01 00:00:00,0,N,0.4454358
MICRO,2003-03-02 00:00:00,0,N,0.49114445
MICRO,2003-03-03 00:00:00,0,N,0.42053297
MICRO,2003-03-04 00:00:00,0,N,0.38250938
MICRO,2003-03-07 00:00:00,0,N,0.42438793
MICRO,2003-03-13 00:00:00,0,N,0.3639445
MICRO,2003-03-15 00:00:00,0,N,0.31083846
MICRO,2003-03-19 00:00:00,0,N,0.4819437
MICRO,2003-03-20 00:00:00,0,N,0.37410396
MICRO,2003-03-24 00:00:00,0,N,0.40139484
MICRO,2003-03-26 00:00:00,0,N,0.44608143
MICRO,2003-04-03 00:00:00,0,N,0.76343393
MICRO,2003-04-04 00:00:00,0,N,0.63515055
MICRO,2003-04-05 00:00:00,0,N,0.60780764
MICRO,2003-04-07 00:00:00,0,N,0.6306836
MICRO,2003-04-08 00:00:00,0,N,0.67581666
MICRO,2003-04-09 00:00:00,0,N,0.51071584
MICRO,2003-04-13 00:00:00,0,N,0.31265393
MICRO,2003-04-30 00:00:00,0,N,0.53574884
MICRO,2003-05-13 00:00:00,0,N,0.30810323
MICRO,2003-05-16 00:00:00,0,N,0.48495176
MICRO,2003-05-22 00:00:00,0,N,0.60329074
MICRO,2003-06-06 00:00:00,0,N,0.59621656
MICRO,2003-06-07 00:00:00,0,N,0.63497454
MICRO,2003-07-01 00:00:00,0,N,0.30212513
MICRO,2003-07-06 00:00:00,0,N,0.9524642
MICRO,2003-07-17 00:00:00,0,N,1.8603567
MICRO,2003-07-22 00:00:00,0,N,0.9632199
MICRO,2003-07-30 00:00:00,0,N,0.4880675
MICRO,2003-08-04 00:00:00,0,N,0.7366862
MICRO,2003-08-13 00:00:00,0,N,0.5769533
MICRO,2003-08-25 00:00:00,0,N,0.6099668
MICRO,2003-09-10 00:00:00,0,N,1.2257242
MICRO,2003-09-26 00:00:00,0,N,0.63507223
MICRO,2003-09-30 00:00:00,0,N,0.4110805
MICRO,2003-10-05 00:00:00,0,N,0.6239487
MICRO,2003-10-07 00:00:00,0,N,0.55956036
MICRO,2003-10-09 00:00:00,0,N,0.42567536
