Variable,Date,Depth,QC,Data
PROCHLO,2002-07-05 00:00:00,0,N,0.04600689
PROCHLO,2002-07-11 00:00:00,0,N,0.41636574
PROCHLO,2002-07-16 00:00:00,0,N,0.025477145
PROCHLO,2002-07-19 00:00:00,0,N,0.016486438
PROCHLO,2002-07-28 00:00:00,0,N,0.02738864
PROCHLO,2002-09-02 00:00:00,0,N,0.08298203
PROCHLO,2002-09-13 00:00:00,0,N,0.010212539
PROCHLO,2002-09-18 00:00:00,0,N,0.009716976
PROCHLO,2002-09-20 00:00:00,0,N,0.008349032
PROCHLO,2002-09-23 00:00:00,0,N,0.008969779
PROCHLO,2002-09-27 00:00:00,0,N,0.015499381
PROCHLO,2002-09-29 00:00:00,0,N,0.015788322
PROCHLO,2002-10-02 00:00:00,0,N,0.012631156
PROCHLO,2002-10-09 00:00:00,0,N,0.01178676
PROCHLO,2002-11-03 00:00:00,0,N,0.006804448
PROCHLO,2002-11-08 00:00:00,0,N,0.0069580954
PROCHLO,2002-11-12 00:00:00,0,N,0.007373104
PROCHLO,2002-11-17 00:00:00,0,N,0.0066662263
PROCHLO,2002-11-26 00:00:00,0,N,0.0060011363
PROCHLO,2002-11-28 00:00:00,0,N,0.009726921
PROCHLO,2002-12-10 00:00:00,0,N,0.041333914
PROCHLO,2002-12-30 00:00:00,0,N,0.018498575
PROCHLO,2003-01-06 00:00:00,0,N,0.01755215
PROCHLO,2003-01-08 00:00:00,0,N,0.014287692
PROCHLO,2003-01-13 00:00:00,0,N,0.02374985
PROCHLO,2003-01-14 00:00:00,0,N,0.016907098
PROCHLO,2003-01-15 00:00:00,0,N,0.018081266
PROCHLO,2003-01-18 00:00:00,0,N,0.015608565
PROCHLO,2003-01-20 00:00:00,0,N,0.029647946
PROCHLO,2003-01-21 00:00:00,0,N,0.022581443
PROCHLO,2003-01-27 00:00:00,0,N,0.023355447
PROCHLO,2003-01-30 00:00:00,0,N,0.01927171
PROCHLO,2003-01-31 00:00:00,0,N,0.033016585
PROCHLO,2003-02-03 00:00:00,0,N,0.011439193
PROCHLO,2003-02-06 00:00:00,0,N,0.02442794
PROCHLO,2003-02-07 00:00:00,0,N,0.018816005
PROCHLO,2003-02-09 00:00:00,0,N,0.006957118
PROCHLO,2003-02-14 00:00:00,0,N,0.007023818
PROCHLO,2003-02-25 00:00:00,0,N,0.03715664
PROCHLO,2003-02-28 00:00:00,0,N,0.030332964
PROCHLO,2003-03-01 00:00:00,0,N,0.048209783
PROCHLO,2003-03-02 00:00:00,0,N,0.026425196
PROCHLO,2003-03-03 00:00:00,0,N,0.015245829
PROCHLO,2003-03-04 00:00:00,0,N,0.03212676
PROCHLO,2003-03-07 00:00:00,0,N,0.053738143
PROCHLO,2003-03-13 00:00:00,0,N,0.033806622
PROCHLO,2003-03-15 00:00:00,0,N,0.0076523595
PROCHLO,2003-03-19 00:00:00,0,N,0.023648567
PROCHLO,2003-03-20 00:00:00,0,N,0.028050797
PROCHLO,2003-03-24 00:00:00,0,N,0.037483014
PROCHLO,2003-03-26 00:00:00,0,N,0.03205023
PROCHLO,2003-04-03 00:00:00,0,N,0.04975553
PROCHLO,2003-04-04 00:00:00,0,N,0.06843109
PROCHLO,2003-04-05 00:00:00,0,N,0.06103998
PROCHLO,2003-04-07 00:00:00,0,N,0.030678518
PROCHLO,2003-04-08 00:00:00,0,N,0.0390672
PROCHLO,2003-04-09 00:00:00,0,N,0.036355413
PROCHLO,2003-04-13 00:00:00,0,N,0.005
PROCHLO,2003-04-30 00:00:00,0,N,0.048053484
PROCHLO,2003-05-13 00:00:00,0,N,0.007699964
PROCHLO,2003-05-16 00:00:00,0,N,0.3098132
PROCHLO,2003-05-22 00:00:00,0,N,0.01968807
PROCHLO,2003-06-06 00:00:00,0,N,0.01272445
PROCHLO,2003-06-07 00:00:00,0,N,0.010398558
PROCHLO,2003-07-01 00:00:00,0,N,0.00687305
PROCHLO,2003-07-06 00:00:00,0,N,0.019949201
PROCHLO,2003-07-17 00:00:00,0,N,0.021745592
PROCHLO,2003-07-22 00:00:00,0,N,0.04298259
PROCHLO,2003-07-30 00:00:00,0,N,0.058895927
PROCHLO,2003-08-04 00:00:00,0,N,0.049952235
PROCHLO,2003-08-13 00:00:00,0,N,0.012833944
PROCHLO,2003-08-25 00:00:00,0,N,0.031518076
PROCHLO,2003-09-10 00:00:00,0,N,0.04746106
PROCHLO,2003-09-26 00:00:00,0,N,0.024136322
PROCHLO,2003-09-30 00:00:00,0,N,0.011717875
PROCHLO,2003-10-05 00:00:00,0,N,0.012308545
PROCHLO,2003-10-07 00:00:00,0,N,0.013125436
PROCHLO,2003-10-09 00:00:00,0,N,0.022011727
PROCHLO,2003-10-19 00:00:00,0,N,0.011513915
PROCHLO,2003-10-26 00:00:00,0,N,0.007532863
PROCHLO,2003-10-29 00:00:00,0,N,0.010253898
PROCHLO,2003-11-01 00:00:00,0,N,0.013828457
PROCHLO,2003-11-06 00:00:00,0,N,0.005
PROCHLO,2003-11-15 00:00:00,0,N,0.0069694337
PROCHLO,2003-11-20 00:00:00,0,N,0.007684774
PROCHLO,2003-11-22 00:00:00,0,N,0.009571537
PROCHLO,2003-11-27 00:00:00,0,N,0.007185491
PROCHLO,2003-11-29 00:00:00,0,N,0.006217337
PROCHLO,2003-12-06 00:00:00,0,N,0.0080660265
PROCHLO,2003-12-09 00:00:00,0,N,0.00941462
PROCHLO,2003-12-10 00:00:00,0,N,0.005
PROCHLO,2003-12-15 00:00:00,0,N,0.0053902543
PROCHLO,2003-12-17 00:00:00,0,N,0.006425362
PROCHLO,2003-12-22 00:00:00,0,N,0.011981627
PROCHLO,2003-12-24 00:00:00,0,N,0.010055754
PROCHLO,2003-12-25 00:00:00,0,N,0.011207351
PROCHLO,2003-12-26 00:00:00,0,N,0.006955171
PROCHLO,2003-12-31 00:00:00,0,N,0.010441968
PROCHLO,2004-01-02 00:00:00,0,N,0.012019924
PROCHLO,2004-01-08 00:00:00,0,N,0.011037197
PROCHLO,2004-01-09 00:00:00,0,N,0.009458806
PROCHLO,2004-01-14 00:00:00,0,N,0.0076710796
PROCHLO,2004-01-16 00:00:00,0,N,0.011001705
PROCHLO,2004-01-17 00:00:00,0,N,0.008092874
PROCHLO,2004-01-21 00:00:00,0,N,0.013874096
PROCHLO,2004-01-27 00:00:00,0,N,0.010787379
PROCHLO,2004-02-01 00:00:00,0,N,0.019889344
PROCHLO,2004-02-02 00:00:00,0,N,0.0110316165
PROCHLO,2004-02-03 00:00:00,0,N,0.010988861
PROCHLO,2004-02-08 00:00:00,0,N,0.005
PROCHLO,2004-02-10 00:00:00,0,N,0.0114778
PROCHLO,2004-02-12 00:00:00,0,N,0.006357338
PROCHLO,2004-02-15 00:00:00,0,N,0.010980484
PROCHLO,2004-02-26 00:00:00,0,N,0.021838311
PROCHLO,2004-03-03 00:00:00,0,N,0.029847093
PROCHLO,2004-03-04 00:00:00,0,N,0.049145013
PROCHLO,2004-03-05 00:00:00,0,N,0.01984891
PROCHLO,2004-03-06 00:00:00,0,N,0.02689075
PROCHLO,2004-03-08 00:00:00,0,N,0.029645057
PROCHLO,2004-03-10 00:00:00,0,N,0.0310425
PROCHLO,2004-03-13 00:00:00,0,N,0.015626188
PROCHLO,2004-03-17 00:00:00,0,N,0.03155234
PROCHLO,2004-03-18 00:00:00,0,N,0.014354902
PROCHLO,2004-03-19 00:00:00,0,N,0.018588522
PROCHLO,2004-03-20 00:00:00,0,N,0.03104582
PROCHLO,2004-03-22 00:00:00,0,N,0.0118510155
PROCHLO,2004-03-24 00:00:00,0,N,0.014356346
PROCHLO,2004-03-26 00:00:00,0,N,0.030412408
PROCHLO,2004-03-30 00:00:00,0,N,0.026298814
PROCHLO,2004-03-31 00:00:00,0,N,0.042596128
PROCHLO,2004-04-05 00:00:00,0,N,0.030637946
PROCHLO,2004-04-06 00:00:00,0,N,0.02108953
PROCHLO,2004-04-11 00:00:00,0,N,0.016542614
PROCHLO,2004-04-14 00:00:00,0,N,0.014979207
PROCHLO,2004-04-23 00:00:00,0,N,0.029213961
PROCHLO,2004-04-25 00:00:00,0,N,0.012266452
PROCHLO,2004-05-14 00:00:00,0,N,0.020775422
PROCHLO,2004-05-25 00:00:00,0,N,0.024100242
PROCHLO,2004-05-27 00:00:00,0,N,0.009829087
PROCHLO,2004-05-29 00:00:00,0,N,0.012772633
PROCHLO,2004-06-01 00:00:00,0,N,0.028757865
PROCHLO,2004-06-05 00:00:00,0,N,0.20713916
PROCHLO,2004-06-14 00:00:00,0,N,0.014902437
PROCHLO,2004-06-19 00:00:00,0,N,0.0074758055
PROCHLO,2004-06-23 00:00:00,0,N,0.016104816
PROCHLO,2004-07-05 00:00:00,0,N,0.017958092
PROCHLO,2004-07-09 00:00:00,0,N,0.018437019
PROCHLO,2004-07-12 00:00:00,0,N,0.011735559
PROCHLO,2004-07-14 00:00:00,0,N,0.013863773
PROCHLO,2004-07-24 00:00:00,0,N,0.00543056
PROCHLO,2004-07-26 00:00:00,0,N,0.017508583
PROCHLO,2004-08-06 00:00:00,0,N,0.023882508
PROCHLO,2004-08-15 00:00:00,0,N,0.006845539
PROCHLO,2004-10-09 00:00:00,0,N,0.012000231
PROCHLO,2004-10-16 00:00:00,0,N,0.01974422
PROCHLO,2004-11-01 00:00:00,0,N,0.019048208
PROCHLO,2004-12-01 00:00:00,0,N,0.005
PROCHLO,2004-12-12 00:00:00,0,N,0.006718392
PROCHLO,2004-12-19 00:00:00,0,N,0.0069638724
PROCHLO,2004-12-31 00:00:00,0,N,0.010378121
PROCHLO,2005-01-03 00:00:00,0,N,0.011360285
PROCHLO,2005-01-04 00:00:00,0,N,0.008445691
PROCHLO,2005-01-09 00:00:00,0,N,0.005
PROCHLO,2005-01-17 00:00:00,0,N,0.005401575
PROCHLO,2005-01-20 00:00:00,0,N,0.005877048
PROCHLO,2005-01-27 00:00:00,0,N,0.009224776
PROCHLO,2005-01-29 00:00:00,0,N,0.008521528
PROCHLO,2005-02-02 00:00:00,0,N,0.010394448
PROCHLO,2005-02-03 00:00:00,0,N,0.008733583
PROCHLO,2005-02-08 00:00:00,0,N,0.0064250473
PROCHLO,2005-02-23 00:00:00,0,N,0.0144979395
PROCHLO,2005-03-11 00:00:00,0,N,0.00904423
PROCHLO,2005-03-14 00:00:00,0,N,0.0071369316
PROCHLO,2005-03-16 00:00:00,0,N,0.022182312
PROCHLO,2005-04-05 00:00:00,0,N,0.043413308
PROCHLO,2005-04-10 00:00:00,0,N,0.0099859685
PROCHLO,2005-04-12 00:00:00,0,N,0.019057719
PROCHLO,2005-04-14 00:00:00,0,N,0.015254435
PROCHLO,2005-04-15 00:00:00,0,N,0.01702526
PROCHLO,2005-04-19 00:00:00,0,N,0.014249657
PROCHLO,2005-04-26 00:00:00,0,N,0.010867328
PROCHLO,2005-05-14 00:00:00,0,N,0.0106770275
PROCHLO,2005-05-16 00:00:00,0,N,0.017195337
PROCHLO,2005-05-19 00:00:00,0,N,0.01629338
PROCHLO,2005-06-08 00:00:00,0,N,0.017618993
PROCHLO,2005-06-19 00:00:00,0,N,0.0147581985
PROCHLO,2005-06-22 00:00:00,0,N,0.062376387
PROCHLO,2005-06-26 00:00:00,0,N,1.0
PROCHLO,2005-07-04 00:00:00,0,N,0.03528936
PROCHLO,2005-07-13 00:00:00,0,N,0.036567446
PROCHLO,2005-07-22 00:00:00,0,N,0.02403158
PROCHLO,2005-07-26 00:00:00,0,N,0.028744176
PROCHLO,2005-07-31 00:00:00,0,N,0.013528507
PROCHLO,2005-08-07 00:00:00,0,N,0.011444184
PROCHLO,2005-08-13 00:00:00,0,N,0.011225506
PROCHLO,2005-08-18 00:00:00,0,N,0.04845362
PROCHLO,2005-08-21 00:00:00,0,N,0.013043012
PROCHLO,2005-08-29 00:00:00,0,N,0.013049203
PROCHLO,2005-09-01 00:00:00,0,N,0.019476624
PROCHLO,2005-09-12 00:00:00,0,N,0.00953359
PROCHLO,2005-09-17 00:00:00,0,N,0.0074270377
PROCHLO,2005-09-19 00:00:00,0,N,0.034649316
