Variable,Date,Depth,QC,Data
CHL,1997-09-16 00:00:00,0,N,0.46701035
CHL,1997-09-20 00:00:00,0,N,0.16204363
CHL,1997-09-22 00:00:00,0,N,1.0012481
CHL,1997-09-23 00:00:00,0,N,0.49490175
CHL,1997-09-26 00:00:00,0,N,0.34545437
CHL,1997-10-03 00:00:00,0,N,1.1612806
CHL,1997-10-04 00:00:00,0,N,0.6572322
CHL,1997-10-05 00:00:00,0,N,0.6330932
CHL,1997-10-07 00:00:00,0,N,0.4109943
CHL,1997-10-08 00:00:00,0,N,0.21134005
CHL,1997-10-12 00:00:00,0,N,0.5942741
CHL,1997-10-21 00:00:00,0,N,0.5244595
CHL,1997-10-25 00:00:00,0,N,0.74815714
CHL,1997-10-26 00:00:00,0,N,0.37330338
CHL,1997-10-28 00:00:00,0,N,0.46609202
CHL,1997-10-30 00:00:00,0,N,0.4310638
CHL,1997-11-01 00:00:00,0,N,0.47754207
CHL,1997-11-03 00:00:00,0,N,0.41135398
CHL,1997-11-05 00:00:00,0,N,0.26376796
CHL,1997-11-06 00:00:00,0,N,0.30130193
CHL,1997-11-07 00:00:00,0,N,0.45099258
CHL,1997-11-08 00:00:00,0,N,0.50810623
CHL,1997-11-09 00:00:00,0,N,0.5825421
CHL,1997-11-10 00:00:00,0,N,0.4005579
CHL,1997-11-14 00:00:00,0,N,0.50262344
CHL,1997-11-16 00:00:00,0,N,0.7415246
CHL,1997-11-17 00:00:00,0,N,0.41258
CHL,1997-11-18 00:00:00,0,N,0.6829866
CHL,1997-11-19 00:00:00,0,N,0.72201425
CHL,1997-11-20 00:00:00,0,N,0.23226482
CHL,1997-11-23 00:00:00,0,N,0.4864355
CHL,1997-11-27 00:00:00,0,N,0.4104309
CHL,1997-11-28 00:00:00,0,N,0.77701366
CHL,1997-11-29 00:00:00,0,N,0.312858
CHL,1997-11-30 00:00:00,0,N,0.66012096
CHL,1997-12-01 00:00:00,0,N,0.73582906
CHL,1997-12-02 00:00:00,0,N,0.798524
CHL,1997-12-04 00:00:00,0,N,0.3497384
CHL,1997-12-06 00:00:00,0,N,0.5990515
CHL,1997-12-08 00:00:00,0,N,0.8389581
CHL,1997-12-09 00:00:00,0,N,0.30612397
CHL,1997-12-10 00:00:00,0,N,0.5226138
CHL,1997-12-11 00:00:00,0,N,0.39680427
CHL,1997-12-12 00:00:00,0,N,0.42494524
CHL,1997-12-13 00:00:00,0,N,0.5988924
CHL,1997-12-17 00:00:00,0,N,0.7699294
CHL,1997-12-19 00:00:00,0,N,0.22703403
CHL,1997-12-20 00:00:00,0,N,0.19536269
CHL,1997-12-21 00:00:00,0,N,0.80600715
CHL,1997-12-22 00:00:00,0,N,0.33036062
CHL,1997-12-23 00:00:00,0,N,0.50404465
CHL,1997-12-24 00:00:00,0,N,0.43327862
CHL,1997-12-28 00:00:00,0,N,0.6219527
CHL,1997-12-29 00:00:00,0,N,0.17611662
CHL,1997-12-30 00:00:00,0,N,0.9572708
CHL,1997-12-31 00:00:00,0,N,0.40096158
CHL,1998-01-01 00:00:00,0,N,0.6398196
CHL,1998-01-02 00:00:00,0,N,0.35038862
CHL,1998-01-04 00:00:00,0,N,0.5312739
CHL,1998-01-06 00:00:00,0,N,0.49060744
CHL,1998-01-08 00:00:00,0,N,0.36696577
CHL,1998-01-09 00:00:00,0,N,0.38923672
CHL,1998-01-10 00:00:00,0,N,1.0481516
CHL,1998-01-12 00:00:00,0,N,0.525989
