Variable,Date,Depth,QC,Data
HAPTO,2002-07-05 00:00:00,0,N,0.17014709
HAPTO,2002-07-11 00:00:00,0,N,0.27630723
HAPTO,2002-07-12 00:00:00,0,N,0.2480657
HAPTO,2002-07-16 00:00:00,0,N,0.21349423
HAPTO,2002-07-19 00:00:00,0,N,0.24622302
HAPTO,2002-07-21 00:00:00,0,N,0.21166825
HAPTO,2002-07-27 00:00:00,0,N,0.1979561
HAPTO,2002-07-28 00:00:00,0,N,0.21265393
HAPTO,2002-08-27 00:00:00,0,N,0.18708137
HAPTO,2002-08-28 00:00:00,0,N,0.21497394
HAPTO,2002-08-31 00:00:00,0,N,0.23448709
HAPTO,2002-09-04 00:00:00,0,N,0.25450352
HAPTO,2002-09-07 00:00:00,0,N,0.19000494
HAPTO,2002-09-13 00:00:00,0,N,0.17709102
HAPTO,2002-09-18 00:00:00,0,N,0.18294702
HAPTO,2002-09-20 00:00:00,0,N,0.21358804
HAPTO,2002-09-21 00:00:00,0,N,0.31168503
HAPTO,2002-09-23 00:00:00,0,N,0.2005094
HAPTO,2002-09-25 00:00:00,0,N,0.19057775
HAPTO,2002-09-27 00:00:00,0,N,0.16667315
HAPTO,2002-10-01 00:00:00,0,N,0.22229221
HAPTO,2002-10-02 00:00:00,0,N,0.114794
HAPTO,2002-10-07 00:00:00,0,N,0.079136565
HAPTO,2002-10-08 00:00:00,0,N,0.22355622
HAPTO,2002-10-09 00:00:00,0,N,0.19157907
HAPTO,2002-10-16 00:00:00,0,N,0.18723537
HAPTO,2002-10-29 00:00:00,0,N,0.41862708
HAPTO,2002-11-03 00:00:00,0,N,0.20423198
HAPTO,2002-11-05 00:00:00,0,N,0.0414416
HAPTO,2002-11-08 00:00:00,0,N,0.21842857
HAPTO,2002-11-12 00:00:00,0,N,0.16826853
HAPTO,2002-11-17 00:00:00,0,N,0.19548613
HAPTO,2002-11-26 00:00:00,0,N,0.118630506
HAPTO,2002-11-28 00:00:00,0,N,0.08790773
HAPTO,2002-12-03 00:00:00,0,N,0.090672456
HAPTO,2002-12-30 00:00:00,0,N,0.14696047
HAPTO,2003-01-06 00:00:00,0,N,0.1967111
HAPTO,2003-01-08 00:00:00,0,N,0.17376348
HAPTO,2003-01-13 00:00:00,0,N,0.17842595
HAPTO,2003-01-14 00:00:00,0,N,0.23948357
HAPTO,2003-01-15 00:00:00,0,N,0.14135557
HAPTO,2003-01-20 00:00:00,0,N,0.14434536
HAPTO,2003-01-31 00:00:00,0,N,0.121972725
HAPTO,2003-02-03 00:00:00,0,N,0.15063109
HAPTO,2003-02-06 00:00:00,0,N,0.14771394
HAPTO,2003-02-07 00:00:00,0,N,0.17590684
HAPTO,2003-02-08 00:00:00,0,N,0.1710886
HAPTO,2003-02-09 00:00:00,0,N,0.14943099
HAPTO,2003-02-25 00:00:00,0,N,0.17309028
HAPTO,2003-02-28 00:00:00,0,N,0.15917979
HAPTO,2003-03-01 00:00:00,0,N,0.09784068
HAPTO,2003-03-02 00:00:00,0,N,0.11227417
HAPTO,2003-03-04 00:00:00,0,N,0.12196156
HAPTO,2003-03-08 00:00:00,0,N,0.12252301
HAPTO,2003-03-13 00:00:00,0,N,0.07673543
HAPTO,2003-03-20 00:00:00,0,N,0.1541545
HAPTO,2003-03-24 00:00:00,0,N,0.13571392
HAPTO,2003-03-25 00:00:00,0,N,0.15101196
HAPTO,2003-03-26 00:00:00,0,N,0.12995356
HAPTO,2003-03-31 00:00:00,0,N,0.37132236
HAPTO,2003-04-02 00:00:00,0,N,0.26683408
HAPTO,2003-04-05 00:00:00,0,N,0.1784648
HAPTO,2003-04-07 00:00:00,0,N,0.16032374
HAPTO,2003-04-09 00:00:00,0,N,0.11361112
HAPTO,2003-04-27 00:00:00,0,N,0.13804656
HAPTO,2003-04-30 00:00:00,0,N,0.1173281
HAPTO,2003-05-07 00:00:00,0,N,0.22675896
HAPTO,2003-05-09 00:00:00,0,N,0.1552635
HAPTO,2003-05-11 00:00:00,0,N,0.21412717
HAPTO,2003-05-14 00:00:00,0,N,0.26743114
HAPTO,2003-05-16 00:00:00,0,N,0.14712633
HAPTO,2003-05-20 00:00:00,0,N,0.23777659
HAPTO,2003-05-21 00:00:00,0,N,0.33353028
HAPTO,2003-05-22 00:00:00,0,N,0.3415612
HAPTO,2003-05-23 00:00:00,0,N,0.19301425
HAPTO,2003-05-25 00:00:00,0,N,0.12541018
HAPTO,2003-05-28 00:00:00,0,N,0.17257226
HAPTO,2003-06-01 00:00:00,0,N,0.25377974
HAPTO,2003-06-04 00:00:00,0,N,0.0683765
HAPTO,2003-06-06 00:00:00,0,N,0.23354171
HAPTO,2003-06-19 00:00:00,0,N,0.19900133
HAPTO,2003-06-26 00:00:00,0,N,0.0195909
HAPTO,2003-06-28 00:00:00,0,N,0.31417036
HAPTO,2003-07-03 00:00:00,0,N,0.14408813
HAPTO,2003-07-06 00:00:00,0,N,0.17423998
HAPTO,2003-07-07 00:00:00,0,N,0.21870309
HAPTO,2003-07-12 00:00:00,0,N,0.17822346
HAPTO,2003-07-17 00:00:00,0,N,0.22951064
HAPTO,2003-07-19 00:00:00,0,N,0.10951785
HAPTO,2003-07-21 00:00:00,0,N,0.19452335
HAPTO,2003-07-28 00:00:00,0,N,0.48406452
HAPTO,2003-07-30 00:00:00,0,N,0.07788788
HAPTO,2003-07-31 00:00:00,0,N,0.087662406
HAPTO,2003-08-03 00:00:00,0,N,0.044628177
HAPTO,2003-08-06 00:00:00,0,N,0.22680011
HAPTO,2003-08-08 00:00:00,0,N,0.21484514
HAPTO,2003-08-09 00:00:00,0,N,0.19008933
HAPTO,2003-08-13 00:00:00,0,N,0.25458074
HAPTO,2003-08-18 00:00:00,0,N,0.1764197
HAPTO,2003-08-20 00:00:00,0,N,0.3088686
HAPTO,2003-08-23 00:00:00,0,N,0.22903515
HAPTO,2003-08-25 00:00:00,0,N,0.23016825
HAPTO,2003-08-29 00:00:00,0,N,0.10897254
HAPTO,2003-09-03 00:00:00,0,N,0.20274
HAPTO,2003-09-11 00:00:00,0,N,0.2723381
HAPTO,2003-09-14 00:00:00,0,N,0.25224462
HAPTO,2003-09-16 00:00:00,0,N,0.18957734
HAPTO,2003-09-23 00:00:00,0,N,0.22594829
HAPTO,2003-09-25 00:00:00,0,N,0.18225503
HAPTO,2003-09-26 00:00:00,0,N,0.19049583
HAPTO,2003-09-28 00:00:00,0,N,0.069552004
HAPTO,2003-09-30 00:00:00,0,N,0.24076939
HAPTO,2003-10-07 00:00:00,0,N,0.1748507
HAPTO,2003-10-14 00:00:00,0,N,0.2773475
HAPTO,2003-10-21 00:00:00,0,N,0.29673818
HAPTO,2003-11-06 00:00:00,0,N,0.12803674
HAPTO,2003-11-13 00:00:00,0,N,0.08567786
HAPTO,2003-11-15 00:00:00,0,N,0.16339634
HAPTO,2003-11-18 00:00:00,0,N,0.071980886
HAPTO,2003-11-20 00:00:00,0,N,0.18354356
HAPTO,2003-11-22 00:00:00,0,N,0.060326554
HAPTO,2003-11-27 00:00:00,0,N,0.19578981
HAPTO,2003-11-29 00:00:00,0,N,0.12277504
HAPTO,2003-12-09 00:00:00,0,N,0.17375976
HAPTO,2003-12-10 00:00:00,0,N,0.14163944
HAPTO,2003-12-15 00:00:00,0,N,0.24107663
HAPTO,2003-12-17 00:00:00,0,N,0.14555502
HAPTO,2003-12-24 00:00:00,0,N,0.16487864
HAPTO,2003-12-26 00:00:00,0,N,0.060751263
HAPTO,2003-12-29 00:00:00,0,N,0.11644055
HAPTO,2003-12-31 00:00:00,0,N,0.18650165
HAPTO,2004-01-02 00:00:00,0,N,0.22361264
HAPTO,2004-01-09 00:00:00,0,N,0.11323595
HAPTO,2004-01-16 00:00:00,0,N,0.13304539
HAPTO,2004-01-27 00:00:00,0,N,0.1461709
HAPTO,2004-02-01 00:00:00,0,N,0.1500368
HAPTO,2004-02-03 00:00:00,0,N,0.052933723
HAPTO,2004-02-10 00:00:00,0,N,0.0893016
HAPTO,2004-02-12 00:00:00,0,N,0.16415647
