Variable,Date,Depth,QC,Data
DIATO,2002-07-05 00:00:00,0,N,0.11542891
DIATO,2002-07-11 00:00:00,0,N,0.07711267
DIATO,2002-07-13 00:00:00,0,N,0.055766854
DIATO,2002-07-16 00:00:00,0,N,0.1032276
DIATO,2002-07-19 00:00:00,0,N,0.06837041
DIATO,2002-07-21 00:00:00,0,N,0.034172524
DIATO,2002-07-23 00:00:00,0,N,0.026797775
DIATO,2002-07-28 00:00:00,0,N,0.08414631
DIATO,2002-08-12 00:00:00,0,N,0.052299637
DIATO,2002-08-13 00:00:00,0,N,0.082178056
DIATO,2002-08-14 00:00:00,0,N,0.052466672
DIATO,2002-08-19 00:00:00,0,N,0.038295683
DIATO,2002-08-20 00:00:00,0,N,0.031749394
DIATO,2002-08-21 00:00:00,0,N,0.023472195
DIATO,2002-08-24 00:00:00,0,N,0.029701654
DIATO,2002-08-27 00:00:00,0,N,0.04279267
DIATO,2002-08-30 00:00:00,0,N,0.034227796
DIATO,2002-09-02 00:00:00,0,N,0.051581483
DIATO,2002-09-07 00:00:00,0,N,0.03133619
DIATO,2002-09-13 00:00:00,0,N,0.025317393
DIATO,2002-09-18 00:00:00,0,N,0.02743387
DIATO,2002-09-20 00:00:00,0,N,0.021958342
DIATO,2002-09-21 00:00:00,0,N,0.032172512
DIATO,2002-09-23 00:00:00,0,N,0.021847656
DIATO,2002-09-27 00:00:00,0,N,0.031255826
DIATO,2002-09-29 00:00:00,0,N,0.01657254
DIATO,2002-09-30 00:00:00,0,N,0.016139979
DIATO,2002-10-02 00:00:00,0,N,0.022049759
DIATO,2002-10-07 00:00:00,0,N,0.023782305
DIATO,2002-10-08 00:00:00,0,N,0.102726355
DIATO,2002-10-09 00:00:00,0,N,0.031766
DIATO,2002-10-10 00:00:00,0,N,0.06045138
DIATO,2002-10-24 00:00:00,0,N,0.012635075
DIATO,2002-11-02 00:00:00,0,N,0.02504243
DIATO,2002-11-03 00:00:00,0,N,0.018986218
DIATO,2002-11-12 00:00:00,0,N,0.017191129
DIATO,2002-11-17 00:00:00,0,N,0.01528978
DIATO,2002-11-21 00:00:00,0,N,0.014552764
DIATO,2002-11-24 00:00:00,0,N,0.015076469
DIATO,2002-11-26 00:00:00,0,N,0.013670208
DIATO,2002-11-27 00:00:00,0,N,0.0136357425
DIATO,2002-11-28 00:00:00,0,N,0.01557053
DIATO,2002-12-01 00:00:00,0,N,0.017366067
DIATO,2002-12-03 00:00:00,0,N,0.025896786
DIATO,2002-12-06 00:00:00,0,N,0.019867757
DIATO,2002-12-10 00:00:00,0,N,0.020087367
DIATO,2002-12-13 00:00:00,0,N,0.01602422
DIATO,2002-12-23 00:00:00,0,N,0.015539815
DIATO,2002-12-28 00:00:00,0,N,0.011908518
DIATO,2002-12-30 00:00:00,0,N,0.013663341
DIATO,2003-01-02 00:00:00,0,N,0.013625096
DIATO,2003-01-06 00:00:00,0,N,0.01428643
DIATO,2003-01-07 00:00:00,0,N,0.014686232
DIATO,2003-01-08 00:00:00,0,N,0.015324932
DIATO,2003-01-13 00:00:00,0,N,0.014989492
DIATO,2003-01-14 00:00:00,0,N,0.013433021
DIATO,2003-01-15 00:00:00,0,N,0.013826851
DIATO,2003-01-18 00:00:00,0,N,0.011362002
DIATO,2003-01-20 00:00:00,0,N,0.011356028
DIATO,2003-01-21 00:00:00,0,N,0.010095065
DIATO,2003-01-30 00:00:00,0,N,0.01583981
DIATO,2003-01-31 00:00:00,0,N,0.016877167
DIATO,2003-02-03 00:00:00,0,N,0.022903979
DIATO,2003-02-06 00:00:00,0,N,0.017610094
DIATO,2003-02-07 00:00:00,0,N,0.017078318
DIATO,2003-02-08 00:00:00,0,N,0.013672587
DIATO,2003-02-09 00:00:00,0,N,0.011061692
DIATO,2003-02-12 00:00:00,0,N,0.014160791
DIATO,2003-02-19 00:00:00,0,N,0.009989327
DIATO,2003-02-24 00:00:00,0,N,0.015779026
DIATO,2003-02-25 00:00:00,0,N,0.025509585
DIATO,2003-02-28 00:00:00,0,N,0.020257862
DIATO,2003-03-01 00:00:00,0,N,0.02118351
DIATO,2003-03-02 00:00:00,0,N,0.014927363
DIATO,2003-03-03 00:00:00,0,N,0.012400459
DIATO,2003-03-04 00:00:00,0,N,0.014273336
DIATO,2003-03-07 00:00:00,0,N,0.014842294
DIATO,2003-03-08 00:00:00,0,N,0.010295611
DIATO,2003-03-12 00:00:00,0,N,0.011255877
DIATO,2003-03-13 00:00:00,0,N,0.019255094
DIATO,2003-03-15 00:00:00,0,N,0.012447588
DIATO,2003-03-19 00:00:00,0,N,0.02201681
DIATO,2003-03-20 00:00:00,0,N,0.024324276
DIATO,2003-03-23 00:00:00,0,N,0.014901745
DIATO,2003-03-24 00:00:00,0,N,0.016739212
DIATO,2003-03-25 00:00:00,0,N,0.026033474
DIATO,2003-03-26 00:00:00,0,N,0.02534641
DIATO,2003-03-31 00:00:00,0,N,0.014498035
DIATO,2003-04-01 00:00:00,0,N,0.012655759
DIATO,2003-04-02 00:00:00,0,N,0.023865452
DIATO,2003-04-03 00:00:00,0,N,0.026178632
DIATO,2003-04-04 00:00:00,0,N,0.011712541
DIATO,2003-04-05 00:00:00,0,N,0.0269118
DIATO,2003-04-07 00:00:00,0,N,0.03811297
DIATO,2003-04-08 00:00:00,0,N,0.02980576
DIATO,2003-04-09 00:00:00,0,N,0.022399163
DIATO,2003-04-13 00:00:00,0,N,0.029231241
DIATO,2003-04-17 00:00:00,0,N,0.01851022
DIATO,2003-04-25 00:00:00,0,N,0.017940814
DIATO,2003-04-27 00:00:00,0,N,0.03544747
DIATO,2003-04-30 00:00:00,0,N,0.04762112
DIATO,2003-05-02 00:00:00,0,N,0.03889935
DIATO,2003-05-03 00:00:00,0,N,0.089049
DIATO,2003-05-07 00:00:00,0,N,0.027526187
DIATO,2003-05-09 00:00:00,0,N,0.016981453
DIATO,2003-05-10 00:00:00,0,N,0.023658045
DIATO,2003-05-11 00:00:00,0,N,0.0328025
DIATO,2003-05-14 00:00:00,0,N,0.065988734
DIATO,2003-05-16 00:00:00,0,N,0.080101
DIATO,2003-05-20 00:00:00,0,N,0.12156165
DIATO,2003-05-21 00:00:00,0,N,0.081619315
DIATO,2003-05-23 00:00:00,0,N,0.1284803
DIATO,2003-05-25 00:00:00,0,N,0.046041884
DIATO,2003-05-26 00:00:00,0,N,0.021823071
DIATO,2003-05-28 00:00:00,0,N,0.049995504
DIATO,2003-05-31 00:00:00,0,N,0.040793587
DIATO,2003-06-01 00:00:00,0,N,0.02055963
DIATO,2003-06-04 00:00:00,0,N,0.078825325
DIATO,2003-06-06 00:00:00,0,N,0.084259264
DIATO,2003-06-12 00:00:00,0,N,0.028029334
DIATO,2003-06-13 00:00:00,0,N,0.053130418
DIATO,2003-06-14 00:00:00,0,N,0.04411377
DIATO,2003-06-16 00:00:00,0,N,0.068210214
DIATO,2003-06-19 00:00:00,0,N,0.05104195
DIATO,2003-06-26 00:00:00,0,N,0.069119886
DIATO,2003-06-28 00:00:00,0,N,0.059520446
DIATO,2003-07-06 00:00:00,0,N,0.08859168
DIATO,2003-07-07 00:00:00,0,N,0.0634847
DIATO,2003-07-12 00:00:00,0,N,0.100501634
DIATO,2003-07-17 00:00:00,0,N,0.058033824
DIATO,2003-07-18 00:00:00,0,N,0.055948183
DIATO,2003-07-19 00:00:00,0,N,0.072550766
DIATO,2003-07-21 00:00:00,0,N,0.044693414
DIATO,2003-07-25 00:00:00,0,N,0.026888616
DIATO,2003-07-30 00:00:00,0,N,0.035086
DIATO,2003-07-31 00:00:00,0,N,0.06229828
DIATO,2003-08-03 00:00:00,0,N,0.08113011
DIATO,2003-08-04 00:00:00,0,N,0.043379888
DIATO,2003-08-06 00:00:00,0,N,0.061492678
DIATO,2003-08-08 00:00:00,0,N,0.06282855
DIATO,2003-08-09 00:00:00,0,N,0.06600942
DIATO,2003-08-13 00:00:00,0,N,0.070854954
DIATO,2003-08-17 00:00:00,0,N,0.039384965
DIATO,2003-08-18 00:00:00,0,N,0.04150057
DIATO,2003-08-20 00:00:00,0,N,0.042924512
DIATO,2003-08-23 00:00:00,0,N,0.064479865
DIATO,2003-08-25 00:00:00,0,N,0.05533335
DIATO,2003-08-29 00:00:00,0,N,0.031833433
DIATO,2003-09-01 00:00:00,0,N,0.021887537
DIATO,2003-09-03 00:00:00,0,N,0.034518983
DIATO,2003-09-09 00:00:00,0,N,0.03542699
DIATO,2003-09-11 00:00:00,0,N,0.06175058
DIATO,2003-09-14 00:00:00,0,N,0.040312823
DIATO,2003-09-15 00:00:00,0,N,0.039154403
DIATO,2003-09-16 00:00:00,0,N,0.03752385
DIATO,2003-09-23 00:00:00,0,N,0.07097241
DIATO,2003-09-25 00:00:00,0,N,0.037467755
DIATO,2003-09-26 00:00:00,0,N,0.04160258
DIATO,2003-09-28 00:00:00,0,N,0.025600621
DIATO,2003-09-30 00:00:00,0,N,0.02660961
DIATO,2003-10-01 00:00:00,0,N,0.02366816
DIATO,2003-10-02 00:00:00,0,N,0.026403533
DIATO,2003-10-03 00:00:00,0,N,0.01976173
DIATO,2003-10-05 00:00:00,0,N,0.018145585
DIATO,2003-10-07 00:00:00,0,N,0.028696204
DIATO,2003-10-09 00:00:00,0,N,0.022073412
DIATO,2003-10-14 00:00:00,0,N,0.022352917
DIATO,2003-10-19 00:00:00,0,N,0.018980375
DIATO,2003-10-26 00:00:00,0,N,0.01937785
DIATO,2003-10-29 00:00:00,0,N,0.024170905
