Variable,Date,Depth,QC,Data
PROCHLO,2002-07-09 00:00:00,0,N,0.37896344
PROCHLO,2002-07-11 00:00:00,0,N,0.03957394
PROCHLO,2002-07-13 00:00:00,0,N,0.023118157
PROCHLO,2002-07-19 00:00:00,0,N,0.007158534
PROCHLO,2002-07-23 00:00:00,0,N,0.018832518
PROCHLO,2002-07-25 00:00:00,0,N,0.13220543
PROCHLO,2002-07-27 00:00:00,0,N,0.11307728
PROCHLO,2002-07-28 00:00:00,0,N,0.02510902
PROCHLO,2002-08-11 00:00:00,0,N,0.021063693
PROCHLO,2002-08-13 00:00:00,0,N,0.019613381
PROCHLO,2002-08-14 00:00:00,0,N,0.023214355
PROCHLO,2002-08-19 00:00:00,0,N,0.018269977
PROCHLO,2002-08-20 00:00:00,0,N,0.019939285
PROCHLO,2002-08-26 00:00:00,0,N,0.0101635195
PROCHLO,2002-08-27 00:00:00,0,N,0.007829845
PROCHLO,2002-09-11 00:00:00,0,N,0.009633029
PROCHLO,2002-09-13 00:00:00,0,N,0.0066614253
PROCHLO,2002-09-18 00:00:00,0,N,0.005613852
PROCHLO,2002-09-20 00:00:00,0,N,0.005633031
PROCHLO,2002-09-21 00:00:00,0,N,0.020949457
PROCHLO,2002-09-23 00:00:00,0,N,0.0060415324
PROCHLO,2002-09-25 00:00:00,0,N,0.005177327
PROCHLO,2002-09-29 00:00:00,0,N,0.0059088077
PROCHLO,2002-09-30 00:00:00,0,N,0.005
PROCHLO,2002-10-02 00:00:00,0,N,0.008716693
PROCHLO,2002-10-04 00:00:00,0,N,0.009770709
PROCHLO,2002-10-08 00:00:00,0,N,0.005
PROCHLO,2002-10-09 00:00:00,0,N,0.0057326374
PROCHLO,2002-10-11 00:00:00,0,N,1.0
PROCHLO,2002-11-03 00:00:00,0,N,0.0050000004
PROCHLO,2002-11-04 00:00:00,0,N,0.014119873
PROCHLO,2002-11-08 00:00:00,0,N,0.0071367742
PROCHLO,2002-11-12 00:00:00,0,N,0.0754918
PROCHLO,2002-11-14 00:00:00,0,N,0.008120069
PROCHLO,2002-11-17 00:00:00,0,N,0.0074952412
PROCHLO,2002-11-24 00:00:00,0,N,0.0053921607
PROCHLO,2002-11-26 00:00:00,0,N,0.0052867094
PROCHLO,2002-11-27 00:00:00,0,N,0.005
PROCHLO,2002-11-28 00:00:00,0,N,0.0061108996
PROCHLO,2002-12-01 00:00:00,0,N,0.006059246
PROCHLO,2002-12-03 00:00:00,0,N,0.0052776253
PROCHLO,2002-12-10 00:00:00,0,N,0.008928405
PROCHLO,2002-12-21 00:00:00,0,N,0.005248869
PROCHLO,2002-12-28 00:00:00,0,N,0.0154753
PROCHLO,2002-12-30 00:00:00,0,N,0.012994336
