Variable,Date,Depth,QC,Data
PROKAR,2002-07-09 00:00:00,0,N,3.952987
PROKAR,2002-07-11 00:00:00,0,N,0.49029925
PROKAR,2002-07-13 00:00:00,0,N,0.15059392
PROKAR,2002-07-19 00:00:00,0,N,0.047569796
PROKAR,2002-07-23 00:00:00,0,N,0.12517887
PROKAR,2002-07-25 00:00:00,0,N,1.7935677
PROKAR,2002-07-27 00:00:00,0,N,0.7389117
PROKAR,2002-07-28 00:00:00,0,N,0.14344363
PROKAR,2002-08-11 00:00:00,0,N,0.14940807
PROKAR,2002-08-13 00:00:00,0,N,0.087983966
PROKAR,2002-08-14 00:00:00,0,N,0.1423748
PROKAR,2002-08-19 00:00:00,0,N,0.08568448
PROKAR,2002-08-20 00:00:00,0,N,0.0772207
PROKAR,2002-08-26 00:00:00,0,N,0.058823485
PROKAR,2002-08-27 00:00:00,0,N,0.05281478
PROKAR,2002-09-11 00:00:00,0,N,0.030393671
PROKAR,2002-09-13 00:00:00,0,N,0.03794615
PROKAR,2002-09-18 00:00:00,0,N,0.025051486
PROKAR,2002-09-20 00:00:00,0,N,0.022945125
PROKAR,2002-09-21 00:00:00,0,N,0.05349852
PROKAR,2002-09-23 00:00:00,0,N,0.031227844
PROKAR,2002-09-25 00:00:00,0,N,0.100918695
PROKAR,2002-09-29 00:00:00,0,N,0.018695196
PROKAR,2002-09-30 00:00:00,0,N,0.012054579
PROKAR,2002-10-02 00:00:00,0,N,0.05740117
PROKAR,2002-10-04 00:00:00,0,N,0.039740328
PROKAR,2002-10-08 00:00:00,0,N,0.020032337
PROKAR,2002-10-09 00:00:00,0,N,0.026370773
PROKAR,2002-10-11 00:00:00,0,N,10.0
PROKAR,2002-11-03 00:00:00,0,N,0.015610025
PROKAR,2002-11-04 00:00:00,0,N,0.10200211
PROKAR,2002-11-08 00:00:00,0,N,0.06450666
PROKAR,2002-11-12 00:00:00,0,N,0.76378846
PROKAR,2002-11-14 00:00:00,0,N,0.06869083
PROKAR,2002-11-17 00:00:00,0,N,0.0581761
PROKAR,2002-11-24 00:00:00,0,N,0.026716642
PROKAR,2002-11-26 00:00:00,0,N,0.030215854
PROKAR,2002-11-27 00:00:00,0,N,0.023244355
PROKAR,2002-11-28 00:00:00,0,N,0.047127634
PROKAR,2002-12-01 00:00:00,0,N,0.019380195
PROKAR,2002-12-03 00:00:00,0,N,0.017129231
PROKAR,2002-12-10 00:00:00,0,N,0.02740403
PROKAR,2002-12-21 00:00:00,0,N,0.05909346
