Variable,Date,Depth,QC,Data
PP,1997-09-01 00:00:00,0,N,387.89697
PP,1997-10-01 00:00:00,0,N,462.06094
PP,1997-11-01 00:00:00,0,N,481.14917
PP,1997-12-01 00:00:00,0,N,490.26395
PP,1998-01-01 00:00:00,0,N,502.33005
PP,1998-02-01 00:00:00,0,N,467.54272
PP,1998-03-01 00:00:00,0,N,463.71646
PP,1998-04-01 00:00:00,0,N,471.34222
PP,1998-05-01 00:00:00,0,N,436.09515
PP,1998-06-01 00:00:00,0,N,489.41766
PP,1998-07-01 00:00:00,0,N,355.16437
PP,1998-08-01 00:00:00,0,N,455.3308
PP,1998-09-01 00:00:00,0,N,505.97495
PP,1998-10-01 00:00:00,0,N,454.96497
PP,1998-11-01 00:00:00,0,N,449.3764
PP,1998-12-01 00:00:00,0,N,484.7351
PP,1999-01-01 00:00:00,0,N,495.7335
PP,1999-02-01 00:00:00,0,N,505.0487
PP,1999-03-01 00:00:00,0,N,574.06274
PP,1999-04-01 00:00:00,0,N,441.94006
PP,1999-05-01 00:00:00,0,N,382.44177
PP,1999-06-01 00:00:00,0,N,500.3383
PP,1999-07-01 00:00:00,0,N,443.6199
PP,1999-08-01 00:00:00,0,N,463.35233
PP,1999-09-01 00:00:00,0,N,457.0464
PP,1999-10-01 00:00:00,0,N,482.32224
PP,1999-11-01 00:00:00,0,N,468.4588
PP,1999-12-01 00:00:00,0,N,493.04407
PP,2000-01-01 00:00:00,0,N,494.46863
PP,2000-02-01 00:00:00,0,N,640.5826
PP,2000-03-01 00:00:00,0,N,604.66064
PP,2000-04-01 00:00:00,0,N,532.4641
PP,2000-05-01 00:00:00,0,N,512.9005
PP,2000-06-01 00:00:00,0,N,382.1352
PP,2000-07-01 00:00:00,0,N,465.74426
PP,2000-08-01 00:00:00,0,N,469.32227
PP,2000-09-01 00:00:00,0,N,469.58185
PP,2000-10-01 00:00:00,0,N,488.50687
PP,2000-11-01 00:00:00,0,N,447.70163
PP,2000-12-01 00:00:00,0,N,512.93835
PP,2001-01-01 00:00:00,0,N,516.15924
PP,2001-02-01 00:00:00,0,N,507.44806
PP,2001-03-01 00:00:00,0,N,541.61755
PP,2001-04-01 00:00:00,0,N,463.7767
PP,2001-05-01 00:00:00,0,N,507.96994
PP,2001-06-01 00:00:00,0,N,432.3048
PP,2001-07-01 00:00:00,0,N,419.10638
PP,2001-08-01 00:00:00,0,N,476.6892
PP,2001-09-01 00:00:00,0,N,448.2356
PP,2001-10-01 00:00:00,0,N,452.3611
PP,2001-11-01 00:00:00,0,N,469.2845
PP,2001-12-01 00:00:00,0,N,488.6024
PP,2002-01-01 00:00:00,0,N,474.13132
PP,2002-02-01 00:00:00,0,N,497.77335
PP,2002-03-01 00:00:00,0,N,493.5029
PP,2002-04-01 00:00:00,0,N,539.1558
PP,2002-05-01 00:00:00,0,N,574.605
PP,2002-06-01 00:00:00,0,N,470.00665
PP,2002-07-01 00:00:00,0,N,462.01852
PP,2002-08-01 00:00:00,0,N,475.36005
PP,2002-09-01 00:00:00,0,N,407.7369
PP,2002-10-01 00:00:00,0,N,394.03665
PP,2002-11-01 00:00:00,0,N,434.86115
PP,2002-12-01 00:00:00,0,N,492.0175
PP,2003-01-01 00:00:00,0,N,538.80273
PP,2003-02-01 00:00:00,0,N,569.38086
